#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-08T06:49:47.347Z
001,Split #1,00:00:04.045,00:00:04.045,2023-04-08T06:49:51.392Z
002,Split #2,00:00:03.503,00:00:07.548,2023-04-08T06:49:54.895Z
003,Split #3,00:00:03.747,00:00:11.295,2023-04-08T06:49:58.642Z
004,Split #4,00:00:03.622,00:00:14.917,2023-04-08T06:50:02.264Z
005,Split #5,00:00:03.352,00:00:18.269,2023-04-08T06:50:05.616Z
006,Split #6,00:00:03.759,00:00:22.028,2023-04-08T06:50:09.375Z
007,Split #7,00:00:03.689,00:00:25.717,2023-04-08T06:50:13.064Z
008,Split #8,00:00:03.364,00:00:29.081,2023-04-08T06:50:16.428Z
009,Split #9,00:00:03.340,00:00:32.421,2023-04-08T06:50:19.768Z
010,Split #10,00:00:03.545,00:00:35.966,2023-04-08T06:50:23.313Z
011,Split #11,00:00:03.600,00:00:39.566,2023-04-08T06:50:26.913Z
012,Split #12,00:00:03.375,00:00:42.941,2023-04-08T06:50:30.288Z
013,Split #13,00:00:03.399,00:00:46.340,2023-04-08T06:50:33.687Z
014,Split #14,00:00:03.722,00:00:50.062,2023-04-08T06:50:37.409Z
015,Split #15,00:00:03.915,00:00:53.977,2023-04-08T06:50:41.324Z
016,Split #16,00:00:04.353,00:00:58.330,2023-04-08T06:50:45.677Z
017,Split #17,00:00:04.208,00:01:02.538,2023-04-08T06:50:49.885Z
018,Split #18,00:00:04.027,00:01:06.565,2023-04-08T06:50:53.912Z
019,Split #19,00:00:04.118,00:01:10.683,2023-04-08T06:50:58.030Z
020,Split #20,00:00:04.241,00:01:14.924,2023-04-08T06:51:02.271Z
021,Split #21,00:00:04.365,00:01:19.289,2023-04-08T06:51:06.636Z
022,Split #22,00:00:03.702,00:01:22.991,2023-04-08T06:51:10.338Z
023,Split #23,00:00:03.780,00:01:26.771,2023-04-08T06:51:14.118Z
024,Split #24,00:00:03.926,00:01:30.697,2023-04-08T06:51:18.044Z
025,Split #25,00:00:04.320,00:01:35.017,2023-04-08T06:51:22.364Z
026,Split #26,00:00:04.027,00:01:39.044,2023-04-08T06:51:26.391Z
027,Split #27,00:00:03.623,00:01:42.667,2023-04-08T06:51:30.014Z
028,Split #28,00:00:03.557,00:01:46.224,2023-04-08T06:51:33.571Z
029,Split #29,00:00:03.373,00:01:49.597,2023-04-08T06:51:36.944Z
030,Split #30,00:00:03.532,00:01:53.129,2023-04-08T06:51:40.476Z
031,Split #31,00:00:03.264,00:01:56.393,2023-04-08T06:51:43.740Z
032,Split #32,00:00:03.520,00:01:59.913,2023-04-08T06:51:47.260Z
033,Split #33,00:00:03.938,00:02:03.851,2023-04-08T06:51:51.198Z
034,Split #34,00:00:03.330,00:02:07.181,2023-04-08T06:51:54.528Z
035,Split #35,00:00:03.172,00:02:10.353,2023-04-08T06:51:57.700Z
036,Split #36,00:00:02.881,00:02:13.234,2023-04-08T06:52:00.581Z
037,Split #37,00:00:02.744,00:02:15.978,2023-04-08T06:52:03.325Z
038,Split #38,00:00:02.522,00:02:18.500,2023-04-08T06:52:05.847Z
039,Split #39,00:00:02.250,00:02:20.750,2023-04-08T06:52:08.097Z
040,Split #40,00:00:02.619,00:02:23.369,2023-04-08T06:52:10.716Z
041,Split #41,00:00:02.634,00:02:26.003,2023-04-08T06:52:13.350Z
042,Split #42,00:00:02.609,00:02:28.612,2023-04-08T06:52:15.959Z
043,Split #43,00:00:02.846,00:02:31.458,2023-04-08T06:52:18.805Z
044,Split #44,00:00:02.452,00:02:33.910,2023-04-08T06:52:21.257Z
045,Split #45,00:00:02.791,00:02:36.701,2023-04-08T06:52:24.048Z
046,Split #46,00:00:02.655,00:02:39.356,2023-04-08T06:52:26.703Z
047,Split #47,00:00:02.970,00:02:42.326,2023-04-08T06:52:29.673Z
048,Split #48,00:00:04.319,00:02:46.645,2023-04-08T06:52:33.992Z
049,Split #49,00:00:04.748,00:02:51.393,2023-04-08T06:52:38.740Z
050,Split #50,00:00:03.724,00:02:55.117,2023-04-08T06:52:42.464Z
051,Split #51,00:00:03.285,00:02:58.402,2023-04-08T06:52:45.749Z
052,Split #52,00:00:02.655,00:03:01.057,2023-04-08T06:52:48.404Z
053,Split #53,00:00:02.623,00:03:03.680,2023-04-08T06:52:51.027Z
054,Split #54,00:00:02.451,00:03:06.131,2023-04-08T06:52:53.478Z
055,Split #55,00:00:02.498,00:03:08.629,2023-04-08T06:52:55.976Z
