#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-14T15:36:27.616Z
001,Split #1,00:00:03.658,00:00:03.658,2023-04-14T15:36:31.274Z
002,Split #2,00:00:03.665,00:00:07.323,2023-04-14T15:36:34.939Z
003,Split #3,00:00:03.813,00:00:11.136,2023-04-14T15:36:38.752Z
004,Split #4,00:00:03.624,00:00:14.760,2023-04-14T15:36:42.376Z
005,Split #5,00:00:03.308,00:00:18.068,2023-04-14T15:36:45.684Z
006,Split #6,00:00:03.599,00:00:21.667,2023-04-14T15:36:49.283Z
007,Split #7,00:00:03.274,00:00:24.941,2023-04-14T15:36:52.557Z
008,Split #8,00:00:03.408,00:00:28.349,2023-04-14T15:36:55.965Z
009,Split #9,00:00:03.490,00:00:31.839,2023-04-14T15:36:59.455Z
010,Split #10,00:00:03.193,00:00:35.032,2023-04-14T15:37:02.648Z
011,Split #11,00:00:02.924,00:00:37.956,2023-04-14T15:37:05.572Z
012,Split #12,00:00:03.017,00:00:40.973,2023-04-14T15:37:08.589Z
013,Split #13,00:00:03.329,00:00:44.302,2023-04-14T15:37:11.918Z
014,Split #14,00:00:03.466,00:00:47.768,2023-04-14T15:37:15.384Z
015,Split #15,00:00:03.059,00:00:50.827,2023-04-14T15:37:18.443Z
016,Split #16,00:00:03.218,00:00:54.045,2023-04-14T15:37:21.661Z
017,Split #17,00:00:03.487,00:00:57.532,2023-04-14T15:37:25.148Z
018,Split #18,00:00:03.128,00:01:00.660,2023-04-14T15:37:28.276Z
019,Split #19,00:00:02.814,00:01:03.474,2023-04-14T15:37:31.090Z
020,Split #20,00:00:03.036,00:01:06.510,2023-04-14T15:37:34.126Z
021,Split #21,00:00:02.857,00:01:09.367,2023-04-14T15:37:36.983Z
022,Split #22,00:00:03.161,00:01:12.528,2023-04-14T15:37:40.144Z
023,Split #23,00:00:02.937,00:01:15.465,2023-04-14T15:37:43.081Z
024,Split #24,00:00:03.937,00:01:19.402,2023-04-14T15:37:47.018Z
025,Split #25,00:00:03.645,00:01:23.047,2023-04-14T15:37:50.663Z
026,Split #26,00:00:02.994,00:01:26.041,2023-04-14T15:37:53.657Z
027,Split #27,00:00:02.834,00:01:28.875,2023-04-14T15:37:56.491Z
028,Split #28,00:00:02.634,00:01:31.509,2023-04-14T15:37:59.125Z
029,Split #29,00:00:02.912,00:01:34.421,2023-04-14T15:38:02.037Z
030,Split #30,00:00:02.633,00:01:37.054,2023-04-14T15:38:04.670Z
031,Split #31,00:00:02.835,00:01:39.889,2023-04-14T15:38:07.505Z
032,Split #32,00:00:02.565,00:01:42.454,2023-04-14T15:38:10.070Z
033,Split #33,00:00:03.129,00:01:45.583,2023-04-14T15:38:13.199Z
034,Split #34,00:00:02.947,00:01:48.530,2023-04-14T15:38:16.146Z
035,Split #35,00:00:02.925,00:01:51.455,2023-04-14T15:38:19.071Z
036,Split #36,00:00:02.702,00:01:54.157,2023-04-14T15:38:21.773Z
037,Split #37,00:00:02.699,00:01:56.856,2023-04-14T15:38:24.472Z
