#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-20T10:03:46.945Z
001,Split #1,00:00:05.216,00:00:05.216,2023-03-20T10:03:52.161Z
002,Split #2,00:00:02.151,00:00:07.367,2023-03-20T10:03:54.312Z
003,Split #3,00:00:03.319,00:00:10.686,2023-03-20T10:03:57.631Z
004,Split #4,00:00:03.566,00:00:14.252,2023-03-20T10:04:01.197Z
005,Split #5,00:00:03.735,00:00:17.987,2023-03-20T10:04:04.932Z
006,Split #6,00:00:03.309,00:00:21.296,2023-03-20T10:04:08.241Z
007,Split #7,00:00:03.397,00:00:24.693,2023-03-20T10:04:11.638Z
008,Split #8,00:00:03.465,00:00:28.158,2023-03-20T10:04:15.103Z
009,Split #9,00:00:03.769,00:00:31.927,2023-03-20T10:04:18.872Z
010,Split #10,00:00:03.667,00:00:35.594,2023-03-20T10:04:22.539Z
011,Split #11,00:00:03.454,00:00:39.048,2023-03-20T10:04:25.993Z
012,Split #12,00:00:03.128,00:00:42.176,2023-03-20T10:04:29.121Z
013,Split #13,00:00:02.881,00:00:45.057,2023-03-20T10:04:32.002Z
014,Split #14,00:00:03.487,00:00:48.544,2023-03-20T10:04:35.489Z
015,Split #15,00:00:03.351,00:00:51.895,2023-03-20T10:04:38.840Z
016,Split #16,00:00:03.039,00:00:54.934,2023-03-20T10:04:41.879Z
017,Split #17,00:00:03.768,00:00:58.702,2023-03-20T10:04:45.647Z
018,Split #18,00:00:03.464,00:01:02.166,2023-03-20T10:04:49.111Z
019,Split #19,00:00:03.038,00:01:05.204,2023-03-20T10:04:52.149Z
020,Split #20,00:00:02.937,00:01:08.141,2023-03-20T10:04:55.086Z
021,Split #21,00:00:02.744,00:01:10.885,2023-03-20T10:04:57.830Z
022,Split #22,00:00:03.016,00:01:13.901,2023-03-20T10:05:00.846Z
023,Split #23,00:00:03.173,00:01:17.074,2023-03-20T10:05:04.019Z
024,Split #24,00:00:02.993,00:01:20.067,2023-03-20T10:05:07.012Z
025,Split #25,00:00:03.509,00:01:23.576,2023-03-20T10:05:10.521Z
026,Split #26,00:00:03.240,00:01:26.816,2023-03-20T10:05:13.761Z
027,Split #27,00:00:02.958,00:01:29.774,2023-03-20T10:05:16.719Z
028,Split #28,00:00:02.881,00:01:32.655,2023-03-20T10:05:19.600Z
029,Split #29,00:00:02.667,00:01:35.322,2023-03-20T10:05:22.267Z
030,Split #30,00:00:02.924,00:01:38.246,2023-03-20T10:05:25.191Z
031,Split #31,00:00:02.588,00:01:40.834,2023-03-20T10:05:27.779Z
032,Split #32,00:00:02.790,00:01:43.624,2023-03-20T10:05:30.569Z
033,Split #33,00:00:02.880,00:01:46.504,2023-03-20T10:05:33.449Z
034,Split #34,00:00:03.532,00:01:50.036,2023-03-20T10:05:36.981Z
035,Split #35,00:00:03.015,00:01:53.051,2023-03-20T10:05:39.996Z
036,Split #36,00:00:02.903,00:01:55.954,2023-03-20T10:05:42.899Z
037,Split #37,00:00:02.946,00:01:58.900,2023-03-20T10:05:45.845Z
038,Split #38,00:00:02.768,00:02:01.668,2023-03-20T10:05:48.613Z
039,Split #39,00:00:02.588,00:02:04.256,2023-03-20T10:05:51.201Z
040,Split #40,00:00:02.678,00:02:06.934,2023-03-20T10:05:53.879Z
041,Split #41,00:00:02.701,00:02:09.635,2023-03-20T10:05:56.580Z
042,Split #42,00:00:02.744,00:02:12.379,2023-03-20T10:05:59.324Z
043,Split #43,00:00:02.948,00:02:15.327,2023-03-20T10:06:02.272Z
044,Split #44,00:00:02.835,00:02:18.162,2023-03-20T10:06:05.107Z
045,Split #45,00:00:02.767,00:02:20.929,2023-03-20T10:06:07.874Z
046,Split #46,00:00:02.879,00:02:23.808,2023-03-20T10:06:10.753Z
047,Split #47,00:00:02.904,00:02:26.712,2023-03-20T10:06:13.657Z
048,Split #48,00:00:02.723,00:02:29.435,2023-03-20T10:06:16.380Z
049,Split #49,00:00:02.845,00:02:32.280,2023-03-20T10:06:19.225Z
050,Split #50,00:00:03.240,00:02:35.520,2023-03-20T10:06:22.465Z
051,Split #51,00:00:02.768,00:02:38.288,2023-03-20T10:06:25.233Z
052,Split #52,00:00:02.745,00:02:41.033,2023-03-20T10:06:27.978Z
053,Split #53,00:00:02.644,00:02:43.677,2023-03-20T10:06:30.622Z
054,Split #54,00:00:02.744,00:02:46.421,2023-03-20T10:06:33.366Z
055,Split #55,00:00:02.915,00:02:49.336,2023-03-20T10:06:36.281Z
056,Split #56,00:00:02.722,00:02:52.058,2023-03-20T10:06:39.003Z
057,Split #57,00:00:02.589,00:02:54.647,2023-03-20T10:06:41.592Z
058,Split #58,00:00:02.507,00:02:57.154,2023-03-20T10:06:44.099Z
059,Split #59,00:00:02.475,00:02:59.629,2023-03-20T10:06:46.574Z
060,Split #60,00:00:02.305,00:03:01.934,2023-03-20T10:06:48.879Z
061,Split #61,00:00:02.341,00:03:04.275,2023-03-20T10:06:51.220Z
062,Split #62,00:00:02.419,00:03:06.694,2023-03-20T10:06:53.639Z
063,Split #63,00:00:02.274,00:03:08.968,2023-03-20T10:06:55.913Z
064,Split #64,00:00:02.294,00:03:11.262,2023-03-20T10:06:58.207Z
065,Split #65,00:00:02.408,00:03:13.670,2023-03-20T10:07:00.615Z
066,Split #66,00:00:02.317,00:03:15.987,2023-03-20T10:07:02.932Z
067,Split #67,00:00:02.251,00:03:18.238,2023-03-20T10:07:05.183Z
068,Split #68,00:00:02.293,00:03:20.531,2023-03-20T10:07:07.476Z
069,Split #69,00:00:02.318,00:03:22.849,2023-03-20T10:07:09.794Z
070,Split #70,00:00:02.317,00:03:25.166,2023-03-20T10:07:12.111Z
071,Split #71,00:00:02.341,00:03:27.507,2023-03-20T10:07:14.452Z
072,Split #72,00:00:02.272,00:03:29.779,2023-03-20T10:07:16.724Z
073,Split #73,00:00:02.274,00:03:32.053,2023-03-20T10:07:18.998Z
074,Split #74,00:00:02.361,00:03:34.414,2023-03-20T10:07:21.359Z
075,Split #75,00:00:02.611,00:03:37.025,2023-03-20T10:07:23.970Z
076,Split #76,00:00:02.429,00:03:39.454,2023-03-20T10:07:26.399Z
077,Split #77,00:00:02.700,00:03:42.154,2023-03-20T10:07:29.099Z
078,Split #78,00:00:03.454,00:03:45.608,2023-03-20T10:07:32.553Z
079,Split #79,00:00:02.958,00:03:48.566,2023-03-20T10:07:35.511Z
080,Split #80,00:00:02.971,00:03:51.537,2023-03-20T10:07:38.482Z
081,Split #81,00:00:04.072,00:03:55.609,2023-03-20T10:07:42.554Z
082,Split #82,00:00:04.477,00:04:00.086,2023-03-20T10:07:47.031Z
083,Split #83,00:00:03.983,00:04:04.069,2023-03-20T10:07:51.014Z
084,Split #84,00:00:04.050,00:04:08.119,2023-03-20T10:07:55.064Z
085,Split #85,00:00:03.308,00:04:11.427,2023-03-20T10:07:58.372Z
086,Split #86,00:00:03.103,00:04:14.530,2023-03-20T10:08:01.475Z
087,Split #87,00:00:02.342,00:04:16.872,2023-03-20T10:08:03.817Z
088,Split #88,00:00:02.486,00:04:19.358,2023-03-20T10:08:06.303Z
089,Split #89,00:00:02.487,00:04:21.845,2023-03-20T10:08:08.790Z
090,Split #90,00:00:02.564,00:04:24.409,2023-03-20T10:08:11.354Z
091,Split #91,00:00:02.745,00:04:27.154,2023-03-20T10:08:14.099Z
