#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-22T14:37:07.374Z
001,Split #1,00:00:01.586,00:00:01.586,2023-03-22T14:37:08.960Z
002,Split #2,00:00:02.567,00:00:04.153,2023-03-22T14:37:11.527Z
003,Split #3,00:00:03.452,00:00:07.605,2023-03-22T14:37:14.979Z
004,Split #4,00:00:03.366,00:00:10.971,2023-03-22T14:37:18.345Z
005,Split #5,00:00:03.194,00:00:14.165,2023-03-22T14:37:21.539Z
006,Split #6,00:00:04.162,00:00:18.327,2023-03-22T14:37:25.701Z
007,Split #7,00:00:03.241,00:00:21.568,2023-03-22T14:37:28.942Z
008,Split #8,00:00:03.306,00:00:24.874,2023-03-22T14:37:32.248Z
009,Split #9,00:00:03.699,00:00:28.573,2023-03-22T14:37:35.947Z
010,Split #10,00:00:04.163,00:00:32.736,2023-03-22T14:37:40.110Z
011,Split #11,00:00:03.734,00:00:36.470,2023-03-22T14:37:43.844Z
012,Split #12,00:00:04.006,00:00:40.476,2023-03-22T14:37:47.850Z
013,Split #13,00:00:03.306,00:00:43.782,2023-03-22T14:37:51.156Z
014,Split #14,00:00:04.050,00:00:47.832,2023-03-22T14:37:55.206Z
015,Split #15,00:00:03.647,00:00:51.479,2023-03-22T14:37:58.853Z
016,Split #16,00:00:04.093,00:00:55.572,2023-03-22T14:38:02.946Z
017,Split #17,00:00:04.546,00:01:00.118,2023-03-22T14:38:07.492Z
018,Split #18,00:00:03.601,00:01:03.719,2023-03-22T14:38:11.093Z
019,Split #19,00:00:03.465,00:01:07.184,2023-03-22T14:38:14.558Z
020,Split #20,00:00:03.374,00:01:10.558,2023-03-22T14:38:17.932Z
021,Split #21,00:00:03.444,00:01:14.002,2023-03-22T14:38:21.376Z
022,Split #22,00:00:03.891,00:01:17.893,2023-03-22T14:38:25.267Z
023,Split #23,00:00:03.468,00:01:21.361,2023-03-22T14:38:28.735Z
024,Split #24,00:00:03.642,00:01:25.003,2023-03-22T14:38:32.377Z
025,Split #25,00:00:05.310,00:01:30.313,2023-03-22T14:38:37.687Z
026,Split #26,00:00:03.509,00:01:33.822,2023-03-22T14:38:41.196Z
027,Split #27,00:00:03.353,00:01:37.175,2023-03-22T14:38:44.549Z
028,Split #28,00:00:03.310,00:01:40.485,2023-03-22T14:38:47.859Z
029,Split #29,00:00:03.420,00:01:43.905,2023-03-22T14:38:51.279Z
030,Split #30,00:00:03.419,00:01:47.324,2023-03-22T14:38:54.698Z
031,Split #31,00:00:03.015,00:01:50.339,2023-03-22T14:38:57.713Z
032,Split #32,00:00:03.374,00:01:53.713,2023-03-22T14:39:01.087Z
033,Split #33,00:00:03.309,00:01:57.022,2023-03-22T14:39:04.396Z
034,Split #34,00:00:03.688,00:02:00.710,2023-03-22T14:39:08.084Z
035,Split #35,00:00:03.331,00:02:04.041,2023-03-22T14:39:11.415Z
036,Split #36,00:00:03.217,00:02:07.258,2023-03-22T14:39:14.632Z
037,Split #37,00:00:03.285,00:02:10.543,2023-03-22T14:39:17.917Z
038,Split #38,00:00:03.198,00:02:13.741,2023-03-22T14:39:21.115Z
039,Split #39,00:00:02.878,00:02:16.619,2023-03-22T14:39:23.993Z
040,Split #40,00:00:03.397,00:02:20.016,2023-03-22T14:39:27.390Z
041,Split #41,00:00:03.173,00:02:23.189,2023-03-22T14:39:30.563Z
042,Split #42,00:00:03.149,00:02:26.338,2023-03-22T14:39:33.712Z
043,Split #43,00:00:03.442,00:02:29.780,2023-03-22T14:39:37.154Z
044,Split #44,00:00:03.421,00:02:33.201,2023-03-22T14:39:40.575Z
045,Split #45,00:00:03.014,00:02:36.215,2023-03-22T14:39:43.589Z
046,Split #46,00:00:03.242,00:02:39.457,2023-03-22T14:39:46.831Z
047,Split #47,00:00:03.083,00:02:42.540,2023-03-22T14:39:49.914Z
048,Split #48,00:00:02.272,00:02:44.812,2023-03-22T14:39:52.186Z
049,Split #49,00:00:00.990,00:02:45.802,2023-03-22T14:39:53.176Z
050,Split #50,00:00:03.645,00:02:49.447,2023-03-22T14:39:56.821Z
051,Split #51,00:00:03.736,00:02:53.183,2023-03-22T14:40:00.557Z
052,Split #52,00:00:00.606,00:02:53.789,2023-03-22T14:40:01.163Z
053,Split #53,00:00:03.298,00:02:57.087,2023-03-22T14:40:04.461Z
054,Split #54,00:00:03.069,00:03:00.156,2023-03-22T14:40:07.530Z
055,Split #55,00:00:03.197,00:03:03.353,2023-03-22T14:40:10.727Z
056,Split #56,00:00:03.306,00:03:06.659,2023-03-22T14:40:14.033Z
057,Split #57,00:00:02.925,00:03:09.584,2023-03-22T14:40:16.958Z
058,Split #58,00:00:02.925,00:03:12.509,2023-03-22T14:40:19.883Z
059,Split #59,00:00:03.263,00:03:15.772,2023-03-22T14:40:23.146Z
060,Split #60,00:00:03.196,00:03:18.968,2023-03-22T14:40:26.342Z
061,Split #61,00:00:02.856,00:03:21.824,2023-03-22T14:40:29.198Z
062,Split #62,00:00:02.938,00:03:24.762,2023-03-22T14:40:32.136Z
063,Split #63,00:00:02.936,00:03:27.698,2023-03-22T14:40:35.072Z
064,Split #64,00:00:02.833,00:03:30.531,2023-03-22T14:40:37.905Z
065,Split #65,00:00:02.950,00:03:33.481,2023-03-22T14:40:40.855Z
066,Split #66,00:00:03.194,00:03:36.675,2023-03-22T14:40:44.049Z
067,Split #67,00:00:02.993,00:03:39.668,2023-03-22T14:40:47.042Z
068,Split #68,00:00:02.991,00:03:42.659,2023-03-22T14:40:50.033Z
069,Split #69,00:00:02.768,00:03:45.427,2023-03-22T14:40:52.801Z
070,Split #70,00:00:02.903,00:03:48.330,2023-03-22T14:40:55.704Z
071,Split #71,00:00:02.677,00:03:51.007,2023-03-22T14:40:58.381Z
072,Split #72,00:00:02.858,00:03:53.865,2023-03-22T14:41:01.239Z
073,Split #73,00:00:02.858,00:03:56.723,2023-03-22T14:41:04.097Z
074,Split #74,00:00:02.813,00:03:59.536,2023-03-22T14:41:06.910Z
075,Split #75,00:00:02.632,00:04:02.168,2023-03-22T14:41:09.542Z
076,Split #76,00:00:02.859,00:04:05.027,2023-03-22T14:41:12.401Z
077,Split #77,00:00:02.766,00:04:07.793,2023-03-22T14:41:15.167Z
078,Split #78,00:00:02.891,00:04:10.684,2023-03-22T14:41:18.058Z
079,Split #79,00:00:02.812,00:04:13.496,2023-03-22T14:41:20.870Z
080,Split #80,00:00:03.488,00:04:16.984,2023-03-22T14:41:24.358Z
081,Split #81,00:00:03.285,00:04:20.269,2023-03-22T14:41:27.643Z
082,Split #82,00:00:03.320,00:04:23.589,2023-03-22T14:41:30.963Z
083,Split #83,00:00:04.343,00:04:27.932,2023-03-22T14:41:35.306Z
084,Split #84,00:00:04.139,00:04:32.071,2023-03-22T14:41:39.445Z
085,Split #85,00:00:03.195,00:04:35.266,2023-03-22T14:41:42.640Z
086,Split #86,00:00:03.197,00:04:38.463,2023-03-22T14:41:45.837Z
087,Split #87,00:00:03.533,00:04:41.996,2023-03-22T14:41:49.370Z
088,Split #88,00:00:02.653,00:04:44.649,2023-03-22T14:41:52.023Z
089,Split #89,00:00:02.768,00:04:47.417,2023-03-22T14:41:54.791Z
090,Split #90,00:00:02.880,00:04:50.297,2023-03-22T14:41:57.671Z
091,Split #91,00:00:03.126,00:04:53.423,2023-03-22T14:42:00.797Z
092,Split #92,00:00:03.309,00:04:56.732,2023-03-22T14:42:04.106Z
