#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-20T09:30:50.302Z
001,Split #1,00:00:01.734,00:00:01.734,2023-03-20T09:30:52.036Z
002,Split #2,00:00:02.890,00:00:04.624,2023-03-20T09:30:54.926Z
003,Split #3,00:00:03.141,00:00:07.765,2023-03-20T09:30:58.067Z
004,Split #4,00:00:03.271,00:00:11.036,2023-03-20T09:31:01.338Z
005,Split #5,00:00:03.487,00:00:14.523,2023-03-20T09:31:04.825Z
006,Split #6,00:00:03.276,00:00:17.799,2023-03-20T09:31:08.101Z
007,Split #7,00:00:02.946,00:00:20.745,2023-03-20T09:31:11.047Z
008,Split #8,00:00:03.015,00:00:23.760,2023-03-20T09:31:14.062Z
009,Split #9,00:00:04.230,00:00:27.990,2023-03-20T09:31:18.292Z
010,Split #10,00:00:03.825,00:00:31.815,2023-03-20T09:31:22.117Z
011,Split #11,00:00:03.421,00:00:35.236,2023-03-20T09:31:25.538Z
012,Split #12,00:00:03.363,00:00:38.599,2023-03-20T09:31:28.901Z
013,Split #13,00:00:03.581,00:00:42.180,2023-03-20T09:31:32.482Z
014,Split #14,00:00:03.991,00:00:46.171,2023-03-20T09:31:36.473Z
015,Split #15,00:00:03.498,00:00:49.669,2023-03-20T09:31:39.971Z
016,Split #16,00:00:03.488,00:00:53.157,2023-03-20T09:31:43.459Z
017,Split #17,00:00:04.950,00:00:58.107,2023-03-20T09:31:48.409Z
018,Split #18,00:00:04.659,00:01:02.766,2023-03-20T09:31:53.068Z
019,Split #19,00:00:03.352,00:01:06.118,2023-03-20T09:31:56.420Z
020,Split #20,00:00:03.486,00:01:09.604,2023-03-20T09:31:59.906Z
021,Split #21,00:00:03.352,00:01:12.956,2023-03-20T09:32:03.258Z
022,Split #22,00:00:03.208,00:01:16.164,2023-03-20T09:32:06.466Z
023,Split #23,00:00:03.454,00:01:19.618,2023-03-20T09:32:09.920Z
024,Split #24,00:00:03.464,00:01:23.082,2023-03-20T09:32:13.384Z
025,Split #25,00:00:05.130,00:01:28.212,2023-03-20T09:32:18.514Z
026,Split #26,00:00:03.667,00:01:31.879,2023-03-20T09:32:22.181Z
027,Split #27,00:00:03.150,00:01:35.029,2023-03-20T09:32:25.331Z
028,Split #28,00:00:02.903,00:01:37.932,2023-03-20T09:32:28.234Z
029,Split #29,00:00:02.926,00:01:40.858,2023-03-20T09:32:31.160Z
030,Split #30,00:00:03.127,00:01:43.985,2023-03-20T09:32:34.287Z
031,Split #31,00:00:02.792,00:01:46.777,2023-03-20T09:32:37.079Z
032,Split #32,00:00:02.821,00:01:49.598,2023-03-20T09:32:39.900Z
033,Split #33,00:00:03.264,00:01:52.862,2023-03-20T09:32:43.164Z
034,Split #34,00:00:03.397,00:01:56.259,2023-03-20T09:32:46.561Z
035,Split #35,00:00:03.577,00:01:59.836,2023-03-20T09:32:50.138Z
036,Split #36,00:00:03.274,00:02:03.110,2023-03-20T09:32:53.412Z
037,Split #37,00:00:03.454,00:02:06.564,2023-03-20T09:32:56.866Z
038,Split #38,00:00:02.712,00:02:09.276,2023-03-20T09:32:59.578Z
039,Split #39,00:00:02.564,00:02:11.840,2023-03-20T09:33:02.142Z
040,Split #40,00:00:02.767,00:02:14.607,2023-03-20T09:33:04.909Z
041,Split #41,00:00:02.835,00:02:17.442,2023-03-20T09:33:07.744Z
042,Split #42,00:00:02.656,00:02:20.098,2023-03-20T09:33:10.400Z
043,Split #43,00:00:03.454,00:02:23.552,2023-03-20T09:33:13.854Z
044,Split #44,00:00:02.766,00:02:26.318,2023-03-20T09:33:16.620Z
045,Split #45,00:00:02.848,00:02:29.166,2023-03-20T09:33:19.468Z
046,Split #46,00:00:03.149,00:02:32.315,2023-03-20T09:33:22.617Z
047,Split #47,00:00:02.847,00:02:35.162,2023-03-20T09:33:25.464Z
048,Split #48,00:00:02.858,00:02:38.020,2023-03-20T09:33:28.322Z
049,Split #49,00:00:03.455,00:02:41.475,2023-03-20T09:33:31.777Z
050,Split #50,00:00:03.802,00:02:45.277,2023-03-20T09:33:35.579Z
051,Split #51,00:00:02.947,00:02:48.224,2023-03-20T09:33:38.526Z
052,Split #52,00:00:02.924,00:02:51.148,2023-03-20T09:33:41.450Z
053,Split #53,00:00:02.813,00:02:53.961,2023-03-20T09:33:44.263Z
054,Split #54,00:00:02.801,00:02:56.762,2023-03-20T09:33:47.064Z
055,Split #55,00:00:02.565,00:02:59.327,2023-03-20T09:33:49.629Z
056,Split #56,00:00:02.610,00:03:01.937,2023-03-20T09:33:52.239Z
057,Split #57,00:00:02.746,00:03:04.683,2023-03-20T09:33:54.985Z
058,Split #58,00:00:02.710,00:03:07.393,2023-03-20T09:33:57.695Z
059,Split #59,00:00:02.497,00:03:09.890,2023-03-20T09:34:00.192Z
060,Split #60,00:00:02.748,00:03:12.638,2023-03-20T09:34:02.940Z
061,Split #61,00:00:02.632,00:03:15.270,2023-03-20T09:34:05.572Z
062,Split #62,00:00:02.473,00:03:17.743,2023-03-20T09:34:08.045Z
063,Split #63,00:00:02.565,00:03:20.308,2023-03-20T09:34:10.610Z
064,Split #64,00:00:02.374,00:03:22.682,2023-03-20T09:34:12.984Z
065,Split #65,00:00:02.904,00:03:25.586,2023-03-20T09:34:15.888Z
066,Split #66,00:00:02.317,00:03:27.903,2023-03-20T09:34:18.205Z
067,Split #67,00:00:02.452,00:03:30.355,2023-03-20T09:34:20.657Z
068,Split #68,00:00:02.632,00:03:32.987,2023-03-20T09:34:23.289Z
069,Split #69,00:00:02.543,00:03:35.530,2023-03-20T09:34:25.832Z
070,Split #70,00:00:02.634,00:03:38.164,2023-03-20T09:34:28.466Z
071,Split #71,00:00:02.609,00:03:40.773,2023-03-20T09:34:31.075Z
072,Split #72,00:00:02.589,00:03:43.362,2023-03-20T09:34:33.664Z
073,Split #73,00:00:02.701,00:03:46.063,2023-03-20T09:34:36.365Z
074,Split #74,00:00:02.731,00:03:48.794,2023-03-20T09:34:39.096Z
075,Split #75,00:00:03.174,00:03:51.968,2023-03-20T09:34:42.270Z
076,Split #76,00:00:02.585,00:03:54.553,2023-03-20T09:34:44.855Z
077,Split #77,00:00:03.028,00:03:57.581,2023-03-20T09:34:47.883Z
078,Split #78,00:00:04.073,00:04:01.654,2023-03-20T09:34:51.956Z
079,Split #79,00:00:03.170,00:04:04.824,2023-03-20T09:34:55.126Z
080,Split #80,00:00:03.039,00:04:07.863,2023-03-20T09:34:58.165Z
081,Split #81,00:00:04.106,00:04:11.969,2023-03-20T09:35:02.271Z
082,Split #82,00:00:04.321,00:04:16.290,2023-03-20T09:35:06.592Z
083,Split #83,00:00:03.373,00:04:19.663,2023-03-20T09:35:09.965Z
084,Split #84,00:00:03.579,00:04:23.242,2023-03-20T09:35:13.544Z
085,Split #85,00:00:04.296,00:04:27.538,2023-03-20T09:35:17.840Z
086,Split #86,00:00:03.092,00:04:30.630,2023-03-20T09:35:20.932Z
087,Split #87,00:00:03.163,00:04:33.793,2023-03-20T09:35:24.095Z
088,Split #88,00:00:03.398,00:04:37.191,2023-03-20T09:35:27.493Z
089,Split #89,00:00:03.407,00:04:40.598,2023-03-20T09:35:30.900Z
