#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-21T19:02:36.285Z
001,Split #1,00:00:13.265,00:00:13.265,2023-03-21T19:02:49.550Z
002,Split #2,00:00:03.588,00:00:16.853,2023-03-21T19:02:53.138Z
003,Split #3,00:00:02.766,00:00:19.619,2023-03-21T19:02:55.904Z
004,Split #4,00:00:02.701,00:00:22.320,2023-03-21T19:02:58.605Z
005,Split #5,00:00:02.970,00:00:25.290,2023-03-21T19:03:01.575Z
006,Split #6,00:00:02.936,00:00:28.226,2023-03-21T19:03:04.511Z
007,Split #7,00:00:02.811,00:00:31.037,2023-03-21T19:03:07.322Z
008,Split #8,00:00:02.745,00:00:33.782,2023-03-21T19:03:10.067Z
009,Split #9,00:00:02.812,00:00:36.594,2023-03-21T19:03:12.879Z
010,Split #10,00:00:02.902,00:00:39.496,2023-03-21T19:03:15.781Z
011,Split #11,00:00:02.893,00:00:42.389,2023-03-21T19:03:18.674Z
012,Split #12,00:00:02.868,00:00:45.257,2023-03-21T19:03:21.542Z
013,Split #13,00:00:02.903,00:00:48.160,2023-03-21T19:03:24.445Z
014,Split #14,00:00:02.722,00:00:50.882,2023-03-21T19:03:27.167Z
015,Split #15,00:00:02.948,00:00:53.830,2023-03-21T19:03:30.115Z
016,Split #16,00:00:02.812,00:00:56.642,2023-03-21T19:03:32.927Z
017,Split #17,00:00:02.880,00:00:59.522,2023-03-21T19:03:35.807Z
018,Split #18,00:00:02.902,00:01:02.424,2023-03-21T19:03:38.709Z
019,Split #19,00:00:02.767,00:01:05.191,2023-03-21T19:03:41.476Z
020,Split #20,00:00:02.913,00:01:08.104,2023-03-21T19:03:44.389Z
021,Split #21,00:00:02.859,00:01:10.963,2023-03-21T19:03:47.248Z
022,Split #22,00:00:02.947,00:01:13.910,2023-03-21T19:03:50.195Z
023,Split #23,00:00:02.789,00:01:16.699,2023-03-21T19:03:52.984Z
024,Split #24,00:00:02.725,00:01:19.424,2023-03-21T19:03:55.709Z
025,Split #25,00:00:02.923,00:01:22.347,2023-03-21T19:03:58.632Z
026,Split #26,00:00:03.082,00:01:25.429,2023-03-21T19:04:01.714Z
027,Split #27,00:00:02.902,00:01:28.331,2023-03-21T19:04:04.616Z
028,Split #28,00:00:02.768,00:01:31.099,2023-03-21T19:04:07.384Z
029,Split #29,00:00:02.928,00:01:34.027,2023-03-21T19:04:10.312Z
030,Split #30,00:00:02.809,00:01:36.836,2023-03-21T19:04:13.121Z
031,Split #31,00:00:02.834,00:01:39.670,2023-03-21T19:04:15.955Z
032,Split #32,00:00:02.791,00:01:42.461,2023-03-21T19:04:18.746Z
033,Split #33,00:00:02.768,00:01:45.229,2023-03-21T19:04:21.514Z
034,Split #34,00:00:03.195,00:01:48.424,2023-03-21T19:04:24.709Z
