#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-05T07:18:46.573Z
001,Split #1,00:00:03.411,00:00:03.411,2023-04-05T07:18:49.984Z
002,Split #2,00:00:03.057,00:00:06.468,2023-04-05T07:18:53.041Z
003,Split #3,00:00:03.760,00:00:10.228,2023-04-05T07:18:56.801Z
004,Split #4,00:00:02.969,00:00:13.197,2023-04-05T07:18:59.770Z
005,Split #5,00:00:03.172,00:00:16.369,2023-04-05T07:19:02.942Z
006,Split #6,00:00:03.242,00:00:19.611,2023-04-05T07:19:06.184Z
007,Split #7,00:00:03.957,00:00:23.568,2023-04-05T07:19:10.141Z
008,Split #8,00:00:02.750,00:00:26.318,2023-04-05T07:19:12.891Z
009,Split #9,00:00:02.899,00:00:29.217,2023-04-05T07:19:15.790Z
010,Split #10,00:00:02.812,00:00:32.029,2023-04-05T07:19:18.602Z
011,Split #11,00:00:02.891,00:00:34.920,2023-04-05T07:19:21.493Z
012,Split #12,00:00:02.880,00:00:37.800,2023-04-05T07:19:24.373Z
013,Split #13,00:00:02.722,00:00:40.522,2023-04-05T07:19:27.095Z
014,Split #14,00:00:02.903,00:00:43.425,2023-04-05T07:19:29.998Z
015,Split #15,00:00:02.970,00:00:46.395,2023-04-05T07:19:32.968Z
016,Split #16,00:00:04.095,00:00:50.490,2023-04-05T07:19:37.063Z
017,Split #17,00:00:04.052,00:00:54.542,2023-04-05T07:19:41.115Z
018,Split #18,00:00:03.059,00:00:57.601,2023-04-05T07:19:44.174Z
019,Split #19,00:00:02.924,00:01:00.525,2023-04-05T07:19:47.098Z
020,Split #20,00:00:02.689,00:01:03.214,2023-04-05T07:19:49.787Z
021,Split #21,00:00:02.903,00:01:06.117,2023-04-05T07:19:52.690Z
022,Split #22,00:00:03.397,00:01:09.514,2023-04-05T07:19:56.087Z
023,Split #23,00:00:02.972,00:01:12.486,2023-04-05T07:19:59.059Z
024,Split #24,00:00:04.746,00:01:17.232,2023-04-05T07:20:03.805Z
025,Split #25,00:00:03.871,00:01:21.103,2023-04-05T07:20:07.676Z
026,Split #26,00:00:03.081,00:01:24.184,2023-04-05T07:20:10.757Z
027,Split #27,00:00:03.286,00:01:27.470,2023-04-05T07:20:14.043Z
028,Split #28,00:00:02.969,00:01:30.439,2023-04-05T07:20:17.012Z
029,Split #29,00:00:03.375,00:01:33.814,2023-04-05T07:20:20.387Z
030,Split #30,00:00:02.880,00:01:36.694,2023-04-05T07:20:23.267Z
031,Split #31,00:00:02.712,00:01:39.406,2023-04-05T07:20:25.979Z
032,Split #32,00:00:03.467,00:01:42.873,2023-04-05T07:20:29.446Z
033,Split #33,00:00:04.161,00:01:47.034,2023-04-05T07:20:33.607Z
034,Split #34,00:00:03.701,00:01:50.735,2023-04-05T07:20:37.308Z
035,Split #35,00:00:03.625,00:01:54.360,2023-04-05T07:20:40.933Z
036,Split #36,00:00:03.192,00:01:57.552,2023-04-05T07:20:44.125Z
037,Split #37,00:00:03.510,00:02:01.062,2023-04-05T07:20:47.635Z
038,Split #38,00:00:03.037,00:02:04.099,2023-04-05T07:20:50.672Z
039,Split #39,00:00:03.286,00:02:07.385,2023-04-05T07:20:53.958Z
040,Split #40,00:00:02.947,00:02:10.332,2023-04-05T07:20:56.905Z
041,Split #41,00:00:03.421,00:02:13.753,2023-04-05T07:21:00.326Z
042,Split #42,00:00:03.217,00:02:16.970,2023-04-05T07:21:03.543Z
043,Split #43,00:00:02.947,00:02:19.917,2023-04-05T07:21:06.490Z
044,Split #44,00:00:03.128,00:02:23.045,2023-04-05T07:21:09.618Z
045,Split #45,00:00:03.465,00:02:26.510,2023-04-05T07:21:13.083Z
046,Split #46,00:00:03.038,00:02:29.548,2023-04-05T07:21:16.121Z
