#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-23T19:41:34.883Z
001,Split #1,00:00:05.277,00:00:05.277,2023-04-23T19:41:40.160Z
002,Split #2,00:00:03.228,00:00:08.505,2023-04-23T19:41:43.388Z
003,Split #3,00:00:03.589,00:00:12.094,2023-04-23T19:41:46.977Z
004,Split #4,00:00:03.656,00:00:15.750,2023-04-23T19:41:50.633Z
005,Split #5,00:00:03.646,00:00:19.396,2023-04-23T19:41:54.279Z
006,Split #6,00:00:03.621,00:00:23.017,2023-04-23T19:41:57.900Z
007,Split #7,00:00:03.476,00:00:26.493,2023-04-23T19:42:01.376Z
008,Split #8,00:00:03.534,00:00:30.027,2023-04-23T19:42:04.910Z
009,Split #9,00:00:04.251,00:00:34.278,2023-04-23T19:42:09.161Z
010,Split #10,00:00:03.106,00:00:37.384,2023-04-23T19:42:12.267Z
011,Split #11,00:00:03.262,00:00:40.646,2023-04-23T19:42:15.529Z
012,Split #12,00:00:03.375,00:00:44.021,2023-04-23T19:42:18.904Z
013,Split #13,00:00:03.038,00:00:47.059,2023-04-23T19:42:21.942Z
014,Split #14,00:00:03.262,00:00:50.321,2023-04-23T19:42:25.204Z
015,Split #15,00:00:03.116,00:00:53.437,2023-04-23T19:42:28.320Z
016,Split #16,00:00:03.219,00:00:56.656,2023-04-23T19:42:31.539Z
017,Split #17,00:00:03.992,00:01:00.648,2023-04-23T19:42:35.531Z
018,Split #18,00:00:03.150,00:01:03.798,2023-04-23T19:42:38.681Z
019,Split #19,00:00:03.150,00:01:06.948,2023-04-23T19:42:41.831Z
020,Split #20,00:00:02.995,00:01:09.943,2023-04-23T19:42:44.826Z
021,Split #21,00:00:03.219,00:01:13.162,2023-04-23T19:42:48.045Z
022,Split #22,00:00:03.352,00:01:16.514,2023-04-23T19:42:51.397Z
023,Split #23,00:00:03.103,00:01:19.617,2023-04-23T19:42:54.500Z
024,Split #24,00:00:03.038,00:01:22.655,2023-04-23T19:42:57.538Z
025,Split #25,00:00:03.625,00:01:26.280,2023-04-23T19:43:01.163Z
026,Split #26,00:00:03.284,00:01:29.564,2023-04-23T19:43:04.447Z
027,Split #27,00:00:03.509,00:01:33.073,2023-04-23T19:43:07.956Z
028,Split #28,00:00:03.130,00:01:36.203,2023-04-23T19:43:11.086Z
029,Split #29,00:00:03.171,00:01:39.374,2023-04-23T19:43:14.257Z
030,Split #30,00:00:03.105,00:01:42.479,2023-04-23T19:43:17.362Z
031,Split #31,00:00:02.587,00:01:45.066,2023-04-23T19:43:19.949Z
032,Split #32,00:00:02.769,00:01:47.835,2023-04-23T19:43:22.718Z
033,Split #33,00:00:03.082,00:01:50.917,2023-04-23T19:43:25.800Z
034,Split #34,00:00:03.421,00:01:54.338,2023-04-23T19:43:29.221Z
035,Split #35,00:00:03.329,00:01:57.667,2023-04-23T19:43:32.550Z
036,Split #36,00:00:03.105,00:02:00.772,2023-04-23T19:43:35.655Z
037,Split #37,00:00:03.016,00:02:03.788,2023-04-23T19:43:38.671Z
038,Split #38,00:00:03.104,00:02:06.892,2023-04-23T19:43:41.775Z
039,Split #39,00:00:02.521,00:02:09.413,2023-04-23T19:43:44.296Z
040,Split #40,00:00:02.700,00:02:12.113,2023-04-23T19:43:46.996Z
041,Split #41,00:00:05.332,00:02:17.445,2023-04-23T19:43:52.328Z
042,Split #42,00:00:02.947,00:02:20.392,2023-04-23T19:43:55.275Z
043,Split #43,00:00:02.677,00:02:23.069,2023-04-23T19:43:57.952Z
044,Split #44,00:00:02.655,00:02:25.724,2023-04-23T19:44:00.607Z
045,Split #45,00:00:02.701,00:02:28.425,2023-04-23T19:44:03.308Z
046,Split #46,00:00:02.474,00:02:30.899,2023-04-23T19:44:05.782Z
047,Split #47,00:00:02.655,00:02:33.554,2023-04-23T19:44:08.437Z
048,Split #48,00:00:03.510,00:02:37.064,2023-04-23T19:44:11.947Z
049,Split #49,00:00:03.646,00:02:40.710,2023-04-23T19:44:15.593Z
050,Split #50,00:00:01.124,00:02:41.834,2023-04-23T19:44:16.717Z
051,Split #51,00:00:01.913,00:02:43.747,2023-04-23T19:44:18.630Z
052,Split #52,00:00:02.734,00:02:46.481,2023-04-23T19:44:21.364Z
053,Split #53,00:00:02.789,00:02:49.270,2023-04-23T19:44:24.153Z
054,Split #54,00:00:02.926,00:02:52.196,2023-04-23T19:44:27.079Z
055,Split #55,00:00:02.813,00:02:55.009,2023-04-23T19:44:29.892Z
056,Split #56,00:00:02.971,00:02:57.980,2023-04-23T19:44:32.863Z
057,Split #57,00:00:02.968,00:03:00.948,2023-04-23T19:44:35.831Z
058,Split #58,00:00:02.701,00:03:03.649,2023-04-23T19:44:38.532Z
059,Split #59,00:00:02.654,00:03:06.303,2023-04-23T19:44:41.186Z
060,Split #60,00:00:02.565,00:03:08.868,2023-04-23T19:44:43.751Z
061,Split #61,00:00:02.632,00:03:11.500,2023-04-23T19:44:46.383Z
062,Split #62,00:00:02.588,00:03:14.088,2023-04-23T19:44:48.971Z
063,Split #63,00:00:02.476,00:03:16.564,2023-04-23T19:44:51.447Z
064,Split #64,00:00:02.609,00:03:19.173,2023-04-23T19:44:54.056Z
065,Split #65,00:00:02.477,00:03:21.650,2023-04-23T19:44:56.533Z
066,Split #66,00:00:02.720,00:03:24.370,2023-04-23T19:44:59.253Z
067,Split #67,00:00:02.633,00:03:27.003,2023-04-23T19:45:01.886Z
068,Split #68,00:00:02.588,00:03:29.591,2023-04-23T19:45:04.474Z
069,Split #69,00:00:02.497,00:03:32.088,2023-04-23T19:45:06.971Z
070,Split #70,00:00:02.790,00:03:34.878,2023-04-23T19:45:09.761Z
071,Split #71,00:00:02.409,00:03:37.287,2023-04-23T19:45:12.170Z
072,Split #72,00:00:02.429,00:03:39.716,2023-04-23T19:45:14.599Z
073,Split #73,00:00:02.598,00:03:42.314,2023-04-23T19:45:17.197Z
074,Split #74,00:00:03.252,00:03:45.566,2023-04-23T19:45:20.449Z
075,Split #75,00:00:03.059,00:03:48.625,2023-04-23T19:45:23.508Z
076,Split #76,00:00:02.881,00:03:51.506,2023-04-23T19:45:26.389Z
077,Split #77,00:00:03.723,00:03:55.229,2023-04-23T19:45:30.112Z
078,Split #78,00:00:04.208,00:03:59.437,2023-04-23T19:45:34.320Z
079,Split #79,00:00:03.712,00:04:03.149,2023-04-23T19:45:38.032Z
080,Split #80,00:00:03.375,00:04:06.524,2023-04-23T19:45:41.407Z
081,Split #81,00:00:03.758,00:04:10.282,2023-04-23T19:45:45.165Z
082,Split #82,00:00:04.769,00:04:15.051,2023-04-23T19:45:49.934Z
083,Split #83,00:00:03.465,00:04:18.516,2023-04-23T19:45:53.399Z
084,Split #84,00:00:03.601,00:04:22.117,2023-04-23T19:45:57.000Z
085,Split #85,00:00:04.612,00:04:26.729,2023-04-23T19:46:01.612Z
086,Split #86,00:00:03.667,00:04:30.396,2023-04-23T19:46:05.279Z
087,Split #87,00:00:02.974,00:04:33.370,2023-04-23T19:46:08.253Z
088,Split #88,00:00:02.202,00:04:35.572,2023-04-23T19:46:10.455Z
089,Split #89,00:00:02.971,00:04:38.543,2023-04-23T19:46:13.426Z
090,Split #90,00:00:03.262,00:04:41.805,2023-04-23T19:46:16.688Z
091,Split #91,00:00:03.914,00:04:45.719,2023-04-23T19:46:20.602Z
092,Split #92,00:00:03.241,00:04:48.960,2023-04-23T19:46:23.843Z
093,Split #93,00:00:03.757,00:04:52.717,2023-04-23T19:46:27.600Z
094,Split #94,00:00:03.713,00:04:56.430,2023-04-23T19:46:31.313Z
095,Split #95,00:00:03.352,00:04:59.782,2023-04-23T19:46:34.665Z
096,Split #96,00:00:02.857,00:05:02.639,2023-04-23T19:46:37.522Z
097,Split #97,00:00:03.106,00:05:05.745,2023-04-23T19:46:40.628Z
098,Split #98,00:00:03.487,00:05:09.232,2023-04-23T19:46:44.115Z
099,Split #99,00:00:03.116,00:05:12.348,2023-04-23T19:46:47.231Z
100,Split #100,00:00:03.285,00:05:15.633,2023-04-23T19:46:50.516Z
101,Split #101,00:00:03.150,00:05:18.783,2023-04-23T19:46:53.666Z
102,Split #102,00:00:03.534,00:05:22.317,2023-04-23T19:46:57.200Z
103,Split #103,00:00:03.171,00:05:25.488,2023-04-23T19:47:00.371Z
104,Split #104,00:00:03.333,00:05:28.821,2023-04-23T19:47:03.704Z
105,Split #105,00:00:03.598,00:05:32.419,2023-04-23T19:47:07.302Z
106,Split #106,00:00:03.601,00:05:36.020,2023-04-23T19:47:10.903Z
107,Split #107,00:00:03.464,00:05:39.484,2023-04-23T19:47:14.367Z
108,Split #108,00:00:03.240,00:05:42.724,2023-04-23T19:47:17.607Z
109,Split #109,00:00:03.262,00:05:45.986,2023-04-23T19:47:20.869Z
110,Split #110,00:00:03.960,00:05:49.946,2023-04-23T19:47:24.829Z
111,Split #111,00:00:03.600,00:05:53.546,2023-04-23T19:47:28.429Z
112,Split #112,00:00:03.510,00:05:57.056,2023-04-23T19:47:31.939Z
113,Split #113,00:00:03.689,00:06:00.745,2023-04-23T19:47:35.628Z
114,Split #114,00:00:04.411,00:06:05.156,2023-04-23T19:47:40.039Z
115,Split #115,00:00:03.577,00:06:08.733,2023-04-23T19:47:43.616Z
116,Split #116,00:00:03.288,00:06:12.021,2023-04-23T19:47:46.904Z
117,Split #117,00:00:03.194,00:06:15.215,2023-04-23T19:47:50.098Z
118,Split #118,00:00:03.958,00:06:19.173,2023-04-23T19:47:54.056Z
119,Split #119,00:00:03.285,00:06:22.458,2023-04-23T19:47:57.341Z
120,Split #120,00:00:03.173,00:06:25.631,2023-04-23T19:48:00.514Z
121,Split #121,00:00:04.073,00:06:29.704,2023-04-23T19:48:04.587Z
122,Split #122,00:00:03.694,00:06:33.398,2023-04-23T19:48:08.281Z
123,Split #123,00:00:02.987,00:06:36.385,2023-04-23T19:48:11.268Z
124,Split #124,00:00:03.006,00:06:39.391,2023-04-23T19:48:14.274Z
125,Split #125,00:00:05.263,00:06:44.654,2023-04-23T19:48:19.537Z
126,Split #126,00:00:04.006,00:06:48.660,2023-04-23T19:48:23.543Z
127,Split #127,00:00:04.367,00:06:53.027,2023-04-23T19:48:27.910Z
128,Split #128,00:00:03.634,00:06:56.661,2023-04-23T19:48:31.544Z
129,Split #129,00:00:03.496,00:07:00.157,2023-04-23T19:48:35.040Z
130,Split #130,00:00:03.543,00:07:03.700,2023-04-23T19:48:38.583Z
131,Split #131,00:00:03.962,00:07:07.662,2023-04-23T19:48:42.545Z
132,Split #132,00:00:04.161,00:07:11.823,2023-04-23T19:48:46.706Z
133,Split #133,00:00:05.333,00:07:17.156,2023-04-23T19:48:52.039Z
134,Split #134,00:00:06.729,00:07:23.885,2023-04-23T19:48:58.768Z
135,Split #135,00:00:03.868,00:07:27.753,2023-04-23T19:49:02.636Z
136,Split #136,00:00:03.285,00:07:31.038,2023-04-23T19:49:05.921Z
137,Split #137,00:00:03.240,00:07:34.278,2023-04-23T19:49:09.161Z
138,Split #138,00:00:03.961,00:07:38.239,2023-04-23T19:49:13.122Z
139,Split #139,00:00:03.217,00:07:41.456,2023-04-23T19:49:16.339Z
140,Split #140,00:00:03.037,00:07:44.493,2023-04-23T19:49:19.376Z
141,Split #141,00:00:03.847,00:07:48.340,2023-04-23T19:49:23.223Z
142,Split #142,00:00:04.253,00:07:52.593,2023-04-23T19:49:27.476Z
143,Split #143,00:00:03.555,00:07:56.148,2023-04-23T19:49:31.031Z
144,Split #144,00:00:03.431,00:07:59.579,2023-04-23T19:49:34.462Z
145,Split #145,00:00:03.195,00:08:02.774,2023-04-23T19:49:37.657Z
146,Split #146,00:00:03.510,00:08:06.284,2023-04-23T19:49:41.167Z
147,Split #147,00:00:03.038,00:08:09.322,2023-04-23T19:49:44.205Z
148,Split #148,00:00:02.790,00:08:12.112,2023-04-23T19:49:46.995Z
149,Split #149,00:00:04.049,00:08:16.161,2023-04-23T19:49:51.044Z
150,Split #150,00:00:02.881,00:08:19.042,2023-04-23T19:49:53.925Z
151,Split #151,00:00:03.150,00:08:22.192,2023-04-23T19:49:57.075Z
152,Split #152,00:00:03.240,00:08:25.432,2023-04-23T19:50:00.315Z
153,Split #153,00:00:03.490,00:08:28.922,2023-04-23T19:50:03.805Z
154,Split #154,00:00:03.012,00:08:31.934,2023-04-23T19:50:06.817Z
155,Split #155,00:00:03.398,00:08:35.332,2023-04-23T19:50:10.215Z
156,Split #156,00:00:03.353,00:08:38.685,2023-04-23T19:50:13.568Z
157,Split #157,00:00:02.947,00:08:41.632,2023-04-23T19:50:16.515Z
158,Split #158,00:00:02.994,00:08:44.626,2023-04-23T19:50:19.509Z
159,Split #159,00:00:02.687,00:08:47.313,2023-04-23T19:50:22.196Z
160,Split #160,00:00:02.655,00:08:49.968,2023-04-23T19:50:24.851Z
161,Split #161,00:00:03.015,00:08:52.983,2023-04-23T19:50:27.866Z
162,Split #162,00:00:03.218,00:08:56.201,2023-04-23T19:50:31.084Z
163,Split #163,00:00:02.902,00:08:59.103,2023-04-23T19:50:33.986Z
164,Split #164,00:00:02.926,00:09:02.029,2023-04-23T19:50:36.912Z
165,Split #165,00:00:03.059,00:09:05.088,2023-04-23T19:50:39.971Z
166,Split #166,00:00:02.768,00:09:07.856,2023-04-23T19:50:42.739Z
167,Split #167,00:00:02.902,00:09:10.758,2023-04-23T19:50:45.641Z
168,Split #168,00:00:02.959,00:09:13.717,2023-04-23T19:50:48.600Z
169,Split #169,00:00:02.813,00:09:16.530,2023-04-23T19:50:51.413Z
