#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-02T14:20:19.144Z
001,Split #1,00:00:03.983,00:00:03.983,2023-04-02T14:20:23.127Z
002,Split #2,00:00:04.117,00:00:08.100,2023-04-02T14:20:27.244Z
003,Split #3,00:00:03.386,00:00:11.486,2023-04-02T14:20:30.630Z
004,Split #4,00:00:03.623,00:00:15.109,2023-04-02T14:20:34.253Z
005,Split #5,00:00:03.577,00:00:18.686,2023-04-02T14:20:37.830Z
006,Split #6,00:00:03.612,00:00:22.298,2023-04-02T14:20:41.442Z
007,Split #7,00:00:03.107,00:00:25.405,2023-04-02T14:20:44.549Z
008,Split #8,00:00:03.500,00:00:28.905,2023-04-02T14:20:48.049Z
009,Split #9,00:00:03.733,00:00:32.638,2023-04-02T14:20:51.782Z
010,Split #10,00:00:03.702,00:00:36.340,2023-04-02T14:20:55.484Z
011,Split #11,00:00:03.295,00:00:39.635,2023-04-02T14:20:58.779Z
012,Split #12,00:00:03.150,00:00:42.785,2023-04-02T14:21:01.929Z
013,Split #13,00:00:03.320,00:00:46.105,2023-04-02T14:21:05.249Z
014,Split #14,00:00:03.757,00:00:49.862,2023-04-02T14:21:09.006Z
015,Split #15,00:00:03.261,00:00:53.123,2023-04-02T14:21:12.267Z
016,Split #16,00:00:03.375,00:00:56.498,2023-04-02T14:21:15.642Z
017,Split #17,00:00:03.578,00:01:00.076,2023-04-02T14:21:19.220Z
018,Split #18,00:00:04.118,00:01:04.194,2023-04-02T14:21:23.338Z
019,Split #19,00:00:03.318,00:01:07.512,2023-04-02T14:21:26.656Z
020,Split #20,00:00:03.331,00:01:10.843,2023-04-02T14:21:29.987Z
021,Split #21,00:00:03.036,00:01:13.879,2023-04-02T14:21:33.023Z
022,Split #22,00:00:03.490,00:01:17.369,2023-04-02T14:21:36.513Z
023,Split #23,00:00:03.553,00:01:20.922,2023-04-02T14:21:40.066Z
024,Split #24,00:00:03.442,00:01:24.364,2023-04-02T14:21:43.508Z
025,Split #25,00:00:03.601,00:01:27.965,2023-04-02T14:21:47.109Z
026,Split #26,00:00:03.285,00:01:31.250,2023-04-02T14:21:50.394Z
027,Split #27,00:00:02.992,00:01:34.242,2023-04-02T14:21:53.386Z
028,Split #28,00:00:03.083,00:01:37.325,2023-04-02T14:21:56.469Z
029,Split #29,00:00:02.723,00:01:40.048,2023-04-02T14:21:59.192Z
030,Split #30,00:00:03.240,00:01:43.288,2023-04-02T14:22:02.432Z
031,Split #31,00:00:03.217,00:01:46.505,2023-04-02T14:22:05.649Z
032,Split #32,00:00:03.195,00:01:49.700,2023-04-02T14:22:08.844Z
033,Split #33,00:00:03.332,00:01:53.032,2023-04-02T14:22:12.176Z
034,Split #34,00:00:03.171,00:01:56.203,2023-04-02T14:22:15.347Z
035,Split #35,00:00:03.217,00:01:59.420,2023-04-02T14:22:18.564Z
036,Split #36,00:00:02.948,00:02:02.368,2023-04-02T14:22:21.512Z
037,Split #37,00:00:03.060,00:02:05.428,2023-04-02T14:22:24.572Z
038,Split #38,00:00:02.992,00:02:08.420,2023-04-02T14:22:27.564Z
039,Split #39,00:00:03.083,00:02:11.503,2023-04-02T14:22:30.647Z
040,Split #40,00:00:03.018,00:02:14.521,2023-04-02T14:22:33.665Z
041,Split #41,00:00:03.236,00:02:17.757,2023-04-02T14:22:36.901Z
042,Split #42,00:00:03.207,00:02:20.964,2023-04-02T14:22:40.108Z
043,Split #43,00:00:03.492,00:02:24.456,2023-04-02T14:22:43.600Z
044,Split #44,00:00:03.360,00:02:27.816,2023-04-02T14:22:46.960Z
045,Split #45,00:00:03.127,00:02:30.943,2023-04-02T14:22:50.087Z
046,Split #46,00:00:03.330,00:02:34.273,2023-04-02T14:22:53.417Z
047,Split #47,00:00:03.094,00:02:37.367,2023-04-02T14:22:56.511Z
048,Split #48,00:00:03.072,00:02:40.439,2023-04-02T14:22:59.583Z
049,Split #49,00:00:02.980,00:02:43.419,2023-04-02T14:23:02.563Z
050,Split #50,00:00:03.735,00:02:47.154,2023-04-02T14:23:06.298Z
051,Split #51,00:00:03.151,00:02:50.305,2023-04-02T14:23:09.449Z
052,Split #52,00:00:03.285,00:02:53.590,2023-04-02T14:23:12.734Z
053,Split #53,00:00:03.194,00:02:56.784,2023-04-02T14:23:15.928Z
054,Split #54,00:00:03.084,00:02:59.868,2023-04-02T14:23:19.012Z
055,Split #55,00:00:03.399,00:03:03.267,2023-04-02T14:23:22.411Z
056,Split #56,00:00:03.237,00:03:06.504,2023-04-02T14:23:25.648Z
057,Split #57,00:00:03.308,00:03:09.812,2023-04-02T14:23:28.956Z
058,Split #58,00:00:02.993,00:03:12.805,2023-04-02T14:23:31.949Z
059,Split #59,00:00:02.249,00:03:15.054,2023-04-02T14:23:34.198Z
060,Split #60,00:00:02.521,00:03:17.575,2023-04-02T14:23:36.719Z
061,Split #61,00:00:02.655,00:03:20.230,2023-04-02T14:23:39.374Z
062,Split #62,00:00:02.994,00:03:23.224,2023-04-02T14:23:42.368Z
063,Split #63,00:00:02.485,00:03:25.709,2023-04-02T14:23:44.853Z
064,Split #64,00:00:02.857,00:03:28.566,2023-04-02T14:23:47.710Z
065,Split #65,00:00:03.150,00:03:31.716,2023-04-02T14:23:50.860Z
066,Split #66,00:00:03.038,00:03:34.754,2023-04-02T14:23:53.898Z
067,Split #67,00:00:02.857,00:03:37.611,2023-04-02T14:23:56.755Z
068,Split #68,00:00:02.600,00:03:40.211,2023-04-02T14:23:59.355Z
069,Split #69,00:00:03.104,00:03:43.315,2023-04-02T14:24:02.459Z
070,Split #70,00:00:02.950,00:03:46.265,2023-04-02T14:24:05.409Z
071,Split #71,00:00:03.148,00:03:49.413,2023-04-02T14:24:08.557Z
072,Split #72,00:00:03.059,00:03:52.472,2023-04-02T14:24:11.616Z
073,Split #73,00:00:03.263,00:03:55.735,2023-04-02T14:24:14.879Z
074,Split #74,00:00:03.152,00:03:58.887,2023-04-02T14:24:18.031Z
075,Split #75,00:00:03.384,00:04:02.271,2023-04-02T14:24:21.415Z
076,Split #76,00:00:03.241,00:04:05.512,2023-04-02T14:24:24.656Z
