#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-29T12:41:21.079Z
001,Split #1,00:00:01.505,00:00:01.505,2023-03-29T12:41:22.584Z
002,Split #2,00:00:02.318,00:00:03.823,2023-03-29T12:41:24.902Z
003,Split #3,00:00:03.200,00:00:07.023,2023-03-29T12:41:28.102Z
004,Split #4,00:00:02.541,00:00:09.564,2023-03-29T12:41:30.643Z
005,Split #5,00:00:02.631,00:00:12.195,2023-03-29T12:41:33.274Z
006,Split #6,00:00:02.767,00:00:14.962,2023-03-29T12:41:36.041Z
007,Split #7,00:00:02.639,00:00:17.601,2023-03-29T12:41:38.680Z
008,Split #8,00:00:02.671,00:00:20.272,2023-03-29T12:41:41.351Z
009,Split #9,00:00:03.173,00:00:23.445,2023-03-29T12:41:44.524Z
010,Split #10,00:00:03.060,00:00:26.505,2023-03-29T12:41:47.584Z
011,Split #11,00:00:02.712,00:00:29.217,2023-03-29T12:41:50.296Z
012,Split #12,00:00:02.902,00:00:32.119,2023-03-29T12:41:53.198Z
013,Split #13,00:00:03.172,00:00:35.291,2023-03-29T12:41:56.370Z
014,Split #14,00:00:02.711,00:00:38.002,2023-03-29T12:41:59.081Z
015,Split #15,00:00:02.938,00:00:40.940,2023-03-29T12:42:02.019Z
016,Split #16,00:00:03.129,00:00:44.069,2023-03-29T12:42:05.148Z
017,Split #17,00:00:03.465,00:00:47.534,2023-03-29T12:42:08.613Z
018,Split #18,00:00:02.990,00:00:50.524,2023-03-29T12:42:11.603Z
019,Split #19,00:00:02.902,00:00:53.426,2023-03-29T12:42:14.505Z
020,Split #20,00:00:02.793,00:00:56.219,2023-03-29T12:42:17.298Z
021,Split #21,00:00:02.769,00:00:58.988,2023-03-29T12:42:20.067Z
022,Split #22,00:00:02.808,00:01:01.796,2023-03-29T12:42:22.875Z
023,Split #23,00:00:03.061,00:01:04.857,2023-03-29T12:42:25.936Z
024,Split #24,00:00:03.070,00:01:07.927,2023-03-29T12:42:29.006Z
025,Split #25,00:00:04.074,00:01:12.001,2023-03-29T12:42:33.080Z
026,Split #26,00:00:03.420,00:01:15.421,2023-03-29T12:42:36.500Z
027,Split #27,00:00:02.973,00:01:18.394,2023-03-29T12:42:39.473Z
028,Split #28,00:00:02.835,00:01:21.229,2023-03-29T12:42:42.308Z
029,Split #29,00:00:02.652,00:01:23.881,2023-03-29T12:42:44.960Z
030,Split #30,00:00:02.723,00:01:26.604,2023-03-29T12:42:47.683Z
031,Split #31,00:00:02.486,00:01:29.090,2023-03-29T12:42:50.169Z
032,Split #32,00:00:02.395,00:01:31.485,2023-03-29T12:42:52.564Z
033,Split #33,00:00:02.814,00:01:34.299,2023-03-29T12:42:55.378Z
034,Split #34,00:00:03.995,00:01:38.294,2023-03-29T12:42:59.373Z
035,Split #35,00:00:03.105,00:01:41.399,2023-03-29T12:43:02.478Z
036,Split #36,00:00:02.902,00:01:44.301,2023-03-29T12:43:05.380Z
037,Split #37,00:00:02.385,00:01:46.686,2023-03-29T12:43:07.765Z
038,Split #38,00:00:02.586,00:01:49.272,2023-03-29T12:43:10.351Z
039,Split #39,00:00:02.317,00:01:51.589,2023-03-29T12:43:12.668Z
040,Split #40,00:00:02.207,00:01:53.796,2023-03-29T12:43:14.875Z
041,Split #41,00:00:02.272,00:01:56.068,2023-03-29T12:43:17.147Z
042,Split #42,00:00:02.339,00:01:58.407,2023-03-29T12:43:19.486Z
043,Split #43,00:00:02.432,00:02:00.839,2023-03-29T12:43:21.918Z
044,Split #44,00:00:02.271,00:02:03.110,2023-03-29T12:43:24.189Z
045,Split #45,00:00:02.297,00:02:05.407,2023-03-29T12:43:26.486Z
046,Split #46,00:00:02.451,00:02:07.858,2023-03-29T12:43:28.937Z
047,Split #47,00:00:02.341,00:02:10.199,2023-03-29T12:43:31.278Z
048,Split #48,00:00:02.633,00:02:12.832,2023-03-29T12:43:33.911Z
049,Split #49,00:00:02.767,00:02:15.599,2023-03-29T12:43:36.678Z
050,Split #50,00:00:03.013,00:02:18.612,2023-03-29T12:43:39.691Z
051,Split #51,00:00:02.589,00:02:21.201,2023-03-29T12:43:42.280Z
052,Split #52,00:00:02.317,00:02:23.518,2023-03-29T12:43:44.597Z
053,Split #53,00:00:02.204,00:02:25.722,2023-03-29T12:43:46.801Z
054,Split #54,00:00:02.183,00:02:27.905,2023-03-29T12:43:48.984Z
055,Split #55,00:00:02.431,00:02:30.336,2023-03-29T12:43:51.415Z
056,Split #56,00:00:02.137,00:02:32.473,2023-03-29T12:43:53.552Z
057,Split #57,00:00:02.519,00:02:34.992,2023-03-29T12:43:56.071Z
058,Split #58,00:00:02.419,00:02:37.411,2023-03-29T12:43:58.490Z
059,Split #59,00:00:02.386,00:02:39.797,2023-03-29T12:44:00.876Z
060,Split #60,00:00:02.294,00:02:42.091,2023-03-29T12:44:03.170Z
061,Split #61,00:00:02.431,00:02:44.522,2023-03-29T12:44:05.601Z
062,Split #62,00:00:02.475,00:02:46.997,2023-03-29T12:44:08.076Z
063,Split #63,00:00:02.375,00:02:49.372,2023-03-29T12:44:10.451Z
064,Split #64,00:00:02.372,00:02:51.744,2023-03-29T12:44:12.823Z
065,Split #65,00:00:02.613,00:02:54.357,2023-03-29T12:44:15.436Z
066,Split #66,00:00:03.372,00:02:57.729,2023-03-29T12:44:18.808Z
067,Split #67,00:00:02.317,00:03:00.046,2023-03-29T12:44:21.125Z
068,Split #68,00:00:02.274,00:03:02.320,2023-03-29T12:44:23.399Z
069,Split #69,00:00:02.159,00:03:04.479,2023-03-29T12:44:25.558Z
070,Split #70,00:00:02.632,00:03:07.111,2023-03-29T12:44:28.190Z
071,Split #71,00:00:02.634,00:03:09.745,2023-03-29T12:44:30.824Z
072,Split #72,00:00:02.655,00:03:12.400,2023-03-29T12:44:33.479Z
073,Split #73,00:00:02.476,00:03:14.876,2023-03-29T12:44:35.955Z
074,Split #74,00:00:02.540,00:03:17.416,2023-03-29T12:44:38.495Z
075,Split #75,00:00:02.589,00:03:20.005,2023-03-29T12:44:41.084Z
076,Split #76,00:00:02.497,00:03:22.502,2023-03-29T12:44:43.581Z
077,Split #77,00:00:02.903,00:03:25.405,2023-03-29T12:44:46.484Z
078,Split #78,00:00:03.396,00:03:28.801,2023-03-29T12:44:49.880Z
079,Split #79,00:00:02.883,00:03:31.684,2023-03-29T12:44:52.763Z
080,Split #80,00:00:02.879,00:03:34.563,2023-03-29T12:44:55.642Z
081,Split #81,00:00:03.239,00:03:37.802,2023-03-29T12:44:58.881Z
082,Split #82,00:00:03.284,00:03:41.086,2023-03-29T12:45:02.165Z
083,Split #83,00:00:03.107,00:03:44.193,2023-03-29T12:45:05.272Z
084,Split #84,00:00:02.699,00:03:46.892,2023-03-29T12:45:07.971Z
085,Split #85,00:00:02.859,00:03:49.751,2023-03-29T12:45:10.830Z
086,Split #86,00:00:03.004,00:03:52.755,2023-03-29T12:45:13.834Z
087,Split #87,00:00:02.384,00:03:55.139,2023-03-29T12:45:16.218Z
088,Split #88,00:00:02.137,00:03:57.276,2023-03-29T12:45:18.355Z
089,Split #89,00:00:02.184,00:03:59.460,2023-03-29T12:45:20.539Z
090,Split #90,00:00:03.148,00:04:02.608,2023-03-29T12:45:23.687Z
091,Split #91,00:00:02.228,00:04:04.836,2023-03-29T12:45:25.915Z
092,Split #92,00:00:02.206,00:04:07.042,2023-03-29T12:45:28.121Z
093,Split #93,00:00:02.227,00:04:09.269,2023-03-29T12:45:30.348Z
094,Split #94,00:00:02.812,00:04:12.081,2023-03-29T12:45:33.160Z
095,Split #95,00:00:02.475,00:04:14.556,2023-03-29T12:45:35.635Z
096,Split #96,00:00:02.195,00:04:16.751,2023-03-29T12:45:37.830Z
097,Split #97,00:00:02.250,00:04:19.001,2023-03-29T12:45:40.080Z
098,Split #98,00:00:02.229,00:04:21.230,2023-03-29T12:45:42.309Z
099,Split #99,00:00:02.036,00:04:23.266,2023-03-29T12:45:44.345Z
100,Split #100,00:00:02.203,00:04:25.469,2023-03-29T12:45:46.548Z
101,Split #101,00:00:02.093,00:04:27.562,2023-03-29T12:45:48.641Z
102,Split #102,00:00:02.318,00:04:29.880,2023-03-29T12:45:50.959Z
103,Split #103,00:00:02.138,00:04:32.018,2023-03-29T12:45:53.097Z
104,Split #104,00:00:02.136,00:04:34.154,2023-03-29T12:45:55.233Z
105,Split #105,00:00:02.184,00:04:36.338,2023-03-29T12:45:57.417Z
106,Split #106,00:00:02.923,00:04:39.261,2023-03-29T12:46:00.340Z
107,Split #107,00:00:02.162,00:04:41.423,2023-03-29T12:46:02.502Z
108,Split #108,00:00:02.338,00:04:43.761,2023-03-29T12:46:04.840Z
109,Split #109,00:00:02.218,00:04:45.979,2023-03-29T12:46:07.058Z
110,Split #110,00:00:02.113,00:04:48.092,2023-03-29T12:46:09.171Z
111,Split #111,00:00:02.251,00:04:50.343,2023-03-29T12:46:11.422Z
112,Split #112,00:00:01.949,00:04:52.292,2023-03-29T12:46:13.371Z
113,Split #113,00:00:02.269,00:04:54.561,2023-03-29T12:46:15.640Z
114,Split #114,00:00:02.476,00:04:57.037,2023-03-29T12:46:18.116Z
115,Split #115,00:00:02.248,00:04:59.285,2023-03-29T12:46:20.364Z
116,Split #116,00:00:02.193,00:05:01.478,2023-03-29T12:46:22.557Z
117,Split #117,00:00:02.182,00:05:03.660,2023-03-29T12:46:24.739Z
118,Split #118,00:00:02.678,00:05:06.338,2023-03-29T12:46:27.417Z
119,Split #119,00:00:02.360,00:05:08.698,2023-03-29T12:46:29.777Z
120,Split #120,00:00:02.430,00:05:11.128,2023-03-29T12:46:32.207Z
121,Split #121,00:00:03.131,00:05:14.259,2023-03-29T12:46:35.338Z
122,Split #122,00:00:03.484,00:05:17.743,2023-03-29T12:46:38.822Z
123,Split #123,00:00:02.700,00:05:20.443,2023-03-29T12:46:41.522Z
124,Split #124,00:00:02.229,00:05:22.672,2023-03-29T12:46:43.751Z
125,Split #125,00:00:02.472,00:05:25.144,2023-03-29T12:46:46.223Z
126,Split #126,00:00:02.296,00:05:27.440,2023-03-29T12:46:48.519Z
127,Split #127,00:00:04.005,00:05:31.445,2023-03-29T12:46:52.524Z
128,Split #128,00:00:02.047,00:05:33.492,2023-03-29T12:46:54.571Z
129,Split #129,00:00:02.542,00:05:36.034,2023-03-29T12:46:57.113Z
130,Split #130,00:00:03.059,00:05:39.093,2023-03-29T12:47:00.172Z
131,Split #131,00:00:03.421,00:05:42.514,2023-03-29T12:47:03.593Z
132,Split #132,00:00:03.127,00:05:45.641,2023-03-29T12:47:06.720Z
133,Split #133,00:00:03.803,00:05:49.444,2023-03-29T12:47:10.523Z
134,Split #134,00:00:06.232,00:05:55.676,2023-03-29T12:47:16.755Z
135,Split #135,00:00:06.301,00:06:01.977,2023-03-29T12:47:23.056Z
136,Split #136,00:00:03.722,00:06:05.699,2023-03-29T12:47:26.778Z
137,Split #137,00:00:03.308,00:06:09.007,2023-03-29T12:47:30.086Z
138,Split #138,00:00:02.903,00:06:11.910,2023-03-29T12:47:32.989Z
139,Split #139,00:00:03.084,00:06:14.994,2023-03-29T12:47:36.073Z
140,Split #140,00:00:02.990,00:06:17.984,2023-03-29T12:47:39.063Z
141,Split #141,00:00:02.794,00:06:20.778,2023-03-29T12:47:41.857Z
142,Split #142,00:00:03.250,00:06:24.028,2023-03-29T12:47:45.107Z
143,Split #143,00:00:02.720,00:06:26.748,2023-03-29T12:47:47.827Z
144,Split #144,00:00:02.791,00:06:29.539,2023-03-29T12:47:50.618Z
145,Split #145,00:00:02.925,00:06:32.464,2023-03-29T12:47:53.543Z
146,Split #146,00:00:03.036,00:06:35.500,2023-03-29T12:47:56.579Z
147,Split #147,00:00:03.064,00:06:38.564,2023-03-29T12:47:59.643Z
148,Split #148,00:00:03.260,00:06:41.824,2023-03-29T12:48:02.903Z
149,Split #149,00:00:03.377,00:06:45.201,2023-03-29T12:48:06.280Z
150,Split #150,00:00:03.533,00:06:48.734,2023-03-29T12:48:09.813Z
151,Split #151,00:00:03.351,00:06:52.085,2023-03-29T12:48:13.164Z
152,Split #152,00:00:02.855,00:06:54.940,2023-03-29T12:48:16.019Z
153,Split #153,00:00:02.341,00:06:57.281,2023-03-29T12:48:18.360Z
154,Split #154,00:00:02.475,00:06:59.756,2023-03-29T12:48:20.835Z
155,Split #155,00:00:02.655,00:07:02.411,2023-03-29T12:48:23.490Z
156,Split #156,00:00:02.545,00:07:04.956,2023-03-29T12:48:26.035Z
157,Split #157,00:00:02.284,00:07:07.240,2023-03-29T12:48:28.319Z
158,Split #158,00:00:02.249,00:07:09.489,2023-03-29T12:48:30.568Z
159,Split #159,00:00:02.296,00:07:11.785,2023-03-29T12:48:32.864Z
160,Split #160,00:00:02.495,00:07:14.280,2023-03-29T12:48:35.359Z
161,Split #161,00:00:02.631,00:07:16.911,2023-03-29T12:48:37.990Z
162,Split #162,00:00:02.410,00:07:19.321,2023-03-29T12:48:40.400Z
163,Split #163,00:00:02.521,00:07:21.842,2023-03-29T12:48:42.921Z
164,Split #164,00:00:02.385,00:07:24.227,2023-03-29T12:48:45.306Z
