#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-29T21:04:27.905Z
001,Split #1,00:00:02.216,00:00:02.216,2023-03-29T21:04:30.121Z
002,Split #2,00:00:02.751,00:00:04.967,2023-03-29T21:04:32.872Z
003,Split #3,00:00:03.932,00:00:08.899,2023-03-29T21:04:36.804Z
004,Split #4,00:00:04.501,00:00:13.400,2023-03-29T21:04:41.305Z
005,Split #5,00:00:04.048,00:00:17.448,2023-03-29T21:04:45.353Z
006,Split #6,00:00:04.477,00:00:21.925,2023-03-29T21:04:49.830Z
007,Split #7,00:00:04.117,00:00:26.042,2023-03-29T21:04:53.947Z
008,Split #8,00:00:04.343,00:00:30.385,2023-03-29T21:04:58.290Z
009,Split #9,00:00:04.298,00:00:34.683,2023-03-29T21:05:02.588Z
010,Split #10,00:00:03.939,00:00:38.622,2023-03-29T21:05:06.527Z
011,Split #11,00:00:04.183,00:00:42.805,2023-03-29T21:05:10.710Z
012,Split #12,00:00:04.005,00:00:46.810,2023-03-29T21:05:14.715Z
013,Split #13,00:00:04.410,00:00:51.220,2023-03-29T21:05:19.125Z
014,Split #14,00:00:03.759,00:00:54.979,2023-03-29T21:05:22.884Z
015,Split #15,00:00:04.003,00:00:58.982,2023-03-29T21:05:26.887Z
016,Split #16,00:00:04.051,00:01:03.033,2023-03-29T21:05:30.938Z
017,Split #17,00:00:01.463,00:01:04.496,2023-03-29T21:05:32.401Z
018,Split #18,00:00:03.192,00:01:07.688,2023-03-29T21:05:35.593Z
019,Split #19,00:00:03.848,00:01:11.536,2023-03-29T21:05:39.441Z
020,Split #20,00:00:03.894,00:01:15.430,2023-03-29T21:05:43.335Z
021,Split #21,00:00:03.734,00:01:19.164,2023-03-29T21:05:47.069Z
022,Split #22,00:00:03.736,00:01:22.900,2023-03-29T21:05:50.805Z
023,Split #23,00:00:03.804,00:01:26.704,2023-03-29T21:05:54.609Z
024,Split #24,00:00:03.734,00:01:30.438,2023-03-29T21:05:58.343Z
025,Split #25,00:00:04.003,00:01:34.441,2023-03-29T21:06:02.346Z
026,Split #26,00:00:04.366,00:01:38.807,2023-03-29T21:06:06.712Z
027,Split #27,00:00:04.655,00:01:43.462,2023-03-29T21:06:11.367Z
028,Split #28,00:00:03.894,00:01:47.356,2023-03-29T21:06:15.261Z
029,Split #29,00:00:03.917,00:01:51.273,2023-03-29T21:06:19.178Z
030,Split #30,00:00:03.801,00:01:55.074,2023-03-29T21:06:22.979Z
031,Split #31,00:00:04.094,00:01:59.168,2023-03-29T21:06:27.073Z
032,Split #32,00:00:03.870,00:02:03.038,2023-03-29T21:06:30.943Z
033,Split #33,00:00:04.005,00:02:07.043,2023-03-29T21:06:34.948Z
034,Split #34,00:00:04.094,00:02:11.137,2023-03-29T21:06:39.042Z
035,Split #35,00:00:04.547,00:02:15.684,2023-03-29T21:06:43.589Z
036,Split #36,00:00:04.476,00:02:20.160,2023-03-29T21:06:48.065Z
037,Split #37,00:00:04.297,00:02:24.457,2023-03-29T21:06:52.362Z
038,Split #38,00:00:04.209,00:02:28.666,2023-03-29T21:06:56.571Z
039,Split #39,00:00:04.499,00:02:33.165,2023-03-29T21:07:01.070Z
040,Split #40,00:00:03.825,00:02:36.990,2023-03-29T21:07:04.895Z
041,Split #41,00:00:03.825,00:02:40.815,2023-03-29T21:07:08.720Z
042,Split #42,00:00:03.870,00:02:44.685,2023-03-29T21:07:12.590Z
043,Split #43,00:00:04.321,00:02:49.006,2023-03-29T21:07:16.911Z
044,Split #44,00:00:04.295,00:02:53.301,2023-03-29T21:07:21.206Z
045,Split #45,00:00:04.007,00:02:57.308,2023-03-29T21:07:25.213Z
046,Split #46,00:00:03.869,00:03:01.177,2023-03-29T21:07:29.082Z
047,Split #47,00:00:04.254,00:03:05.431,2023-03-29T21:07:33.336Z
048,Split #48,00:00:04.025,00:03:09.456,2023-03-29T21:07:37.361Z
049,Split #49,00:00:03.803,00:03:13.259,2023-03-29T21:07:41.164Z
050,Split #50,00:00:04.142,00:03:17.401,2023-03-29T21:07:45.306Z
051,Split #51,00:00:05.060,00:03:22.461,2023-03-29T21:07:50.366Z
052,Split #52,00:00:04.185,00:03:26.646,2023-03-29T21:07:54.551Z
053,Split #53,00:00:04.275,00:03:30.921,2023-03-29T21:07:58.826Z
054,Split #54,00:00:03.960,00:03:34.881,2023-03-29T21:08:02.786Z
055,Split #55,00:00:04.142,00:03:39.023,2023-03-29T21:08:06.928Z
056,Split #56,00:00:04.204,00:03:43.227,2023-03-29T21:08:11.132Z
057,Split #57,00:00:04.141,00:03:47.368,2023-03-29T21:08:15.273Z
058,Split #58,00:00:03.802,00:03:51.170,2023-03-29T21:08:19.075Z
059,Split #59,00:00:03.105,00:03:54.275,2023-03-29T21:08:22.180Z
060,Split #60,00:00:03.307,00:03:57.582,2023-03-29T21:08:25.487Z
061,Split #61,00:00:03.465,00:04:01.047,2023-03-29T21:08:28.952Z
062,Split #62,00:00:03.129,00:04:04.176,2023-03-29T21:08:32.081Z
063,Split #63,00:00:03.126,00:04:07.302,2023-03-29T21:08:35.207Z
064,Split #64,00:00:03.352,00:04:10.654,2023-03-29T21:08:38.559Z
065,Split #65,00:00:03.308,00:04:13.962,2023-03-29T21:08:41.867Z
066,Split #66,00:00:03.239,00:04:17.201,2023-03-29T21:08:45.106Z
067,Split #67,00:00:03.421,00:04:20.622,2023-03-29T21:08:48.527Z
068,Split #68,00:00:03.149,00:04:23.771,2023-03-29T21:08:51.676Z
069,Split #69,00:00:03.083,00:04:26.854,2023-03-29T21:08:54.759Z
070,Split #70,00:00:02.969,00:04:29.823,2023-03-29T21:08:57.728Z
