#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-19T21:06:14.305Z
001,Split #1,00:00:02.809,00:00:02.809,2023-03-19T21:06:17.114Z
002,Split #2,00:00:02.947,00:00:05.756,2023-03-19T21:06:20.061Z
003,Split #3,00:00:02.790,00:00:08.546,2023-03-19T21:06:22.851Z
004,Split #4,00:00:02.844,00:00:11.390,2023-03-19T21:06:25.695Z
005,Split #5,00:00:02.587,00:00:13.977,2023-03-19T21:06:28.282Z
006,Split #6,00:00:02.811,00:00:16.788,2023-03-19T21:06:31.093Z
007,Split #7,00:00:02.869,00:00:19.657,2023-03-19T21:06:33.962Z
008,Split #8,00:00:03.004,00:00:22.661,2023-03-19T21:06:36.966Z
009,Split #9,00:00:02.792,00:00:25.453,2023-03-19T21:06:39.758Z
010,Split #10,00:00:03.013,00:00:28.466,2023-03-19T21:06:42.771Z
011,Split #11,00:00:02.879,00:00:31.345,2023-03-19T21:06:45.650Z
012,Split #12,00:00:02.857,00:00:34.202,2023-03-19T21:06:48.507Z
013,Split #13,00:00:03.059,00:00:37.261,2023-03-19T21:06:51.566Z
014,Split #14,00:00:02.995,00:00:40.256,2023-03-19T21:06:54.561Z
015,Split #15,00:00:02.990,00:00:43.246,2023-03-19T21:06:57.551Z
016,Split #16,00:00:03.150,00:00:46.396,2023-03-19T21:07:00.701Z
017,Split #17,00:00:03.352,00:00:49.748,2023-03-19T21:07:04.053Z
018,Split #18,00:00:03.095,00:00:52.843,2023-03-19T21:07:07.148Z
019,Split #19,00:00:03.036,00:00:55.879,2023-03-19T21:07:10.184Z
020,Split #20,00:00:02.971,00:00:58.850,2023-03-19T21:07:13.155Z
021,Split #21,00:00:03.037,00:01:01.887,2023-03-19T21:07:16.192Z
022,Split #22,00:00:03.141,00:01:05.028,2023-03-19T21:07:19.333Z
023,Split #23,00:00:03.125,00:01:08.153,2023-03-19T21:07:22.458Z
024,Split #24,00:00:03.735,00:01:11.888,2023-03-19T21:07:26.193Z
025,Split #25,00:00:03.195,00:01:15.083,2023-03-19T21:07:29.388Z
026,Split #26,00:00:02.891,00:01:17.974,2023-03-19T21:07:32.279Z
027,Split #27,00:00:02.970,00:01:20.944,2023-03-19T21:07:35.249Z
028,Split #28,00:00:02.914,00:01:23.858,2023-03-19T21:07:38.163Z
029,Split #29,00:00:02.778,00:01:26.636,2023-03-19T21:07:40.941Z
030,Split #30,00:00:02.700,00:01:29.336,2023-03-19T21:07:43.641Z
031,Split #31,00:00:02.723,00:01:32.059,2023-03-19T21:07:46.364Z
032,Split #32,00:00:02.947,00:01:35.006,2023-03-19T21:07:49.311Z
033,Split #33,00:00:03.104,00:01:38.110,2023-03-19T21:07:52.415Z
034,Split #34,00:00:02.948,00:01:41.058,2023-03-19T21:07:55.363Z
