#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-23T14:22:07.360Z
001,Split #1,00:00:01.793,00:00:01.793,2023-04-23T14:22:09.153Z
002,Split #2,00:00:03.350,00:00:05.143,2023-04-23T14:22:12.503Z
003,Split #3,00:00:03.328,00:00:08.471,2023-04-23T14:22:15.831Z
004,Split #4,00:00:03.623,00:00:12.094,2023-04-23T14:22:19.454Z
005,Split #5,00:00:03.509,00:00:15.603,2023-04-23T14:22:22.963Z
006,Split #6,00:00:03.195,00:00:18.798,2023-04-23T14:22:26.158Z
007,Split #7,00:00:03.231,00:00:22.029,2023-04-23T14:22:29.389Z
008,Split #8,00:00:03.406,00:00:25.435,2023-04-23T14:22:32.795Z
009,Split #9,00:00:03.264,00:00:28.699,2023-04-23T14:22:36.059Z
010,Split #10,00:00:03.104,00:00:31.803,2023-04-23T14:22:39.163Z
011,Split #11,00:00:03.139,00:00:34.942,2023-04-23T14:22:42.302Z
012,Split #12,00:00:03.129,00:00:38.071,2023-04-23T14:22:45.431Z
013,Split #13,00:00:02.924,00:00:40.995,2023-04-23T14:22:48.355Z
014,Split #14,00:00:03.026,00:00:44.021,2023-04-23T14:22:51.381Z
015,Split #15,00:00:03.037,00:00:47.058,2023-04-23T14:22:54.418Z
016,Split #16,00:00:02.904,00:00:49.962,2023-04-23T14:22:57.322Z
017,Split #17,00:00:03.082,00:00:53.044,2023-04-23T14:23:00.404Z
018,Split #18,00:00:02.880,00:00:55.924,2023-04-23T14:23:03.284Z
019,Split #19,00:00:02.882,00:00:58.806,2023-04-23T14:23:06.166Z
020,Split #20,00:00:02.877,00:01:01.683,2023-04-23T14:23:09.043Z
021,Split #21,00:00:02.813,00:01:04.496,2023-04-23T14:23:11.856Z
022,Split #22,00:00:02.903,00:01:07.399,2023-04-23T14:23:14.759Z
023,Split #23,00:00:02.882,00:01:10.281,2023-04-23T14:23:17.641Z
024,Split #24,00:00:02.765,00:01:13.046,2023-04-23T14:23:20.406Z
025,Split #25,00:00:02.813,00:01:15.859,2023-04-23T14:23:23.219Z
026,Split #26,00:00:02.857,00:01:18.716,2023-04-23T14:23:26.076Z
027,Split #27,00:00:02.791,00:01:21.507,2023-04-23T14:23:28.867Z
028,Split #28,00:00:02.880,00:01:24.387,2023-04-23T14:23:31.747Z
029,Split #29,00:00:02.565,00:01:26.952,2023-04-23T14:23:34.312Z
030,Split #30,00:00:02.588,00:01:29.540,2023-04-23T14:23:36.900Z
031,Split #31,00:00:02.677,00:01:32.217,2023-04-23T14:23:39.577Z
032,Split #32,00:00:02.599,00:01:34.816,2023-04-23T14:23:42.176Z
033,Split #33,00:00:02.656,00:01:37.472,2023-04-23T14:23:44.832Z
034,Split #34,00:00:02.835,00:01:40.307,2023-04-23T14:23:47.667Z
035,Split #35,00:00:02.857,00:01:43.164,2023-04-23T14:23:50.524Z
036,Split #36,00:00:02.813,00:01:45.977,2023-04-23T14:23:53.337Z
037,Split #37,00:00:02.698,00:01:48.675,2023-04-23T14:23:56.035Z
038,Split #38,00:00:02.543,00:01:51.218,2023-04-23T14:23:58.578Z
039,Split #39,00:00:02.644,00:01:53.862,2023-04-23T14:24:01.222Z
040,Split #40,00:00:02.588,00:01:56.450,2023-04-23T14:24:03.810Z
041,Split #41,00:00:02.658,00:01:59.108,2023-04-23T14:24:06.468Z
042,Split #42,00:00:02.518,00:02:01.626,2023-04-23T14:24:08.986Z
043,Split #43,00:00:02.743,00:02:04.369,2023-04-23T14:24:11.729Z
044,Split #44,00:00:02.734,00:02:07.103,2023-04-23T14:24:14.463Z
045,Split #45,00:00:02.836,00:02:09.939,2023-04-23T14:24:17.299Z
046,Split #46,00:00:03.061,00:02:13.000,2023-04-23T14:24:20.360Z
047,Split #47,00:00:02.835,00:02:15.835,2023-04-23T14:24:23.195Z
048,Split #48,00:00:02.789,00:02:18.624,2023-04-23T14:24:25.984Z
049,Split #49,00:00:02.993,00:02:21.617,2023-04-23T14:24:28.977Z
050,Split #50,00:00:02.768,00:02:24.385,2023-04-23T14:24:31.745Z
051,Split #51,00:00:02.734,00:02:27.119,2023-04-23T14:24:34.479Z
052,Split #52,00:00:02.879,00:02:29.998,2023-04-23T14:24:37.358Z
053,Split #53,00:00:02.789,00:02:32.787,2023-04-23T14:24:40.147Z
054,Split #54,00:00:02.700,00:02:35.487,2023-04-23T14:24:42.847Z
055,Split #55,00:00:02.814,00:02:38.301,2023-04-23T14:24:45.661Z
056,Split #56,00:00:02.812,00:02:41.113,2023-04-23T14:24:48.473Z
057,Split #57,00:00:02.859,00:02:43.972,2023-04-23T14:24:51.332Z
058,Split #58,00:00:02.608,00:02:46.580,2023-04-23T14:24:53.940Z
059,Split #59,00:00:02.430,00:02:49.010,2023-04-23T14:24:56.370Z
060,Split #60,00:00:02.351,00:02:51.361,2023-04-23T14:24:58.721Z
061,Split #61,00:00:02.544,00:02:53.905,2023-04-23T14:25:01.265Z
062,Split #62,00:00:02.429,00:02:56.334,2023-04-23T14:25:03.694Z
063,Split #63,00:00:02.464,00:02:58.798,2023-04-23T14:25:06.158Z
064,Split #64,00:00:02.452,00:03:01.250,2023-04-23T14:25:08.610Z
065,Split #65,00:00:02.362,00:03:03.612,2023-04-23T14:25:10.972Z
066,Split #66,00:00:02.434,00:03:06.046,2023-04-23T14:25:13.406Z
067,Split #67,00:00:02.337,00:03:08.383,2023-04-23T14:25:15.743Z
068,Split #68,00:00:02.466,00:03:10.849,2023-04-23T14:25:18.209Z
069,Split #69,00:00:02.439,00:03:13.288,2023-04-23T14:25:20.648Z
070,Split #70,00:00:02.318,00:03:15.606,2023-04-23T14:25:22.966Z
071,Split #71,00:00:02.452,00:03:18.058,2023-04-23T14:25:25.418Z
072,Split #72,00:00:02.385,00:03:20.443,2023-04-23T14:25:27.803Z
073,Split #73,00:00:02.521,00:03:22.964,2023-04-23T14:25:30.324Z
074,Split #74,00:00:02.320,00:03:25.284,2023-04-23T14:25:32.644Z
075,Split #75,00:00:02.452,00:03:27.736,2023-04-23T14:25:35.096Z
076,Split #76,00:00:02.337,00:03:30.073,2023-04-23T14:25:37.433Z
077,Split #77,00:00:02.544,00:03:32.617,2023-04-23T14:25:39.977Z
078,Split #78,00:00:02.609,00:03:35.226,2023-04-23T14:25:42.586Z
079,Split #79,00:00:02.700,00:03:37.926,2023-04-23T14:25:45.286Z
080,Split #80,00:00:02.700,00:03:40.626,2023-04-23T14:25:47.986Z
081,Split #81,00:00:02.723,00:03:43.349,2023-04-23T14:25:50.709Z
082,Split #82,00:00:02.994,00:03:46.343,2023-04-23T14:25:53.703Z
083,Split #83,00:00:02.822,00:03:49.165,2023-04-23T14:25:56.525Z
084,Split #84,00:00:02.768,00:03:51.933,2023-04-23T14:25:59.293Z
