#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-05T20:19:28.332Z
001,Split #1,00:00:05.262,00:00:05.262,2023-04-05T20:19:33.594Z
002,Split #2,00:00:03.735,00:00:08.997,2023-04-05T20:19:37.329Z
003,Split #3,00:00:04.253,00:00:13.250,2023-04-05T20:19:41.582Z
004,Split #4,00:00:04.097,00:00:17.347,2023-04-05T20:19:45.679Z
005,Split #5,00:00:04.416,00:00:21.763,2023-04-05T20:19:50.095Z
006,Split #6,00:00:04.269,00:00:26.032,2023-04-05T20:19:54.364Z
007,Split #7,00:00:04.185,00:00:30.217,2023-04-05T20:19:58.549Z
008,Split #8,00:00:04.254,00:00:34.471,2023-04-05T20:20:02.803Z
009,Split #9,00:00:04.194,00:00:38.665,2023-04-05T20:20:06.997Z
010,Split #10,00:00:03.465,00:00:42.130,2023-04-05T20:20:10.462Z
011,Split #11,00:00:03.644,00:00:45.774,2023-04-05T20:20:14.106Z
012,Split #12,00:00:03.465,00:00:49.239,2023-04-05T20:20:17.571Z
013,Split #13,00:00:04.253,00:00:53.492,2023-04-05T20:20:21.824Z
014,Split #14,00:00:03.579,00:00:57.071,2023-04-05T20:20:25.403Z
015,Split #15,00:00:03.688,00:01:00.759,2023-04-05T20:20:29.091Z
016,Split #16,00:00:04.658,00:01:05.417,2023-04-05T20:20:33.749Z
017,Split #17,00:00:04.444,00:01:09.861,2023-04-05T20:20:38.193Z
018,Split #18,00:00:03.521,00:01:13.382,2023-04-05T20:20:41.714Z
019,Split #19,00:00:03.555,00:01:16.937,2023-04-05T20:20:45.269Z
020,Split #20,00:00:03.555,00:01:20.492,2023-04-05T20:20:48.824Z
021,Split #21,00:00:03.735,00:01:24.227,2023-04-05T20:20:52.559Z
022,Split #22,00:00:03.601,00:01:27.828,2023-04-05T20:20:56.160Z
023,Split #23,00:00:03.508,00:01:31.336,2023-04-05T20:20:59.668Z
024,Split #24,00:00:04.591,00:01:35.927,2023-04-05T20:21:04.259Z
025,Split #25,00:00:04.084,00:01:40.011,2023-04-05T20:21:08.343Z
026,Split #26,00:00:03.544,00:01:43.555,2023-04-05T20:21:11.887Z
027,Split #27,00:00:03.689,00:01:47.244,2023-04-05T20:21:15.576Z
028,Split #28,00:00:03.555,00:01:50.799,2023-04-05T20:21:19.131Z
029,Split #29,00:00:03.692,00:01:54.491,2023-04-05T20:21:22.823Z
030,Split #30,00:00:03.486,00:01:57.977,2023-04-05T20:21:26.309Z
031,Split #31,00:00:03.602,00:02:01.579,2023-04-05T20:21:29.911Z
032,Split #32,00:00:03.620,00:02:05.199,2023-04-05T20:21:33.531Z
033,Split #33,00:00:04.006,00:02:09.205,2023-04-05T20:21:37.537Z
034,Split #34,00:00:03.827,00:02:13.032,2023-04-05T20:21:41.364Z
035,Split #35,00:00:03.642,00:02:16.674,2023-04-05T20:21:45.006Z
036,Split #36,00:00:03.803,00:02:20.477,2023-04-05T20:21:48.809Z
037,Split #37,00:00:03.949,00:02:24.426,2023-04-05T20:21:52.758Z
038,Split #38,00:00:03.465,00:02:27.891,2023-04-05T20:21:56.223Z
039,Split #39,00:00:03.447,00:02:31.338,2023-04-05T20:21:59.670Z
040,Split #40,00:00:03.393,00:02:34.731,2023-04-05T20:22:03.063Z
041,Split #41,00:00:03.353,00:02:38.084,2023-04-05T20:22:06.416Z
042,Split #42,00:00:03.374,00:02:41.458,2023-04-05T20:22:09.790Z
043,Split #43,00:00:03.285,00:02:44.743,2023-04-05T20:22:13.075Z
044,Split #44,00:00:03.376,00:02:48.119,2023-04-05T20:22:16.451Z
