#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-25T19:16:13.257Z
001,Split #1,00:00:01.899,00:00:01.899,2023-04-25T19:16:15.156Z
002,Split #2,00:00:03.551,00:00:05.450,2023-04-25T19:16:18.707Z
003,Split #3,00:00:04.401,00:00:09.851,2023-04-25T19:16:23.108Z
004,Split #4,00:00:03.907,00:00:13.758,2023-04-25T19:16:27.015Z
005,Split #5,00:00:04.591,00:00:18.349,2023-04-25T19:16:31.606Z
006,Split #6,00:00:04.814,00:00:23.163,2023-04-25T19:16:36.420Z
007,Split #7,00:00:04.410,00:00:27.573,2023-04-25T19:16:40.830Z
008,Split #8,00:00:04.264,00:00:31.837,2023-04-25T19:16:45.094Z
009,Split #9,00:00:04.388,00:00:36.225,2023-04-25T19:16:49.482Z
010,Split #10,00:00:03.914,00:00:40.139,2023-04-25T19:16:53.396Z
011,Split #11,00:00:03.894,00:00:44.033,2023-04-25T19:16:57.290Z
012,Split #12,00:00:03.824,00:00:47.857,2023-04-25T19:17:01.114Z
013,Split #13,00:00:04.028,00:00:51.885,2023-04-25T19:17:05.142Z
014,Split #14,00:00:03.803,00:00:55.688,2023-04-25T19:17:08.945Z
015,Split #15,00:00:04.004,00:00:59.692,2023-04-25T19:17:12.949Z
016,Split #16,00:00:03.915,00:01:03.607,2023-04-25T19:17:16.864Z
017,Split #17,00:00:04.028,00:01:07.635,2023-04-25T19:17:20.892Z
018,Split #18,00:00:03.959,00:01:11.594,2023-04-25T19:17:24.851Z
019,Split #19,00:00:03.761,00:01:15.355,2023-04-25T19:17:28.612Z
020,Split #20,00:00:03.845,00:01:19.200,2023-04-25T19:17:32.457Z
021,Split #21,00:00:03.712,00:01:22.912,2023-04-25T19:17:36.169Z
022,Split #22,00:00:04.096,00:01:27.008,2023-04-25T19:17:40.265Z
023,Split #23,00:00:03.916,00:01:30.924,2023-04-25T19:17:44.181Z
024,Split #24,00:00:03.802,00:01:34.726,2023-04-25T19:17:47.983Z
025,Split #25,00:00:04.387,00:01:39.113,2023-04-25T19:17:52.370Z
026,Split #26,00:00:03.318,00:01:42.431,2023-04-25T19:17:55.688Z
027,Split #27,00:00:03.105,00:01:45.536,2023-04-25T19:17:58.793Z
028,Split #28,00:00:03.106,00:01:48.642,2023-04-25T19:18:01.899Z
029,Split #29,00:00:03.353,00:01:51.995,2023-04-25T19:18:05.252Z
030,Split #30,00:00:03.441,00:01:55.436,2023-04-25T19:18:08.693Z
031,Split #31,00:00:03.377,00:01:58.813,2023-04-25T19:18:12.070Z
032,Split #32,00:00:03.465,00:02:02.278,2023-04-25T19:18:15.535Z
033,Split #33,00:00:03.916,00:02:06.194,2023-04-25T19:18:19.451Z
034,Split #34,00:00:04.151,00:02:10.345,2023-04-25T19:18:23.602Z
035,Split #35,00:00:04.071,00:02:14.416,2023-04-25T19:18:27.673Z
036,Split #36,00:00:04.006,00:02:18.422,2023-04-25T19:18:31.679Z
037,Split #37,00:00:03.779,00:02:22.201,2023-04-25T19:18:35.458Z
038,Split #38,00:00:03.600,00:02:25.801,2023-04-25T19:18:39.058Z
039,Split #39,00:00:03.060,00:02:28.861,2023-04-25T19:18:42.118Z
040,Split #40,00:00:03.060,00:02:31.921,2023-04-25T19:18:45.178Z
041,Split #41,00:00:03.330,00:02:35.251,2023-04-25T19:18:48.508Z
042,Split #42,00:00:03.285,00:02:38.536,2023-04-25T19:18:51.793Z
043,Split #43,00:00:04.072,00:02:42.608,2023-04-25T19:18:55.865Z
044,Split #44,00:00:03.578,00:02:46.186,2023-04-25T19:18:59.443Z
045,Split #45,00:00:03.656,00:02:49.842,2023-04-25T19:19:03.099Z
046,Split #46,00:00:03.600,00:02:53.442,2023-04-25T19:19:06.699Z
047,Split #47,00:00:03.443,00:02:56.885,2023-04-25T19:19:10.142Z
048,Split #48,00:00:02.959,00:02:59.844,2023-04-25T19:19:13.101Z
049,Split #49,00:00:04.040,00:03:03.884,2023-04-25T19:19:17.141Z
050,Split #50,00:00:03.306,00:03:07.190,2023-04-25T19:19:20.447Z
051,Split #51,00:00:03.285,00:03:10.475,2023-04-25T19:19:23.732Z
052,Split #52,00:00:03.196,00:03:13.671,2023-04-25T19:19:26.928Z
053,Split #53,00:00:03.060,00:03:16.731,2023-04-25T19:19:29.988Z
054,Split #54,00:00:02.758,00:03:19.489,2023-04-25T19:19:32.746Z
055,Split #55,00:00:02.540,00:03:22.029,2023-04-25T19:19:35.286Z
056,Split #56,00:00:03.015,00:03:25.044,2023-04-25T19:19:38.301Z
057,Split #57,00:00:02.835,00:03:27.879,2023-04-25T19:19:41.136Z
058,Split #58,00:00:02.587,00:03:30.466,2023-04-25T19:19:43.723Z
059,Split #59,00:00:02.444,00:03:32.910,2023-04-25T19:19:46.167Z
060,Split #60,00:00:02.406,00:03:35.316,2023-04-25T19:19:48.573Z
061,Split #61,00:00:02.509,00:03:37.825,2023-04-25T19:19:51.082Z
062,Split #62,00:00:02.633,00:03:40.458,2023-04-25T19:19:53.715Z
063,Split #63,00:00:02.777,00:03:43.235,2023-04-25T19:19:56.492Z
064,Split #64,00:00:02.658,00:03:45.893,2023-04-25T19:19:59.150Z
065,Split #65,00:00:02.540,00:03:48.433,2023-04-25T19:20:01.690Z
066,Split #66,00:00:03.150,00:03:51.583,2023-04-25T19:20:04.840Z
067,Split #67,00:00:03.128,00:03:54.711,2023-04-25T19:20:07.968Z
068,Split #68,00:00:02.992,00:03:57.703,2023-04-25T19:20:10.960Z
069,Split #69,00:00:03.465,00:04:01.168,2023-04-25T19:20:14.425Z
070,Split #70,00:00:03.027,00:04:04.195,2023-04-25T19:20:17.452Z
071,Split #71,00:00:03.387,00:04:07.582,2023-04-25T19:20:20.839Z
072,Split #72,00:00:03.239,00:04:10.821,2023-04-25T19:20:24.078Z
073,Split #73,00:00:03.309,00:04:14.130,2023-04-25T19:20:27.387Z
074,Split #74,00:00:04.052,00:04:18.182,2023-04-25T19:20:31.439Z
075,Split #75,00:00:03.868,00:04:22.050,2023-04-25T19:20:35.307Z
076,Split #76,00:00:03.374,00:04:25.424,2023-04-25T19:20:38.681Z
077,Split #77,00:00:04.118,00:04:29.542,2023-04-25T19:20:42.799Z
078,Split #78,00:00:05.008,00:04:34.550,2023-04-25T19:20:47.807Z
079,Split #79,00:00:03.734,00:04:38.284,2023-04-25T19:20:51.541Z
080,Split #80,00:00:03.509,00:04:41.793,2023-04-25T19:20:55.050Z
081,Split #81,00:00:04.005,00:04:45.798,2023-04-25T19:20:59.055Z
082,Split #82,00:00:05.782,00:04:51.580,2023-04-25T19:21:04.837Z
083,Split #83,00:00:05.592,00:04:57.172,2023-04-25T19:21:10.429Z
084,Split #84,00:00:05.716,00:05:02.888,2023-04-25T19:21:16.145Z
085,Split #85,00:00:05.242,00:05:08.130,2023-04-25T19:21:21.387Z
086,Split #86,00:00:04.477,00:05:12.607,2023-04-25T19:21:25.864Z
087,Split #87,00:00:03.218,00:05:15.825,2023-04-25T19:21:29.082Z
088,Split #88,00:00:03.127,00:05:18.952,2023-04-25T19:21:32.209Z
089,Split #89,00:00:03.645,00:05:22.597,2023-04-25T19:21:35.854Z
090,Split #90,00:00:03.667,00:05:26.264,2023-04-25T19:21:39.521Z
091,Split #91,00:00:04.862,00:05:31.126,2023-04-25T19:21:44.383Z
092,Split #92,00:00:04.816,00:05:35.942,2023-04-25T19:21:49.199Z
093,Split #93,00:00:03.125,00:05:39.067,2023-04-25T19:21:52.324Z
094,Split #94,00:00:03.827,00:05:42.894,2023-04-25T19:21:56.151Z
095,Split #95,00:00:03.643,00:05:46.537,2023-04-25T19:21:59.794Z
096,Split #96,00:00:03.613,00:05:50.150,2023-04-25T19:22:03.407Z
097,Split #97,00:00:04.049,00:05:54.199,2023-04-25T19:22:07.456Z
098,Split #98,00:00:04.477,00:05:58.676,2023-04-25T19:22:11.933Z
099,Split #99,00:00:03.556,00:06:02.232,2023-04-25T19:22:15.489Z
100,Split #100,00:00:03.532,00:06:05.764,2023-04-25T19:22:19.021Z
101,Split #101,00:00:03.410,00:06:09.174,2023-04-25T19:22:22.431Z
102,Split #102,00:00:03.960,00:06:13.134,2023-04-25T19:22:26.391Z
103,Split #103,00:00:03.959,00:06:17.093,2023-04-25T19:22:30.350Z
104,Split #104,00:00:03.960,00:06:21.053,2023-04-25T19:22:34.310Z
105,Split #105,00:00:04.072,00:06:25.125,2023-04-25T19:22:38.382Z
106,Split #106,00:00:04.455,00:06:29.580,2023-04-25T19:22:42.837Z
107,Split #107,00:00:04.366,00:06:33.946,2023-04-25T19:22:47.203Z
108,Split #108,00:00:03.341,00:06:37.287,2023-04-25T19:22:50.544Z
109,Split #109,00:00:03.365,00:06:40.652,2023-04-25T19:22:53.909Z
110,Split #110,00:00:03.508,00:06:44.160,2023-04-25T19:22:57.417Z
111,Split #111,00:00:03.421,00:06:47.581,2023-04-25T19:23:00.838Z
112,Split #112,00:00:03.422,00:06:51.003,2023-04-25T19:23:04.260Z
113,Split #113,00:00:03.524,00:06:54.527,2023-04-25T19:23:07.784Z
114,Split #114,00:00:03.482,00:06:58.009,2023-04-25T19:23:11.266Z
115,Split #115,00:00:03.414,00:07:01.423,2023-04-25T19:23:14.680Z
116,Split #116,00:00:03.348,00:07:04.771,2023-04-25T19:23:18.028Z
117,Split #117,00:00:03.644,00:07:08.415,2023-04-25T19:23:21.672Z
118,Split #118,00:00:03.707,00:07:12.122,2023-04-25T19:23:25.379Z
119,Split #119,00:00:03.474,00:07:15.596,2023-04-25T19:23:28.853Z
120,Split #120,00:00:03.284,00:07:18.880,2023-04-25T19:23:32.137Z
121,Split #121,00:00:04.138,00:07:23.018,2023-04-25T19:23:36.275Z
122,Split #122,00:00:04.746,00:07:27.764,2023-04-25T19:23:41.021Z
123,Split #123,00:00:04.466,00:07:32.230,2023-04-25T19:23:45.487Z
124,Split #124,00:00:04.566,00:07:36.796,2023-04-25T19:23:50.053Z
125,Split #125,00:00:07.582,00:07:44.378,2023-04-25T19:23:57.635Z
126,Split #126,00:00:04.454,00:07:48.832,2023-04-25T19:24:02.089Z
127,Split #127,00:00:03.848,00:07:52.680,2023-04-25T19:24:05.937Z
128,Split #128,00:00:03.960,00:07:56.640,2023-04-25T19:24:09.897Z
129,Split #129,00:00:04.534,00:08:01.174,2023-04-25T19:24:14.431Z
130,Split #130,00:00:03.812,00:08:04.986,2023-04-25T19:24:18.243Z
131,Split #131,00:00:03.443,00:08:08.429,2023-04-25T19:24:21.686Z
132,Split #132,00:00:03.600,00:08:12.029,2023-04-25T19:24:25.286Z
133,Split #133,00:00:04.769,00:08:16.798,2023-04-25T19:24:30.055Z
134,Split #134,00:00:04.658,00:08:21.456,2023-04-25T19:24:34.713Z
135,Split #135,00:00:03.510,00:08:24.966,2023-04-25T19:24:38.223Z
136,Split #136,00:00:03.600,00:08:28.566,2023-04-25T19:24:41.823Z
137,Split #137,00:00:03.892,00:08:32.458,2023-04-25T19:24:45.715Z
138,Split #138,00:00:03.960,00:08:36.418,2023-04-25T19:24:49.675Z
139,Split #139,00:00:03.330,00:08:39.748,2023-04-25T19:24:53.005Z
140,Split #140,00:00:03.432,00:08:43.180,2023-04-25T19:24:56.437Z
141,Split #141,00:00:03.577,00:08:46.757,2023-04-25T19:25:00.014Z
142,Split #142,00:00:03.465,00:08:50.222,2023-04-25T19:25:03.479Z
143,Split #143,00:00:03.037,00:08:53.259,2023-04-25T19:25:06.516Z
144,Split #144,00:00:03.398,00:08:56.657,2023-04-25T19:25:09.914Z
145,Split #145,00:00:03.049,00:08:59.706,2023-04-25T19:25:12.963Z
146,Split #146,00:00:03.194,00:09:02.900,2023-04-25T19:25:16.157Z
147,Split #147,00:00:02.836,00:09:05.736,2023-04-25T19:25:18.993Z
148,Split #148,00:00:02.834,00:09:08.570,2023-04-25T19:25:21.827Z
149,Split #149,00:00:03.399,00:09:11.969,2023-04-25T19:25:25.226Z
150,Split #150,00:00:03.714,00:09:15.683,2023-04-25T19:25:28.940Z
151,Split #151,00:00:03.867,00:09:19.550,2023-04-25T19:25:32.807Z
152,Split #152,00:00:04.152,00:09:23.702,2023-04-25T19:25:36.959Z
153,Split #153,00:00:02.802,00:09:26.504,2023-04-25T19:25:39.761Z
154,Split #154,00:00:02.766,00:09:29.270,2023-04-25T19:25:42.527Z
155,Split #155,00:00:03.466,00:09:32.736,2023-04-25T19:25:45.993Z
156,Split #156,00:00:03.374,00:09:36.110,2023-04-25T19:25:49.367Z
157,Split #157,00:00:03.195,00:09:39.305,2023-04-25T19:25:52.562Z
158,Split #158,00:00:03.015,00:09:42.320,2023-04-25T19:25:55.577Z
159,Split #159,00:00:03.127,00:09:45.447,2023-04-25T19:25:58.704Z
160,Split #160,00:00:03.116,00:09:48.563,2023-04-25T19:26:01.820Z
161,Split #161,00:00:03.128,00:09:51.691,2023-04-25T19:26:04.948Z
162,Split #162,00:00:04.299,00:09:55.990,2023-04-25T19:26:09.247Z
163,Split #163,00:00:03.778,00:09:59.768,2023-04-25T19:26:13.025Z
164,Split #164,00:00:03.825,00:10:03.593,2023-04-25T19:26:16.850Z
165,Split #165,00:00:03.915,00:10:07.508,2023-04-25T19:26:20.765Z
166,Split #166,00:00:04.118,00:10:11.626,2023-04-25T19:26:24.883Z
167,Split #167,00:00:03.893,00:10:15.519,2023-04-25T19:26:28.776Z
168,Split #168,00:00:04.084,00:10:19.603,2023-04-25T19:26:32.860Z
169,Split #169,00:00:03.757,00:10:23.360,2023-04-25T19:26:36.617Z
170,Split #170,00:00:04.320,00:10:27.680,2023-04-25T19:26:40.937Z
171,Split #171,00:00:04.331,00:10:32.011,2023-04-25T19:26:45.268Z
172,Split #172,00:00:04.320,00:10:36.331,2023-04-25T19:26:49.588Z
173,Split #173,00:00:04.479,00:10:40.810,2023-04-25T19:26:54.067Z
174,Split #174,00:00:04.126,00:10:44.936,2023-04-25T19:26:58.193Z
175,Split #175,00:00:03.837,00:10:48.773,2023-04-25T19:27:02.030Z
176,Split #176,00:00:04.185,00:10:52.958,2023-04-25T19:27:06.215Z
177,Split #177,00:00:04.781,00:10:57.739,2023-04-25T19:27:10.996Z
178,Split #178,00:00:03.600,00:11:01.339,2023-04-25T19:27:14.596Z
179,Split #179,00:00:03.491,00:11:04.830,2023-04-25T19:27:18.087Z
180,Split #180,00:00:03.284,00:11:08.114,2023-04-25T19:27:21.371Z
181,Split #181,00:00:03.260,00:11:11.374,2023-04-25T19:27:24.631Z
182,Split #182,00:00:03.262,00:11:14.636,2023-04-25T19:27:27.893Z
183,Split #183,00:00:02.995,00:11:17.631,2023-04-25T19:27:30.888Z
184,Split #184,00:00:03.260,00:11:20.891,2023-04-25T19:27:34.148Z
185,Split #185,00:00:03.184,00:11:24.075,2023-04-25T19:27:37.332Z
186,Split #186,00:00:04.185,00:11:28.260,2023-04-25T19:27:41.517Z
187,Split #187,00:00:03.375,00:11:31.635,2023-04-25T19:27:44.892Z
188,Split #188,00:00:03.510,00:11:35.145,2023-04-25T19:27:48.402Z
189,Split #189,00:00:03.802,00:11:38.947,2023-04-25T19:27:52.204Z
190,Split #190,00:00:04.005,00:11:42.952,2023-04-25T19:27:56.209Z
191,Split #191,00:00:03.333,00:11:46.285,2023-04-25T19:27:59.542Z
192,Split #192,00:00:03.429,00:11:49.714,2023-04-25T19:28:02.971Z
193,Split #193,00:00:03.600,00:11:53.314,2023-04-25T19:28:06.571Z
194,Split #194,00:00:03.431,00:11:56.745,2023-04-25T19:28:10.002Z
195,Split #195,00:00:03.151,00:11:59.896,2023-04-25T19:28:13.153Z
196,Split #196,00:00:03.274,00:12:03.170,2023-04-25T19:28:16.427Z
197,Split #197,00:00:03.846,00:12:07.016,2023-04-25T19:28:20.273Z
198,Split #198,00:00:03.308,00:12:10.324,2023-04-25T19:28:23.581Z
199,Split #199,00:00:03.487,00:12:13.811,2023-04-25T19:28:27.068Z
200,Split #200,00:00:03.869,00:12:17.680,2023-04-25T19:28:30.937Z
201,Split #201,00:00:04.861,00:12:22.541,2023-04-25T19:28:35.798Z
202,Split #202,00:00:04.409,00:12:26.950,2023-04-25T19:28:40.207Z
203,Split #203,00:00:04.142,00:12:31.092,2023-04-25T19:28:44.349Z
204,Split #204,00:00:03.441,00:12:34.533,2023-04-25T19:28:47.790Z
205,Split #205,00:00:04.027,00:12:38.560,2023-04-25T19:28:51.817Z
206,Split #206,00:00:03.783,00:12:42.343,2023-04-25T19:28:55.600Z
207,Split #207,00:00:03.869,00:12:46.212,2023-04-25T19:28:59.469Z
208,Split #208,00:00:04.071,00:12:50.283,2023-04-25T19:29:03.540Z
209,Split #209,00:00:04.871,00:12:55.154,2023-04-25T19:29:08.411Z
210,Split #210,00:00:04.826,00:12:59.980,2023-04-25T19:29:13.237Z
211,Split #211,00:00:04.635,00:13:04.615,2023-04-25T19:29:17.872Z
212,Split #212,00:00:04.556,00:13:09.171,2023-04-25T19:29:22.428Z
213,Split #213,00:00:04.771,00:13:13.942,2023-04-25T19:29:27.199Z
214,Split #214,00:00:05.040,00:13:18.982,2023-04-25T19:29:32.239Z
215,Split #215,00:00:04.454,00:13:23.436,2023-04-25T19:29:36.693Z
216,Split #216,00:00:04.455,00:13:27.891,2023-04-25T19:29:41.148Z
217,Split #217,00:00:05.357,00:13:33.248,2023-04-25T19:29:46.505Z
218,Split #218,00:00:05.309,00:13:38.557,2023-04-25T19:29:51.814Z
219,Split #219,00:00:04.522,00:13:43.079,2023-04-25T19:29:56.336Z
220,Split #220,00:00:04.050,00:13:47.129,2023-04-25T19:30:00.386Z
221,Split #221,00:00:04.162,00:13:51.291,2023-04-25T19:30:04.548Z
222,Split #222,00:00:04.297,00:13:55.588,2023-04-25T19:30:08.845Z
223,Split #223,00:00:03.893,00:13:59.481,2023-04-25T19:30:12.738Z
224,Split #224,00:00:04.072,00:14:03.553,2023-04-25T19:30:16.810Z
225,Split #225,00:00:03.758,00:14:07.311,2023-04-25T19:30:20.568Z
226,Split #226,00:00:04.128,00:14:11.439,2023-04-25T19:30:24.696Z
227,Split #227,00:00:03.949,00:14:15.388,2023-04-25T19:30:28.645Z
228,Split #228,00:00:03.715,00:14:19.103,2023-04-25T19:30:32.360Z
229,Split #229,00:00:03.667,00:14:22.770,2023-04-25T19:30:36.027Z
230,Split #230,00:00:03.328,00:14:26.098,2023-04-25T19:30:39.355Z
231,Split #231,00:00:03.611,00:14:29.709,2023-04-25T19:30:42.966Z
232,Split #232,00:00:03.714,00:14:33.423,2023-04-25T19:30:46.680Z
233,Split #233,00:00:04.367,00:14:37.790,2023-04-25T19:30:51.047Z
234,Split #234,00:00:04.722,00:14:42.512,2023-04-25T19:30:55.769Z
235,Split #235,00:00:04.275,00:14:46.787,2023-04-25T19:31:00.044Z
236,Split #236,00:00:04.456,00:14:51.243,2023-04-25T19:31:04.500Z
237,Split #237,00:00:03.601,00:14:54.844,2023-04-25T19:31:08.101Z
238,Split #238,00:00:03.215,00:14:58.059,2023-04-25T19:31:11.316Z
239,Split #239,00:00:03.060,00:15:01.119,2023-04-25T19:31:14.376Z
