#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-21T14:25:55.723Z
001,Split #1,00:00:15.189,00:00:15.189,2023-03-21T14:26:10.912Z
002,Split #2,00:00:03.722,00:00:18.911,2023-03-21T14:26:14.634Z
003,Split #3,00:00:03.443,00:00:22.354,2023-03-21T14:26:18.077Z
004,Split #4,00:00:03.871,00:00:26.225,2023-03-21T14:26:21.948Z
005,Split #5,00:00:03.351,00:00:29.576,2023-03-21T14:26:25.299Z
006,Split #6,00:00:03.353,00:00:32.929,2023-03-21T14:26:28.652Z
007,Split #7,00:00:03.488,00:00:36.417,2023-03-21T14:26:32.140Z
008,Split #8,00:00:03.756,00:00:40.173,2023-03-21T14:26:35.896Z
009,Split #9,00:00:04.263,00:00:44.436,2023-03-21T14:26:40.159Z
010,Split #10,00:00:03.805,00:00:48.241,2023-03-21T14:26:43.964Z
011,Split #11,00:00:04.116,00:00:52.357,2023-03-21T14:26:48.080Z
012,Split #12,00:00:03.871,00:00:56.228,2023-03-21T14:26:51.951Z
013,Split #13,00:00:04.050,00:01:00.278,2023-03-21T14:26:56.001Z
014,Split #14,00:00:04.050,00:01:04.328,2023-03-21T14:27:00.051Z
015,Split #15,00:00:03.870,00:01:08.198,2023-03-21T14:27:03.921Z
016,Split #16,00:00:03.804,00:01:12.002,2023-03-21T14:27:07.725Z
017,Split #17,00:00:04.925,00:01:16.927,2023-03-21T14:27:12.650Z
018,Split #18,00:00:04.479,00:01:21.406,2023-03-21T14:27:17.129Z
019,Split #19,00:00:03.747,00:01:25.153,2023-03-21T14:27:20.876Z
020,Split #20,00:00:03.892,00:01:29.045,2023-03-21T14:27:24.768Z
021,Split #21,00:00:03.666,00:01:32.711,2023-03-21T14:27:28.434Z
022,Split #22,00:00:03.849,00:01:36.560,2023-03-21T14:27:32.283Z
023,Split #23,00:00:03.982,00:01:40.542,2023-03-21T14:27:36.265Z
024,Split #24,00:00:01.350,00:01:41.892,2023-03-21T14:27:37.615Z
025,Split #25,00:00:03.039,00:01:44.931,2023-03-21T14:27:40.654Z
026,Split #26,00:00:05.579,00:01:50.510,2023-03-21T14:27:46.233Z
027,Split #27,00:00:03.330,00:01:53.840,2023-03-21T14:27:49.563Z
028,Split #28,00:00:03.129,00:01:56.969,2023-03-21T14:27:52.692Z
029,Split #29,00:00:03.012,00:01:59.981,2023-03-21T14:27:55.704Z
030,Split #30,00:00:02.994,00:02:02.975,2023-03-21T14:27:58.698Z
031,Split #31,00:00:03.197,00:02:06.172,2023-03-21T14:28:01.895Z
032,Split #32,00:00:03.183,00:02:09.355,2023-03-21T14:28:05.078Z
033,Split #33,00:00:02.969,00:02:12.324,2023-03-21T14:28:08.047Z
034,Split #34,00:00:02.971,00:02:15.295,2023-03-21T14:28:11.018Z
035,Split #35,00:00:03.036,00:02:18.331,2023-03-21T14:28:14.054Z
036,Split #36,00:00:03.062,00:02:21.393,2023-03-21T14:28:17.116Z
037,Split #37,00:00:03.193,00:02:24.586,2023-03-21T14:28:20.309Z
038,Split #38,00:00:02.994,00:02:27.580,2023-03-21T14:28:23.303Z
039,Split #39,00:00:02.991,00:02:30.571,2023-03-21T14:28:26.294Z
040,Split #40,00:00:02.947,00:02:33.518,2023-03-21T14:28:29.241Z
041,Split #41,00:00:02.904,00:02:36.422,2023-03-21T14:28:32.145Z
042,Split #42,00:00:02.699,00:02:39.121,2023-03-21T14:28:34.844Z
043,Split #43,00:00:02.546,00:02:41.667,2023-03-21T14:28:37.390Z
044,Split #44,00:00:03.057,00:02:44.724,2023-03-21T14:28:40.447Z
045,Split #45,00:00:02.678,00:02:47.402,2023-03-21T14:28:43.125Z
046,Split #46,00:00:03.217,00:02:50.619,2023-03-21T14:28:46.342Z
047,Split #47,00:00:03.263,00:02:53.882,2023-03-21T14:28:49.605Z
048,Split #48,00:00:03.172,00:02:57.054,2023-03-21T14:28:52.777Z
049,Split #49,00:00:02.824,00:02:59.878,2023-03-21T14:28:55.601Z
050,Split #50,00:00:03.141,00:03:03.019,2023-03-21T14:28:58.742Z
051,Split #51,00:00:03.711,00:03:06.730,2023-03-21T14:29:02.453Z
052,Split #52,00:00:02.970,00:03:09.700,2023-03-21T14:29:05.423Z
053,Split #53,00:00:02.834,00:03:12.534,2023-03-21T14:29:08.257Z
054,Split #54,00:00:02.791,00:03:15.325,2023-03-21T14:29:11.048Z
055,Split #55,00:00:02.880,00:03:18.205,2023-03-21T14:29:13.928Z
056,Split #56,00:00:02.991,00:03:21.196,2023-03-21T14:29:16.919Z
057,Split #57,00:00:02.725,00:03:23.921,2023-03-21T14:29:19.644Z
058,Split #58,00:00:02.564,00:03:26.485,2023-03-21T14:29:22.208Z
059,Split #59,00:00:02.745,00:03:29.230,2023-03-21T14:29:24.953Z
060,Split #60,00:00:02.835,00:03:32.065,2023-03-21T14:29:27.788Z
061,Split #61,00:00:02.901,00:03:34.966,2023-03-21T14:29:30.689Z
062,Split #62,00:00:02.634,00:03:37.600,2023-03-21T14:29:33.323Z
063,Split #63,00:00:02.700,00:03:40.300,2023-03-21T14:29:36.023Z
064,Split #64,00:00:02.700,00:03:43.000,2023-03-21T14:29:38.723Z
065,Split #65,00:00:02.745,00:03:45.745,2023-03-21T14:29:41.468Z
066,Split #66,00:00:02.701,00:03:48.446,2023-03-21T14:29:44.169Z
067,Split #67,00:00:02.833,00:03:51.279,2023-03-21T14:29:47.002Z
068,Split #68,00:00:02.385,00:03:53.664,2023-03-21T14:29:49.387Z
069,Split #69,00:00:02.657,00:03:56.321,2023-03-21T14:29:52.044Z
