#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-07T20:03:06.115Z
001,Split #1,00:00:04.838,00:00:04.838,2023-04-07T20:03:10.953Z
002,Split #2,00:00:01.709,00:00:06.547,2023-04-07T20:03:12.662Z
003,Split #3,00:00:02.656,00:00:09.203,2023-04-07T20:03:15.318Z
004,Split #4,00:00:02.857,00:00:12.060,2023-04-07T20:03:18.175Z
005,Split #5,00:00:02.700,00:00:14.760,2023-04-07T20:03:20.875Z
006,Split #6,00:00:03.014,00:00:17.774,2023-04-07T20:03:23.889Z
007,Split #7,00:00:02.701,00:00:20.475,2023-04-07T20:03:26.590Z
008,Split #8,00:00:02.882,00:00:23.357,2023-04-07T20:03:29.472Z
009,Split #9,00:00:02.990,00:00:26.347,2023-04-07T20:03:32.462Z
010,Split #10,00:00:03.062,00:00:29.409,2023-04-07T20:03:35.524Z
011,Split #11,00:00:02.923,00:00:32.332,2023-04-07T20:03:38.447Z
012,Split #12,00:00:02.903,00:00:35.235,2023-04-07T20:03:41.350Z
013,Split #13,00:00:03.061,00:00:38.296,2023-04-07T20:03:44.411Z
014,Split #14,00:00:03.330,00:00:41.626,2023-04-07T20:03:47.741Z
015,Split #15,00:00:02.991,00:00:44.617,2023-04-07T20:03:50.732Z
016,Split #16,00:00:02.970,00:00:47.587,2023-04-07T20:03:53.702Z
017,Split #17,00:00:04.163,00:00:51.750,2023-04-07T20:03:57.865Z
018,Split #18,00:00:02.868,00:00:54.618,2023-04-07T20:04:00.733Z
019,Split #19,00:00:03.004,00:00:57.622,2023-04-07T20:04:03.737Z
020,Split #20,00:00:03.105,00:01:00.727,2023-04-07T20:04:06.842Z
021,Split #21,00:00:04.028,00:01:04.755,2023-04-07T20:04:10.870Z
022,Split #22,00:00:02.858,00:01:07.613,2023-04-07T20:04:13.728Z
023,Split #23,00:00:03.127,00:01:10.740,2023-04-07T20:04:16.855Z
024,Split #24,00:00:03.465,00:01:14.205,2023-04-07T20:04:20.320Z
025,Split #25,00:00:02.632,00:01:16.837,2023-04-07T20:04:22.952Z
026,Split #26,00:00:03.690,00:01:20.527,2023-04-07T20:04:26.642Z
027,Split #27,00:00:03.016,00:01:23.543,2023-04-07T20:04:29.658Z
028,Split #28,00:00:02.677,00:01:26.220,2023-04-07T20:04:32.335Z
029,Split #29,00:00:02.914,00:01:29.134,2023-04-07T20:04:35.249Z
030,Split #30,00:00:02.745,00:01:31.879,2023-04-07T20:04:37.994Z
031,Split #31,00:00:02.701,00:01:34.580,2023-04-07T20:04:40.695Z
032,Split #32,00:00:02.958,00:01:37.538,2023-04-07T20:04:43.653Z
033,Split #33,00:00:02.790,00:01:40.328,2023-04-07T20:04:46.443Z
034,Split #34,00:00:03.060,00:01:43.388,2023-04-07T20:04:49.503Z
035,Split #35,00:00:02.994,00:01:46.382,2023-04-07T20:04:52.497Z
036,Split #36,00:00:03.024,00:01:49.406,2023-04-07T20:04:55.521Z
037,Split #37,00:00:03.240,00:01:52.646,2023-04-07T20:04:58.761Z
038,Split #38,00:00:02.725,00:01:55.371,2023-04-07T20:05:01.486Z
039,Split #39,00:00:02.667,00:01:58.038,2023-04-07T20:05:04.153Z
040,Split #40,00:00:02.652,00:02:00.690,2023-04-07T20:05:06.805Z
041,Split #41,00:00:02.677,00:02:03.367,2023-04-07T20:05:09.482Z
042,Split #42,00:00:02.973,00:02:06.340,2023-04-07T20:05:12.455Z
043,Split #43,00:00:02.788,00:02:09.128,2023-04-07T20:05:15.243Z
044,Split #44,00:00:02.858,00:02:11.986,2023-04-07T20:05:18.101Z
045,Split #45,00:00:02.542,00:02:14.528,2023-04-07T20:05:20.643Z
046,Split #46,00:00:02.992,00:02:17.520,2023-04-07T20:05:23.635Z
047,Split #47,00:00:02.948,00:02:20.468,2023-04-07T20:05:26.583Z
048,Split #48,00:00:02.545,00:02:23.013,2023-04-07T20:05:29.128Z
049,Split #49,00:00:03.192,00:02:26.205,2023-04-07T20:05:32.320Z
050,Split #50,00:00:03.804,00:02:30.009,2023-04-07T20:05:36.124Z
051,Split #51,00:00:03.194,00:02:33.203,2023-04-07T20:05:39.318Z
052,Split #52,00:00:02.927,00:02:36.130,2023-04-07T20:05:42.245Z
053,Split #53,00:00:03.058,00:02:39.188,2023-04-07T20:05:45.303Z
054,Split #54,00:00:03.003,00:02:42.191,2023-04-07T20:05:48.306Z
055,Split #55,00:00:03.083,00:02:45.274,2023-04-07T20:05:51.389Z
056,Split #56,00:00:02.858,00:02:48.132,2023-04-07T20:05:54.247Z
057,Split #57,00:00:02.801,00:02:50.933,2023-04-07T20:05:57.048Z
058,Split #58,00:00:02.498,00:02:53.431,2023-04-07T20:05:59.546Z
059,Split #59,00:00:02.542,00:02:55.973,2023-04-07T20:06:02.088Z
060,Split #60,00:00:00.304,00:02:56.277,2023-04-07T20:06:02.392Z
061,Split #61,00:00:02.127,00:02:58.404,2023-04-07T20:06:04.519Z
062,Split #62,00:00:02.542,00:03:00.946,2023-04-07T20:06:07.061Z
063,Split #63,00:00:02.520,00:03:03.466,2023-04-07T20:06:09.581Z
064,Split #64,00:00:02.566,00:03:06.032,2023-04-07T20:06:12.147Z
065,Split #65,00:00:02.429,00:03:08.461,2023-04-07T20:06:14.576Z
066,Split #66,00:00:02.407,00:03:10.868,2023-04-07T20:06:16.983Z
067,Split #67,00:00:02.700,00:03:13.568,2023-04-07T20:06:19.683Z
068,Split #68,00:00:02.734,00:03:16.302,2023-04-07T20:06:22.417Z
069,Split #69,00:00:02.520,00:03:18.822,2023-04-07T20:06:24.937Z
070,Split #70,00:00:02.498,00:03:21.320,2023-04-07T20:06:27.435Z
071,Split #71,00:00:02.610,00:03:23.930,2023-04-07T20:06:30.045Z
072,Split #72,00:00:02.452,00:03:26.382,2023-04-07T20:06:32.497Z
073,Split #73,00:00:02.408,00:03:28.790,2023-04-07T20:06:34.905Z
074,Split #74,00:00:02.474,00:03:31.264,2023-04-07T20:06:37.379Z
075,Split #75,00:00:02.577,00:03:33.841,2023-04-07T20:06:39.956Z
076,Split #76,00:00:02.992,00:03:36.833,2023-04-07T20:06:42.948Z
077,Split #77,00:00:02.757,00:03:39.590,2023-04-07T20:06:45.705Z
078,Split #78,00:00:02.407,00:03:41.997,2023-04-07T20:06:48.112Z
079,Split #79,00:00:03.421,00:03:45.418,2023-04-07T20:06:51.533Z
080,Split #80,00:00:03.105,00:03:48.523,2023-04-07T20:06:54.638Z
081,Split #81,00:00:03.104,00:03:51.627,2023-04-07T20:06:57.742Z
082,Split #82,00:00:03.420,00:03:55.047,2023-04-07T20:07:01.162Z
083,Split #83,00:00:04.231,00:03:59.278,2023-04-07T20:07:05.393Z
084,Split #84,00:00:03.667,00:04:02.945,2023-04-07T20:07:09.060Z
085,Split #85,00:00:03.581,00:04:06.526,2023-04-07T20:07:12.641Z
086,Split #86,00:00:03.527,00:04:10.053,2023-04-07T20:07:16.168Z
087,Split #87,00:00:03.478,00:04:13.531,2023-04-07T20:07:19.646Z
088,Split #88,00:00:03.341,00:04:16.872,2023-04-07T20:07:22.987Z
089,Split #89,00:00:03.196,00:04:20.068,2023-04-07T20:07:26.183Z
090,Split #90,00:00:02.745,00:04:22.813,2023-04-07T20:07:28.928Z
091,Split #91,00:00:05.220,00:04:28.033,2023-04-07T20:07:34.148Z
092,Split #92,00:00:03.172,00:04:31.205,2023-04-07T20:07:37.320Z
