#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-30T06:42:10.244Z
001,Split #1,00:00:03.220,00:00:03.220,2023-03-30T06:42:13.464Z
002,Split #2,00:00:04.868,00:00:08.088,2023-03-30T06:42:18.332Z
003,Split #3,00:00:04.546,00:00:12.634,2023-03-30T06:42:22.878Z
004,Split #4,00:00:04.589,00:00:17.223,2023-03-30T06:42:27.467Z
005,Split #5,00:00:04.253,00:00:21.476,2023-03-30T06:42:31.720Z
006,Split #6,00:00:03.893,00:00:25.369,2023-03-30T06:42:35.613Z
007,Split #7,00:00:04.252,00:00:29.621,2023-03-30T06:42:39.865Z
008,Split #8,00:00:04.162,00:00:33.783,2023-03-30T06:42:44.027Z
009,Split #9,00:00:04.455,00:00:38.238,2023-03-30T06:42:48.482Z
010,Split #10,00:00:03.330,00:00:41.568,2023-03-30T06:42:51.812Z
011,Split #11,00:00:04.117,00:00:45.685,2023-03-30T06:42:55.929Z
012,Split #12,00:00:04.165,00:00:49.850,2023-03-30T06:43:00.094Z
013,Split #13,00:00:03.800,00:00:53.650,2023-03-30T06:43:03.894Z
014,Split #14,00:00:04.208,00:00:57.858,2023-03-30T06:43:08.102Z
015,Split #15,00:00:03.915,00:01:01.773,2023-03-30T06:43:12.017Z
016,Split #16,00:00:03.802,00:01:05.575,2023-03-30T06:43:15.819Z
017,Split #17,00:00:04.906,00:01:10.481,2023-03-30T06:43:20.725Z
018,Split #18,00:00:03.779,00:01:14.260,2023-03-30T06:43:24.504Z
019,Split #19,00:00:04.480,00:01:18.740,2023-03-30T06:43:28.984Z
020,Split #20,00:00:04.543,00:01:23.283,2023-03-30T06:43:33.527Z
021,Split #21,00:00:03.915,00:01:27.198,2023-03-30T06:43:37.442Z
022,Split #22,00:00:04.298,00:01:31.496,2023-03-30T06:43:41.740Z
023,Split #23,00:00:05.107,00:01:36.603,2023-03-30T06:43:46.847Z
024,Split #24,00:00:04.927,00:01:41.530,2023-03-30T06:43:51.774Z
025,Split #25,00:00:04.369,00:01:45.899,2023-03-30T06:43:56.143Z
026,Split #26,00:00:04.024,00:01:49.923,2023-03-30T06:44:00.167Z
027,Split #27,00:00:03.083,00:01:53.006,2023-03-30T06:44:03.250Z
028,Split #28,00:00:02.969,00:01:55.975,2023-03-30T06:44:06.219Z
029,Split #29,00:00:02.971,00:01:58.946,2023-03-30T06:44:09.190Z
030,Split #30,00:00:03.217,00:02:02.163,2023-03-30T06:44:12.407Z
031,Split #31,00:00:03.083,00:02:05.246,2023-03-30T06:44:15.490Z
032,Split #32,00:00:03.308,00:02:08.554,2023-03-30T06:44:18.798Z
033,Split #33,00:00:03.082,00:02:11.636,2023-03-30T06:44:21.880Z
034,Split #34,00:00:04.050,00:02:15.686,2023-03-30T06:44:25.930Z
035,Split #35,00:00:03.667,00:02:19.353,2023-03-30T06:44:29.597Z
036,Split #36,00:00:03.353,00:02:22.706,2023-03-30T06:44:32.950Z
037,Split #37,00:00:03.489,00:02:26.195,2023-03-30T06:44:36.439Z
038,Split #38,00:00:03.668,00:02:29.863,2023-03-30T06:44:40.107Z
039,Split #39,00:00:02.787,00:02:32.650,2023-03-30T06:44:42.894Z
040,Split #40,00:00:03.015,00:02:35.665,2023-03-30T06:44:45.909Z
041,Split #41,00:00:02.713,00:02:38.378,2023-03-30T06:44:48.622Z
042,Split #42,00:00:03.397,00:02:41.775,2023-03-30T06:44:52.019Z
043,Split #43,00:00:03.352,00:02:45.127,2023-03-30T06:44:55.371Z
044,Split #44,00:00:03.262,00:02:48.389,2023-03-30T06:44:58.633Z
045,Split #45,00:00:02.813,00:02:51.202,2023-03-30T06:45:01.446Z
046,Split #46,00:00:02.857,00:02:54.059,2023-03-30T06:45:04.303Z
047,Split #47,00:00:03.038,00:02:57.097,2023-03-30T06:45:07.341Z
048,Split #48,00:00:03.041,00:03:00.138,2023-03-30T06:45:10.382Z
049,Split #49,00:00:02.968,00:03:03.106,2023-03-30T06:45:13.350Z
