#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-04T14:35:47.909Z
001,Split #1,00:00:12.561,00:00:12.561,2023-04-04T14:36:00.470Z
002,Split #2,00:00:02.100,00:00:14.661,2023-04-04T14:36:02.570Z
003,Split #3,00:00:03.654,00:00:18.315,2023-04-04T14:36:06.224Z
004,Split #4,00:00:03.689,00:00:22.004,2023-04-04T14:36:09.913Z
005,Split #5,00:00:03.600,00:00:25.604,2023-04-04T14:36:13.513Z
006,Split #6,00:00:03.893,00:00:29.497,2023-04-04T14:36:17.406Z
007,Split #7,00:00:03.736,00:00:33.233,2023-04-04T14:36:21.142Z
008,Split #8,00:00:03.918,00:00:37.151,2023-04-04T14:36:25.060Z
009,Split #9,00:00:04.834,00:00:41.985,2023-04-04T14:36:29.894Z
010,Split #10,00:00:03.893,00:00:45.878,2023-04-04T14:36:33.787Z
011,Split #11,00:00:03.836,00:00:49.714,2023-04-04T14:36:37.623Z
012,Split #12,00:00:03.711,00:00:53.425,2023-04-04T14:36:41.334Z
013,Split #13,00:00:03.600,00:00:57.025,2023-04-04T14:36:44.934Z
014,Split #14,00:00:03.749,00:01:00.774,2023-04-04T14:36:48.683Z
015,Split #15,00:00:03.509,00:01:04.283,2023-04-04T14:36:52.192Z
016,Split #16,00:00:03.542,00:01:07.825,2023-04-04T14:36:55.734Z
017,Split #17,00:00:03.939,00:01:11.764,2023-04-04T14:36:59.673Z
018,Split #18,00:00:04.252,00:01:16.016,2023-04-04T14:37:03.925Z
019,Split #19,00:00:03.421,00:01:19.437,2023-04-04T14:37:07.346Z
020,Split #20,00:00:03.353,00:01:22.790,2023-04-04T14:37:10.699Z
021,Split #21,00:00:03.373,00:01:26.163,2023-04-04T14:37:14.072Z
022,Split #22,00:00:03.759,00:01:29.922,2023-04-04T14:37:17.831Z
023,Split #23,00:00:03.465,00:01:33.387,2023-04-04T14:37:21.296Z
024,Split #24,00:00:03.442,00:01:36.829,2023-04-04T14:37:24.738Z
025,Split #25,00:00:03.949,00:01:40.778,2023-04-04T14:37:28.687Z
026,Split #26,00:00:04.320,00:01:45.098,2023-04-04T14:37:33.007Z
027,Split #27,00:00:03.488,00:01:48.586,2023-04-04T14:37:36.495Z
