#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-08T11:28:37.592Z
001,Split #1,00:00:05.926,00:00:05.926,2023-04-08T11:28:43.518Z
002,Split #2,00:00:03.455,00:00:09.381,2023-04-08T11:28:46.973Z
003,Split #3,00:00:03.972,00:00:13.353,2023-04-08T11:28:50.945Z
004,Split #4,00:00:04.319,00:00:17.672,2023-04-08T11:28:55.264Z
005,Split #5,00:00:04.388,00:00:22.060,2023-04-08T11:28:59.652Z
006,Split #6,00:00:03.824,00:00:25.884,2023-04-08T11:29:03.476Z
007,Split #7,00:00:03.600,00:00:29.484,2023-04-08T11:29:07.076Z
008,Split #8,00:00:04.140,00:00:33.624,2023-04-08T11:29:11.216Z
009,Split #9,00:00:03.490,00:00:37.114,2023-04-08T11:29:14.706Z
010,Split #10,00:00:03.688,00:00:40.802,2023-04-08T11:29:18.394Z
011,Split #11,00:00:03.420,00:00:44.222,2023-04-08T11:29:21.814Z
012,Split #12,00:00:03.667,00:00:47.889,2023-04-08T11:29:25.481Z
013,Split #13,00:00:04.050,00:00:51.939,2023-04-08T11:29:29.531Z
014,Split #14,00:00:03.555,00:00:55.494,2023-04-08T11:29:33.086Z
015,Split #15,00:00:03.445,00:00:58.939,2023-04-08T11:29:36.531Z
016,Split #16,00:00:03.868,00:01:02.807,2023-04-08T11:29:40.399Z
017,Split #17,00:00:03.433,00:01:06.240,2023-04-08T11:29:43.832Z
018,Split #18,00:00:02.923,00:01:09.163,2023-04-08T11:29:46.755Z
019,Split #19,00:00:02.947,00:01:12.110,2023-04-08T11:29:49.702Z
020,Split #20,00:00:02.936,00:01:15.046,2023-04-08T11:29:52.638Z
021,Split #21,00:00:03.319,00:01:18.365,2023-04-08T11:29:55.957Z
022,Split #22,00:00:03.096,00:01:21.461,2023-04-08T11:29:59.053Z
023,Split #23,00:00:03.260,00:01:24.721,2023-04-08T11:30:02.313Z
024,Split #24,00:00:03.668,00:01:28.389,2023-04-08T11:30:05.981Z
025,Split #25,00:00:03.285,00:01:31.674,2023-04-08T11:30:09.266Z
026,Split #26,00:00:03.127,00:01:34.801,2023-04-08T11:30:12.393Z
027,Split #27,00:00:02.926,00:01:37.727,2023-04-08T11:30:15.319Z
028,Split #28,00:00:03.026,00:01:40.753,2023-04-08T11:30:18.345Z
029,Split #29,00:00:03.038,00:01:43.791,2023-04-08T11:30:21.383Z
030,Split #30,00:00:03.138,00:01:46.929,2023-04-08T11:30:24.521Z
031,Split #31,00:00:03.375,00:01:50.304,2023-04-08T11:30:27.896Z
032,Split #32,00:00:03.128,00:01:53.432,2023-04-08T11:30:31.024Z
033,Split #33,00:00:03.791,00:01:57.223,2023-04-08T11:30:34.815Z
034,Split #34,00:00:03.803,00:02:01.026,2023-04-08T11:30:38.618Z
035,Split #35,00:00:03.511,00:02:04.537,2023-04-08T11:30:42.129Z
036,Split #36,00:00:03.421,00:02:07.958,2023-04-08T11:30:45.550Z
037,Split #37,00:00:03.531,00:02:11.489,2023-04-08T11:30:49.081Z
038,Split #38,00:00:03.217,00:02:14.706,2023-04-08T11:30:52.298Z
039,Split #39,00:00:03.014,00:02:17.720,2023-04-08T11:30:55.312Z
040,Split #40,00:00:02.925,00:02:20.645,2023-04-08T11:30:58.237Z
041,Split #41,00:00:02.927,00:02:23.572,2023-04-08T11:31:01.164Z
042,Split #42,00:00:03.182,00:02:26.754,2023-04-08T11:31:04.346Z
043,Split #43,00:00:03.555,00:02:30.309,2023-04-08T11:31:07.901Z
044,Split #44,00:00:03.286,00:02:33.595,2023-04-08T11:31:11.187Z
045,Split #45,00:00:03.441,00:02:37.036,2023-04-08T11:31:14.628Z
046,Split #46,00:00:03.197,00:02:40.233,2023-04-08T11:31:17.825Z
047,Split #47,00:00:03.194,00:02:43.427,2023-04-08T11:31:21.019Z
048,Split #48,00:00:03.195,00:02:46.622,2023-04-08T11:31:24.214Z
049,Split #49,00:00:03.352,00:02:49.974,2023-04-08T11:31:27.566Z
050,Split #50,00:00:03.037,00:02:53.011,2023-04-08T11:31:30.603Z
051,Split #51,00:00:03.061,00:02:56.072,2023-04-08T11:31:33.664Z
052,Split #52,00:00:03.037,00:02:59.109,2023-04-08T11:31:36.701Z
053,Split #53,00:00:03.016,00:03:02.125,2023-04-08T11:31:39.717Z
054,Split #54,00:00:02.834,00:03:04.959,2023-04-08T11:31:42.551Z
055,Split #55,00:00:02.881,00:03:07.840,2023-04-08T11:31:45.432Z
056,Split #56,00:00:02.970,00:03:10.810,2023-04-08T11:31:48.402Z
057,Split #57,00:00:02.924,00:03:13.734,2023-04-08T11:31:51.326Z
058,Split #58,00:00:02.801,00:03:16.535,2023-04-08T11:31:54.127Z
059,Split #59,00:00:02.870,00:03:19.405,2023-04-08T11:31:56.997Z
060,Split #60,00:00:02.892,00:03:22.297,2023-04-08T11:31:59.889Z
061,Split #61,00:00:02.859,00:03:25.156,2023-04-08T11:32:02.748Z
062,Split #62,00:00:02.766,00:03:27.922,2023-04-08T11:32:05.514Z
063,Split #63,00:00:02.655,00:03:30.577,2023-04-08T11:32:08.169Z
064,Split #64,00:00:02.722,00:03:33.299,2023-04-08T11:32:10.891Z
065,Split #65,00:00:02.813,00:03:36.112,2023-04-08T11:32:13.704Z
066,Split #66,00:00:02.780,00:03:38.892,2023-04-08T11:32:16.484Z
067,Split #67,00:00:02.812,00:03:41.704,2023-04-08T11:32:19.296Z
068,Split #68,00:00:02.564,00:03:44.268,2023-04-08T11:32:21.860Z
069,Split #69,00:00:02.792,00:03:47.060,2023-04-08T11:32:24.652Z
070,Split #70,00:00:02.767,00:03:49.827,2023-04-08T11:32:27.419Z
071,Split #71,00:00:02.755,00:03:52.582,2023-04-08T11:32:30.174Z
072,Split #72,00:00:02.835,00:03:55.417,2023-04-08T11:32:33.009Z
073,Split #73,00:00:03.015,00:03:58.432,2023-04-08T11:32:36.024Z
074,Split #74,00:00:03.217,00:04:01.649,2023-04-08T11:32:39.241Z
075,Split #75,00:00:04.276,00:04:05.925,2023-04-08T11:32:43.517Z
076,Split #76,00:00:01.552,00:04:07.477,2023-04-08T11:32:45.069Z
077,Split #77,00:00:03.308,00:04:10.785,2023-04-08T11:32:48.377Z
078,Split #78,00:00:02.992,00:04:13.777,2023-04-08T11:32:51.369Z
079,Split #79,00:00:02.948,00:04:16.725,2023-04-08T11:32:54.317Z
080,Split #80,00:00:03.082,00:04:19.807,2023-04-08T11:32:57.399Z
081,Split #81,00:00:03.648,00:04:23.455,2023-04-08T11:33:01.047Z
082,Split #82,00:00:03.285,00:04:26.740,2023-04-08T11:33:04.332Z
083,Split #83,00:00:03.057,00:04:29.797,2023-04-08T11:33:07.389Z
084,Split #84,00:00:03.140,00:04:32.937,2023-04-08T11:33:10.529Z
085,Split #85,00:00:03.039,00:04:35.976,2023-04-08T11:33:13.568Z
086,Split #86,00:00:02.631,00:04:38.607,2023-04-08T11:33:16.199Z
087,Split #87,00:00:02.992,00:04:41.599,2023-04-08T11:33:19.191Z
088,Split #88,00:00:03.397,00:04:44.996,2023-04-08T11:33:22.588Z
089,Split #89,00:00:03.399,00:04:48.395,2023-04-08T11:33:25.987Z
090,Split #90,00:00:03.466,00:04:51.861,2023-04-08T11:33:29.453Z
091,Split #91,00:00:03.171,00:04:55.032,2023-04-08T11:33:32.624Z
092,Split #92,00:00:03.195,00:04:58.227,2023-04-08T11:33:35.819Z
093,Split #93,00:00:03.442,00:05:01.669,2023-04-08T11:33:39.261Z
094,Split #94,00:00:03.151,00:05:04.820,2023-04-08T11:33:42.412Z
095,Split #95,00:00:02.834,00:05:07.654,2023-04-08T11:33:45.246Z
096,Split #96,00:00:02.680,00:05:10.334,2023-04-08T11:33:47.926Z
097,Split #97,00:00:03.395,00:05:13.729,2023-04-08T11:33:51.321Z
098,Split #98,00:00:02.678,00:05:16.407,2023-04-08T11:33:53.999Z
