
#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-19T22:15:06.941Z
001,Split #1,00:00:02.945,00:00:02.945,2023-03-19T22:15:09.886Z
002,Split #2,00:00:03.161,00:00:06.106,2023-03-19T22:15:13.047Z
003,Split #3,00:00:03.241,00:00:09.347,2023-03-19T22:15:16.288Z
004,Split #4,00:00:03.060,00:00:12.407,2023-03-19T22:15:19.348Z
005,Split #5,00:00:02.881,00:00:15.288,2023-03-19T22:15:22.229Z
006,Split #6,00:00:02.768,00:00:18.056,2023-03-19T22:15:24.997Z
007,Split #7,00:00:03.261,00:00:21.317,2023-03-19T22:15:28.258Z
008,Split #8,00:00:02.903,00:00:24.220,2023-03-19T22:15:31.161Z
009,Split #9,00:00:02.735,00:00:26.955,2023-03-19T22:15:33.896Z
010,Split #10,00:00:02.924,00:00:29.879,2023-03-19T22:15:36.820Z
011,Split #11,00:00:02.848,00:00:32.727,2023-03-19T22:15:39.668Z
012,Split #12,00:00:03.091,00:00:35.818,2023-03-19T22:15:42.759Z
013,Split #13,00:00:03.287,00:00:39.105,2023-03-19T22:15:46.046Z
014,Split #14,00:00:03.081,00:00:42.186,2023-03-19T22:15:49.127Z
015,Split #15,00:00:02.791,00:00:44.977,2023-03-19T22:15:51.918Z
016,Split #16,00:00:03.828,00:00:48.805,2023-03-19T22:15:55.746Z
017,Split #17,00:00:02.631,00:00:51.436,2023-03-19T22:15:58.377Z
018,Split #18,00:00:02.924,00:00:54.360,2023-03-19T22:16:01.301Z
019,Split #19,00:00:02.835,00:00:57.195,2023-03-19T22:16:04.136Z
020,Split #20,00:00:02.644,00:00:59.839,2023-03-19T22:16:06.780Z
021,Split #21,00:00:02.925,00:01:02.764,2023-03-19T22:16:09.705Z
022,Split #22,00:00:03.160,00:01:05.924,2023-03-19T22:16:12.865Z
023,Split #23,00:00:02.916,00:01:08.840,2023-03-19T22:16:15.781Z
024,Split #24,00:00:04.003,00:01:12.843,2023-03-19T22:16:19.784Z
025,Split #25,00:00:02.992,00:01:15.835,2023-03-19T22:16:22.776Z
026,Split #26,00:00:02.904,00:01:18.739,2023-03-19T22:16:25.680Z
027,Split #27,00:00:02.904,00:01:21.643,2023-03-19T22:16:28.584Z
028,Split #28,00:00:02.903,00:01:24.546,2023-03-19T22:16:31.487Z
029,Split #29,00:00:02.800,00:01:27.346,2023-03-19T22:16:34.287Z
030,Split #30,00:00:02.902,00:01:30.248,2023-03-19T22:16:37.189Z
031,Split #31,00:00:02.632,00:01:32.880,2023-03-19T22:16:39.821Z
032,Split #32,00:00:03.420,00:01:36.300,2023-03-19T22:16:43.241Z
033,Split #33,00:00:02.858,00:01:39.158,2023-03-19T22:16:46.099Z
034,Split #34,00:00:03.038,00:01:42.196,2023-03-19T22:16:49.137Z
035,Split #35,00:00:03.106,00:01:45.302,2023-03-19T22:16:52.243Z
036,Split #36,00:00:03.238,00:01:48.540,2023-03-19T22:16:55.481Z
037,Split #37,00:00:02.632,00:01:51.172,2023-03-19T22:16:58.113Z
038,Split #38,00:00:02.633,00:01:53.805,2023-03-19T22:17:00.746Z
