#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-06T17:01:38.772Z
001,Split #1,00:00:03.260,00:00:03.260,2023-04-06T17:01:42.032Z
002,Split #2,00:00:03.928,00:00:07.188,2023-04-06T17:01:45.960Z
003,Split #3,00:00:02.756,00:00:09.944,2023-04-06T17:01:48.716Z
004,Split #4,00:00:02.734,00:00:12.678,2023-04-06T17:01:51.450Z
005,Split #5,00:00:02.565,00:00:15.243,2023-04-06T17:01:54.015Z
006,Split #6,00:00:02.519,00:00:17.762,2023-04-06T17:01:56.534Z
007,Split #7,00:00:02.610,00:00:20.372,2023-04-06T17:01:59.144Z
008,Split #8,00:00:02.521,00:00:22.893,2023-04-06T17:02:01.665Z
009,Split #9,00:00:02.722,00:00:25.615,2023-04-06T17:02:04.387Z
010,Split #10,00:00:02.475,00:00:28.090,2023-04-06T17:02:06.862Z
011,Split #11,00:00:02.611,00:00:30.701,2023-04-06T17:02:09.473Z
012,Split #12,00:00:02.688,00:00:33.389,2023-04-06T17:02:12.161Z
013,Split #13,00:00:02.712,00:00:36.101,2023-04-06T17:02:14.873Z
014,Split #14,00:00:02.521,00:00:38.622,2023-04-06T17:02:17.394Z
015,Split #15,00:00:02.653,00:00:41.275,2023-04-06T17:02:20.047Z
016,Split #16,00:00:02.588,00:00:43.863,2023-04-06T17:02:22.635Z
017,Split #17,00:00:02.813,00:00:46.676,2023-04-06T17:02:25.448Z
018,Split #18,00:00:02.509,00:00:49.185,2023-04-06T17:02:27.957Z
019,Split #19,00:00:02.498,00:00:51.683,2023-04-06T17:02:30.455Z
020,Split #20,00:00:02.417,00:00:54.100,2023-04-06T17:02:32.872Z
021,Split #21,00:00:02.565,00:00:56.665,2023-04-06T17:02:35.437Z
022,Split #22,00:00:02.464,00:00:59.129,2023-04-06T17:02:37.901Z
023,Split #23,00:00:02.363,00:01:01.492,2023-04-06T17:02:40.264Z
024,Split #24,00:00:02.452,00:01:03.944,2023-04-06T17:02:42.716Z
025,Split #25,00:00:02.600,00:01:06.544,2023-04-06T17:02:45.316Z
026,Split #26,00:00:02.620,00:01:09.164,2023-04-06T17:02:47.936Z
027,Split #27,00:00:02.364,00:01:11.528,2023-04-06T17:02:50.300Z
028,Split #28,00:00:02.385,00:01:13.913,2023-04-06T17:02:52.685Z
029,Split #29,00:00:02.317,00:01:16.230,2023-04-06T17:02:55.002Z
030,Split #30,00:00:02.204,00:01:18.434,2023-04-06T17:02:57.206Z
031,Split #31,00:00:02.138,00:01:20.572,2023-04-06T17:02:59.344Z
032,Split #32,00:00:02.206,00:01:22.778,2023-04-06T17:03:01.550Z
033,Split #33,00:00:02.159,00:01:24.937,2023-04-06T17:03:03.709Z
034,Split #34,00:00:02.363,00:01:27.300,2023-04-06T17:03:06.072Z
035,Split #35,00:00:02.205,00:01:29.505,2023-04-06T17:03:08.277Z
036,Split #36,00:00:02.249,00:01:31.754,2023-04-06T17:03:10.526Z
037,Split #37,00:00:02.273,00:01:34.027,2023-04-06T17:03:12.799Z
038,Split #38,00:00:02.295,00:01:36.322,2023-04-06T17:03:15.094Z
039,Split #39,00:00:02.363,00:01:38.685,2023-04-06T17:03:17.457Z
040,Split #40,00:00:02.284,00:01:40.969,2023-04-06T17:03:19.741Z
