#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-19T23:07:16.811Z
001,Split #1,00:00:03.072,00:00:03.072,2023-03-19T23:07:19.883Z
002,Split #2,00:00:04.715,00:00:07.787,2023-03-19T23:07:24.598Z
003,Split #3,00:00:04.353,00:00:12.140,2023-03-19T23:07:28.951Z
004,Split #4,00:00:03.534,00:00:15.674,2023-03-19T23:07:32.485Z
005,Split #5,00:00:03.912,00:00:19.586,2023-03-19T23:07:36.397Z
006,Split #6,00:00:04.095,00:00:23.681,2023-03-19T23:07:40.492Z
007,Split #7,00:00:04.275,00:00:27.956,2023-03-19T23:07:44.767Z
008,Split #8,00:00:03.712,00:00:31.668,2023-03-19T23:07:48.479Z
009,Split #9,00:00:03.983,00:00:35.651,2023-03-19T23:07:52.462Z
010,Split #10,00:00:03.555,00:00:39.206,2023-03-19T23:07:56.017Z
011,Split #11,00:00:03.802,00:00:43.008,2023-03-19T23:07:59.819Z
012,Split #12,00:00:03.760,00:00:46.768,2023-03-19T23:08:03.579Z
013,Split #13,00:00:04.161,00:00:50.929,2023-03-19T23:08:07.740Z
014,Split #14,00:00:03.667,00:00:54.596,2023-03-19T23:08:11.407Z
015,Split #15,00:00:03.916,00:00:58.512,2023-03-19T23:08:15.323Z
016,Split #16,00:00:03.903,00:01:02.415,2023-03-19T23:08:19.226Z
017,Split #17,00:00:04.457,00:01:06.872,2023-03-19T23:08:23.683Z
018,Split #18,00:00:03.635,00:01:10.507,2023-03-19T23:08:27.318Z
019,Split #19,00:00:04.001,00:01:14.508,2023-03-19T23:08:31.319Z
020,Split #20,00:00:04.097,00:01:18.605,2023-03-19T23:08:35.416Z
021,Split #21,00:00:03.914,00:01:22.519,2023-03-19T23:08:39.330Z
022,Split #22,00:00:03.813,00:01:26.332,2023-03-19T23:08:43.143Z
023,Split #23,00:00:03.964,00:01:30.296,2023-03-19T23:08:47.107Z
024,Split #24,00:00:04.092,00:01:34.388,2023-03-19T23:08:51.199Z
025,Split #25,00:00:04.388,00:01:38.776,2023-03-19T23:08:55.587Z
026,Split #26,00:00:04.050,00:01:42.826,2023-03-19T23:08:59.637Z
027,Split #27,00:00:03.343,00:01:46.169,2023-03-19T23:09:02.980Z
028,Split #28,00:00:03.329,00:01:49.498,2023-03-19T23:09:06.309Z
029,Split #29,00:00:03.489,00:01:52.987,2023-03-19T23:09:09.798Z
030,Split #30,00:00:03.397,00:01:56.384,2023-03-19T23:09:13.195Z
031,Split #31,00:00:03.530,00:01:59.914,2023-03-19T23:09:16.725Z
032,Split #32,00:00:03.510,00:02:03.424,2023-03-19T23:09:20.235Z
033,Split #33,00:00:03.622,00:02:07.046,2023-03-19T23:09:23.857Z
034,Split #34,00:00:02.376,00:02:09.422,2023-03-19T23:09:26.233Z
035,Split #35,00:00:01.124,00:02:10.546,2023-03-19T23:09:27.357Z
036,Split #36,00:00:03.599,00:02:14.145,2023-03-19T23:09:30.956Z
037,Split #37,00:00:03.624,00:02:17.769,2023-03-19T23:09:34.580Z
038,Split #38,00:00:03.464,00:02:21.233,2023-03-19T23:09:38.044Z
039,Split #39,00:00:03.446,00:02:24.679,2023-03-19T23:09:41.490Z
040,Split #40,00:00:03.485,00:02:28.164,2023-03-19T23:09:44.975Z
041,Split #41,00:00:03.467,00:02:31.631,2023-03-19T23:09:48.442Z
042,Split #42,00:00:03.507,00:02:35.138,2023-03-19T23:09:51.949Z
043,Split #43,00:00:03.489,00:02:38.627,2023-03-19T23:09:55.438Z
044,Split #44,00:00:03.599,00:02:42.226,2023-03-19T23:09:59.037Z
045,Split #45,00:00:03.578,00:02:45.804,2023-03-19T23:10:02.615Z
046,Split #46,00:00:03.622,00:02:49.426,2023-03-19T23:10:06.237Z
047,Split #47,00:00:03.512,00:02:52.938,2023-03-19T23:10:09.749Z
048,Split #48,00:00:03.644,00:02:56.582,2023-03-19T23:10:13.393Z
049,Split #49,00:00:03.465,00:03:00.047,2023-03-19T23:10:16.858Z
050,Split #50,00:00:04.163,00:03:04.210,2023-03-19T23:10:21.021Z
051,Split #51,00:00:04.049,00:03:08.259,2023-03-19T23:10:25.070Z
052,Split #52,00:00:03.331,00:03:11.590,2023-03-19T23:10:28.401Z
053,Split #53,00:00:03.397,00:03:14.987,2023-03-19T23:10:31.798Z
054,Split #54,00:00:03.488,00:03:18.475,2023-03-19T23:10:35.286Z
055,Split #55,00:00:03.465,00:03:21.940,2023-03-19T23:10:38.751Z
056,Split #56,00:00:03.420,00:03:25.360,2023-03-19T23:10:42.171Z
057,Split #57,00:00:03.397,00:03:28.757,2023-03-19T23:10:45.568Z
058,Split #58,00:00:03.626,00:03:32.383,2023-03-19T23:10:49.194Z
059,Split #59,00:00:03.079,00:03:35.462,2023-03-19T23:10:52.273Z
