#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-07T16:31:20.302Z
001,Split #1,00:00:03.938,00:00:03.938,2023-04-07T16:31:24.240Z
002,Split #2,00:00:02.608,00:00:06.546,2023-04-07T16:31:26.848Z
003,Split #3,00:00:02.927,00:00:09.473,2023-04-07T16:31:29.775Z
004,Split #4,00:00:02.700,00:00:12.173,2023-04-07T16:31:32.475Z
005,Split #5,00:00:03.329,00:00:15.502,2023-04-07T16:31:35.804Z
006,Split #6,00:00:02.407,00:00:17.909,2023-04-07T16:31:38.211Z
007,Split #7,00:00:02.678,00:00:20.587,2023-04-07T16:31:40.889Z
008,Split #8,00:00:03.217,00:00:23.804,2023-04-07T16:31:44.106Z
009,Split #9,00:00:02.880,00:00:26.684,2023-04-07T16:31:46.986Z
010,Split #10,00:00:03.353,00:00:30.037,2023-04-07T16:31:50.339Z
011,Split #11,00:00:03.217,00:00:33.254,2023-04-07T16:31:53.556Z
012,Split #12,00:00:02.677,00:00:35.931,2023-04-07T16:31:56.233Z
013,Split #13,00:00:02.970,00:00:38.901,2023-04-07T16:31:59.203Z
014,Split #14,00:00:03.105,00:00:42.006,2023-04-07T16:32:02.308Z
015,Split #15,00:00:03.308,00:00:45.314,2023-04-07T16:32:05.616Z
016,Split #16,00:00:03.443,00:00:48.757,2023-04-07T16:32:09.059Z
017,Split #17,00:00:03.397,00:00:52.154,2023-04-07T16:32:12.456Z
018,Split #18,00:00:03.150,00:00:55.304,2023-04-07T16:32:15.606Z
019,Split #19,00:00:03.330,00:00:58.634,2023-04-07T16:32:18.936Z
020,Split #20,00:00:03.037,00:01:01.671,2023-04-07T16:32:21.973Z
021,Split #21,00:00:03.015,00:01:04.686,2023-04-07T16:32:24.988Z
022,Split #22,00:00:03.162,00:01:07.848,2023-04-07T16:32:28.150Z
023,Split #23,00:00:03.105,00:01:10.953,2023-04-07T16:32:31.255Z
024,Split #24,00:00:03.263,00:01:14.216,2023-04-07T16:32:34.518Z
025,Split #25,00:00:03.262,00:01:17.478,2023-04-07T16:32:37.780Z
026,Split #26,00:00:02.363,00:01:19.841,2023-04-07T16:32:40.143Z
027,Split #27,00:00:02.385,00:01:22.226,2023-04-07T16:32:42.528Z
028,Split #28,00:00:02.317,00:01:24.543,2023-04-07T16:32:44.845Z
029,Split #29,00:00:02.362,00:01:26.905,2023-04-07T16:32:47.207Z
030,Split #30,00:00:02.723,00:01:29.628,2023-04-07T16:32:49.930Z
031,Split #31,00:00:02.476,00:01:32.104,2023-04-07T16:32:52.406Z
032,Split #32,00:00:02.812,00:01:34.916,2023-04-07T16:32:55.218Z
033,Split #33,00:00:02.440,00:01:37.356,2023-04-07T16:32:57.658Z
034,Split #34,00:00:02.554,00:01:39.910,2023-04-07T16:33:00.212Z
035,Split #35,00:00:02.655,00:01:42.565,2023-04-07T16:33:02.867Z
036,Split #36,00:00:02.565,00:01:45.130,2023-04-07T16:33:05.432Z
037,Split #37,00:00:02.633,00:01:47.763,2023-04-07T16:33:08.065Z
038,Split #38,00:00:02.430,00:01:50.193,2023-04-07T16:33:10.495Z
039,Split #39,00:00:02.611,00:01:52.804,2023-04-07T16:33:13.106Z
040,Split #40,00:00:02.429,00:01:55.233,2023-04-07T16:33:15.535Z
041,Split #41,00:00:02.340,00:01:57.573,2023-04-07T16:33:17.875Z
042,Split #42,00:00:02.452,00:02:00.025,2023-04-07T16:33:20.327Z
043,Split #43,00:00:02.588,00:02:02.613,2023-04-07T16:33:22.915Z
044,Split #44,00:00:02.587,00:02:05.200,2023-04-07T16:33:25.502Z
045,Split #45,00:00:02.543,00:02:07.743,2023-04-07T16:33:28.045Z
046,Split #46,00:00:02.588,00:02:10.331,2023-04-07T16:33:30.633Z
047,Split #47,00:00:02.564,00:02:12.895,2023-04-07T16:33:33.197Z
048,Split #48,00:00:02.948,00:02:15.843,2023-04-07T16:33:36.145Z
049,Split #49,00:00:02.768,00:02:18.611,2023-04-07T16:33:38.913Z
050,Split #50,00:00:02.520,00:02:21.131,2023-04-07T16:33:41.433Z
051,Split #51,00:00:02.554,00:02:23.685,2023-04-07T16:33:43.987Z
052,Split #52,00:00:02.519,00:02:26.204,2023-04-07T16:33:46.506Z
053,Split #53,00:00:02.724,00:02:28.928,2023-04-07T16:33:49.230Z
054,Split #54,00:00:02.633,00:02:31.561,2023-04-07T16:33:51.863Z
055,Split #55,00:00:02.496,00:02:34.057,2023-04-07T16:33:54.359Z
056,Split #56,00:00:03.059,00:02:37.116,2023-04-07T16:33:57.418Z
057,Split #57,00:00:02.408,00:02:39.524,2023-04-07T16:33:59.826Z
058,Split #58,00:00:02.385,00:02:41.909,2023-04-07T16:34:02.211Z
059,Split #59,00:00:02.386,00:02:44.295,2023-04-07T16:34:04.597Z
060,Split #60,00:00:02.407,00:02:46.702,2023-04-07T16:34:07.004Z
061,Split #61,00:00:02.564,00:02:49.266,2023-04-07T16:34:09.568Z
062,Split #62,00:00:02.521,00:02:51.787,2023-04-07T16:34:12.089Z
063,Split #63,00:00:02.655,00:02:54.442,2023-04-07T16:34:14.744Z
064,Split #64,00:00:02.542,00:02:56.984,2023-04-07T16:34:17.286Z
065,Split #65,00:00:02.453,00:02:59.437,2023-04-07T16:34:19.739Z
066,Split #66,00:00:02.498,00:03:01.935,2023-04-07T16:34:22.237Z
067,Split #67,00:00:02.564,00:03:04.499,2023-04-07T16:34:24.801Z
068,Split #68,00:00:02.318,00:03:06.817,2023-04-07T16:34:27.119Z
069,Split #69,00:00:02.465,00:03:09.282,2023-04-07T16:34:29.584Z
070,Split #70,00:00:02.385,00:03:11.667,2023-04-07T16:34:31.969Z
071,Split #71,00:00:02.451,00:03:14.118,2023-04-07T16:34:34.420Z
072,Split #72,00:00:02.228,00:03:16.346,2023-04-07T16:34:36.648Z
073,Split #73,00:00:02.362,00:03:18.708,2023-04-07T16:34:39.010Z
074,Split #74,00:00:02.655,00:03:21.363,2023-04-07T16:34:41.665Z
075,Split #75,00:00:02.362,00:03:23.725,2023-04-07T16:34:44.027Z
076,Split #76,00:00:02.250,00:03:25.975,2023-04-07T16:34:46.277Z
077,Split #77,00:00:02.859,00:03:28.834,2023-04-07T16:34:49.136Z
078,Split #78,00:00:02.519,00:03:31.353,2023-04-07T16:34:51.655Z
079,Split #79,00:00:02.678,00:03:34.031,2023-04-07T16:34:54.333Z
080,Split #80,00:00:02.971,00:03:37.002,2023-04-07T16:34:57.304Z
081,Split #81,00:00:03.396,00:03:40.398,2023-04-07T16:35:00.700Z
082,Split #82,00:00:02.902,00:03:43.300,2023-04-07T16:35:03.602Z
083,Split #83,00:00:02.804,00:03:46.104,2023-04-07T16:35:06.406Z
084,Split #84,00:00:02.542,00:03:48.646,2023-04-07T16:35:08.948Z
085,Split #85,00:00:02.923,00:03:51.569,2023-04-07T16:35:11.871Z
086,Split #86,00:00:03.061,00:03:54.630,2023-04-07T16:35:14.932Z
087,Split #87,00:00:03.419,00:03:58.049,2023-04-07T16:35:18.351Z
088,Split #88,00:00:03.128,00:04:01.177,2023-04-07T16:35:21.479Z
089,Split #89,00:00:02.970,00:04:04.147,2023-04-07T16:35:24.449Z
090,Split #90,00:00:03.060,00:04:07.207,2023-04-07T16:35:27.509Z
091,Split #91,00:00:02.610,00:04:09.817,2023-04-07T16:35:30.119Z
092,Split #92,00:00:02.385,00:04:12.202,2023-04-07T16:35:32.504Z
093,Split #93,00:00:02.994,00:04:15.196,2023-04-07T16:35:35.498Z
094,Split #94,00:00:02.226,00:04:17.422,2023-04-07T16:35:37.724Z
095,Split #95,00:00:02.588,00:04:20.010,2023-04-07T16:35:40.312Z
096,Split #96,00:00:02.520,00:04:22.530,2023-04-07T16:35:42.832Z
097,Split #97,00:00:02.677,00:04:25.207,2023-04-07T16:35:45.509Z
098,Split #98,00:00:02.408,00:04:27.615,2023-04-07T16:35:47.917Z
099,Split #99,00:00:02.612,00:04:30.227,2023-04-07T16:35:50.529Z
100,Split #100,00:00:02.315,00:04:32.542,2023-04-07T16:35:52.844Z
101,Split #101,00:00:02.566,00:04:35.108,2023-04-07T16:35:55.410Z
102,Split #102,00:00:02.521,00:04:37.629,2023-04-07T16:35:57.931Z
103,Split #103,00:00:02.613,00:04:40.242,2023-04-07T16:36:00.544Z
104,Split #104,00:00:02.538,00:04:42.780,2023-04-07T16:36:03.082Z
105,Split #105,00:00:02.520,00:04:45.300,2023-04-07T16:36:05.602Z
106,Split #106,00:00:02.565,00:04:47.865,2023-04-07T16:36:08.167Z
107,Split #107,00:00:02.677,00:04:50.542,2023-04-07T16:36:10.844Z
108,Split #108,00:00:02.497,00:04:53.039,2023-04-07T16:36:13.341Z
109,Split #109,00:00:02.565,00:04:55.604,2023-04-07T16:36:15.906Z
110,Split #110,00:00:02.520,00:04:58.124,2023-04-07T16:36:18.426Z
111,Split #111,00:00:02.386,00:05:00.510,2023-04-07T16:36:20.812Z
112,Split #112,00:00:02.384,00:05:02.894,2023-04-07T16:36:23.196Z
113,Split #113,00:00:03.015,00:05:05.909,2023-04-07T16:36:26.211Z
114,Split #114,00:00:02.385,00:05:08.294,2023-04-07T16:36:28.596Z
