#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-05T13:23:14.885Z
001,Split #1,00:00:04.084,00:00:04.084,2023-04-05T13:23:18.969Z
002,Split #2,00:00:02.653,00:00:06.737,2023-04-05T13:23:21.622Z
003,Split #3,00:00:03.386,00:00:10.123,2023-04-05T13:23:25.008Z
004,Split #4,00:00:03.668,00:00:13.791,2023-04-05T13:23:28.676Z
005,Split #5,00:00:03.622,00:00:17.413,2023-04-05T13:23:32.298Z
006,Split #6,00:00:03.107,00:00:20.520,2023-04-05T13:23:35.405Z
007,Split #7,00:00:03.239,00:00:23.759,2023-04-05T13:23:38.644Z
008,Split #8,00:00:03.689,00:00:27.448,2023-04-05T13:23:42.333Z
009,Split #9,00:00:02.767,00:00:30.215,2023-04-05T13:23:45.100Z
010,Split #10,00:00:02.847,00:00:33.062,2023-04-05T13:23:47.947Z
011,Split #11,00:00:03.014,00:00:36.076,2023-04-05T13:23:50.961Z
012,Split #12,00:00:02.903,00:00:38.979,2023-04-05T13:23:53.864Z
013,Split #13,00:00:03.195,00:00:42.174,2023-04-05T13:23:57.059Z
014,Split #14,00:00:03.307,00:00:45.481,2023-04-05T13:24:00.366Z
015,Split #15,00:00:03.454,00:00:48.935,2023-04-05T13:24:03.820Z
016,Split #16,00:00:03.758,00:00:52.693,2023-04-05T13:24:07.578Z
017,Split #17,00:00:02.610,00:00:55.303,2023-04-05T13:24:10.188Z
018,Split #18,00:00:02.509,00:00:57.812,2023-04-05T13:24:12.697Z
019,Split #19,00:00:02.812,00:01:00.624,2023-04-05T13:24:15.509Z
020,Split #20,00:00:02.879,00:01:03.503,2023-04-05T13:24:18.388Z
021,Split #21,00:00:02.948,00:01:06.451,2023-04-05T13:24:21.336Z
022,Split #22,00:00:02.656,00:01:09.107,2023-04-05T13:24:23.992Z
023,Split #23,00:00:02.654,00:01:11.761,2023-04-05T13:24:26.646Z
024,Split #24,00:00:04.545,00:01:16.306,2023-04-05T13:24:31.191Z
025,Split #25,00:00:03.285,00:01:19.591,2023-04-05T13:24:34.476Z
026,Split #26,00:00:02.700,00:01:22.291,2023-04-05T13:24:37.176Z
027,Split #27,00:00:02.386,00:01:24.677,2023-04-05T13:24:39.562Z
028,Split #28,00:00:03.103,00:01:27.780,2023-04-05T13:24:42.665Z
029,Split #29,00:00:02.521,00:01:30.301,2023-04-05T13:24:45.186Z
030,Split #30,00:00:03.060,00:01:33.361,2023-04-05T13:24:48.246Z
031,Split #31,00:00:02.340,00:01:35.701,2023-04-05T13:24:50.586Z
032,Split #32,00:00:03.239,00:01:38.940,2023-04-05T13:24:53.825Z
033,Split #33,00:00:03.713,00:01:42.653,2023-04-05T13:24:57.538Z
034,Split #34,00:00:02.768,00:01:45.421,2023-04-05T13:25:00.306Z
035,Split #35,00:00:02.656,00:01:48.077,2023-04-05T13:25:02.962Z
036,Split #36,00:00:02.676,00:01:50.753,2023-04-05T13:25:05.638Z
037,Split #37,00:00:02.564,00:01:53.317,2023-04-05T13:25:08.202Z
038,Split #38,00:00:02.307,00:01:55.624,2023-04-05T13:25:10.509Z
039,Split #39,00:00:02.140,00:01:57.764,2023-04-05T13:25:12.649Z
040,Split #40,00:00:02.269,00:02:00.033,2023-04-05T13:25:14.918Z
041,Split #41,00:00:02.566,00:02:02.599,2023-04-05T13:25:17.484Z
042,Split #42,00:00:02.475,00:02:05.074,2023-04-05T13:25:19.959Z
043,Split #43,00:00:02.542,00:02:07.616,2023-04-05T13:25:22.501Z
044,Split #44,00:00:02.228,00:02:09.844,2023-04-05T13:25:24.729Z
045,Split #45,00:00:02.589,00:02:12.433,2023-04-05T13:25:27.318Z
046,Split #46,00:00:02.811,00:02:15.244,2023-04-05T13:25:30.129Z
047,Split #47,00:00:02.542,00:02:17.786,2023-04-05T13:25:32.671Z
048,Split #48,00:00:02.666,00:02:20.452,2023-04-05T13:25:35.337Z
049,Split #49,00:00:03.240,00:02:23.692,2023-04-05T13:25:38.577Z
050,Split #50,00:00:02.813,00:02:26.505,2023-04-05T13:25:41.390Z
051,Split #51,00:00:02.882,00:02:29.387,2023-04-05T13:25:44.272Z
052,Split #52,00:00:02.664,00:02:32.051,2023-04-05T13:25:46.936Z
053,Split #53,00:00:02.216,00:02:34.267,2023-04-05T13:25:49.152Z
054,Split #54,00:00:02.306,00:02:36.573,2023-04-05T13:25:51.458Z
055,Split #55,00:00:02.499,00:02:39.072,2023-04-05T13:25:53.957Z
056,Split #56,00:00:02.316,00:02:41.388,2023-04-05T13:25:56.273Z
057,Split #57,00:00:02.373,00:02:43.761,2023-04-05T13:25:58.646Z
058,Split #58,00:00:02.342,00:02:46.103,2023-04-05T13:26:00.988Z
059,Split #59,00:00:02.474,00:02:48.577,2023-04-05T13:26:03.462Z
060,Split #60,00:00:02.249,00:02:50.826,2023-04-05T13:26:05.711Z
061,Split #61,00:00:02.296,00:02:53.122,2023-04-05T13:26:08.007Z
062,Split #62,00:00:02.318,00:02:55.440,2023-04-05T13:26:10.325Z
063,Split #63,00:00:02.406,00:02:57.846,2023-04-05T13:26:12.731Z
064,Split #64,00:00:02.724,00:03:00.570,2023-04-05T13:26:15.455Z
065,Split #65,00:00:03.014,00:03:03.584,2023-04-05T13:26:18.469Z
066,Split #66,00:00:02.509,00:03:06.093,2023-04-05T13:26:20.978Z
067,Split #67,00:00:02.362,00:03:08.455,2023-04-05T13:26:23.340Z
068,Split #68,00:00:02.272,00:03:10.727,2023-04-05T13:26:25.612Z
069,Split #69,00:00:02.408,00:03:13.135,2023-04-05T13:26:28.020Z
070,Split #70,00:00:02.520,00:03:15.655,2023-04-05T13:26:30.540Z
071,Split #71,00:00:02.339,00:03:17.994,2023-04-05T13:26:32.879Z
072,Split #72,00:00:02.095,00:03:20.089,2023-04-05T13:26:34.974Z
073,Split #73,00:00:02.980,00:03:23.069,2023-04-05T13:26:37.954Z
074,Split #74,00:00:02.904,00:03:25.973,2023-04-05T13:26:40.858Z
075,Split #75,00:00:03.114,00:03:29.087,2023-04-05T13:26:43.972Z
076,Split #76,00:00:02.937,00:03:32.024,2023-04-05T13:26:46.909Z
077,Split #77,00:00:03.825,00:03:35.849,2023-04-05T13:26:50.734Z
078,Split #78,00:00:03.464,00:03:39.313,2023-04-05T13:26:54.198Z
079,Split #79,00:00:02.928,00:03:42.241,2023-04-05T13:26:57.126Z
080,Split #80,00:00:03.735,00:03:45.976,2023-04-05T13:27:00.861Z
081,Split #81,00:00:03.283,00:03:49.259,2023-04-05T13:27:04.144Z
082,Split #82,00:00:03.084,00:03:52.343,2023-04-05T13:27:07.228Z
083,Split #83,00:00:02.855,00:03:55.198,2023-04-05T13:27:10.083Z
084,Split #84,00:00:02.723,00:03:57.921,2023-04-05T13:27:12.806Z
085,Split #85,00:00:03.352,00:04:01.273,2023-04-05T13:27:16.158Z
086,Split #86,00:00:02.790,00:04:04.063,2023-04-05T13:27:18.948Z
