#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-22T22:48:58.439Z
001,Split #1,00:00:12.722,00:00:12.722,2023-03-22T22:49:11.161Z
002,Split #2,00:00:02.701,00:00:15.423,2023-03-22T22:49:13.862Z
003,Split #3,00:00:03.127,00:00:18.550,2023-03-22T22:49:16.989Z
004,Split #4,00:00:03.060,00:00:21.610,2023-03-22T22:49:20.049Z
005,Split #5,00:00:02.974,00:00:24.584,2023-03-22T22:49:23.023Z
006,Split #6,00:00:03.013,00:00:27.597,2023-03-22T22:49:26.036Z
007,Split #7,00:00:02.970,00:00:30.567,2023-03-22T22:49:29.006Z
008,Split #8,00:00:03.082,00:00:33.649,2023-03-22T22:49:32.088Z
009,Split #9,00:00:03.398,00:00:37.047,2023-03-22T22:49:35.486Z
010,Split #10,00:00:03.217,00:00:40.264,2023-03-22T22:49:38.703Z
011,Split #11,00:00:03.261,00:00:43.525,2023-03-22T22:49:41.964Z
012,Split #12,00:00:03.298,00:00:46.823,2023-03-22T22:49:45.262Z
013,Split #13,00:00:03.185,00:00:50.008,2023-03-22T22:49:48.447Z
014,Split #14,00:00:03.284,00:00:53.292,2023-03-22T22:49:51.731Z
015,Split #15,00:00:03.171,00:00:56.463,2023-03-22T22:49:54.902Z
016,Split #16,00:00:03.419,00:00:59.882,2023-03-22T22:49:58.321Z
017,Split #17,00:00:03.647,00:01:03.529,2023-03-22T22:50:01.968Z
018,Split #18,00:00:03.398,00:01:06.927,2023-03-22T22:50:05.366Z
019,Split #19,00:00:03.037,00:01:09.964,2023-03-22T22:50:08.403Z
020,Split #20,00:00:03.307,00:01:13.271,2023-03-22T22:50:11.710Z
021,Split #21,00:00:02.971,00:01:16.242,2023-03-22T22:50:14.681Z
022,Split #22,00:00:03.330,00:01:19.572,2023-03-22T22:50:18.011Z
023,Split #23,00:00:03.014,00:01:22.586,2023-03-22T22:50:21.025Z
024,Split #24,00:00:03.308,00:01:25.894,2023-03-22T22:50:24.333Z
025,Split #25,00:00:03.916,00:01:29.810,2023-03-22T22:50:28.249Z
026,Split #26,00:00:03.418,00:01:33.228,2023-03-22T22:50:31.667Z
027,Split #27,00:00:02.927,00:01:36.155,2023-03-22T22:50:34.594Z
028,Split #28,00:00:02.857,00:01:39.012,2023-03-22T22:50:37.451Z
029,Split #29,00:00:02.745,00:01:41.757,2023-03-22T22:50:40.196Z
030,Split #30,00:00:02.091,00:01:43.848,2023-03-22T22:50:42.287Z
