#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-08T05:26:01.302Z
001,Split #1,00:00:32.963,00:00:32.963,2023-04-08T05:26:34.265Z
002,Split #2,00:00:04.364,00:00:37.327,2023-04-08T05:26:38.629Z
003,Split #3,00:00:03.958,00:00:41.285,2023-04-08T05:26:42.587Z
004,Split #4,00:00:04.352,00:00:45.637,2023-04-08T05:26:46.939Z
005,Split #5,00:00:05.601,00:00:51.238,2023-04-08T05:26:52.540Z
006,Split #6,00:00:05.276,00:00:56.514,2023-04-08T05:26:57.816Z
007,Split #7,00:00:04.206,00:01:00.720,2023-04-08T05:27:02.022Z
008,Split #8,00:00:04.038,00:01:04.758,2023-04-08T05:27:06.060Z
009,Split #9,00:00:05.197,00:01:09.955,2023-04-08T05:27:11.257Z
010,Split #10,00:00:04.072,00:01:14.027,2023-04-08T05:27:15.329Z
011,Split #11,00:00:03.668,00:01:17.695,2023-04-08T05:27:18.997Z
012,Split #12,00:00:03.982,00:01:21.677,2023-04-08T05:27:22.979Z
013,Split #13,00:00:04.028,00:01:25.705,2023-04-08T05:27:27.007Z
014,Split #14,00:00:04.691,00:01:30.396,2023-04-08T05:27:31.698Z
015,Split #15,00:00:04.342,00:01:34.738,2023-04-08T05:27:36.040Z
016,Split #16,00:00:04.793,00:01:39.531,2023-04-08T05:27:40.833Z
017,Split #17,00:00:05.513,00:01:45.044,2023-04-08T05:27:46.346Z
018,Split #18,00:00:03.396,00:01:48.440,2023-04-08T05:27:49.742Z
019,Split #19,00:00:03.151,00:01:51.591,2023-04-08T05:27:52.893Z
020,Split #20,00:00:03.150,00:01:54.741,2023-04-08T05:27:56.043Z
021,Split #21,00:00:03.510,00:01:58.251,2023-04-08T05:27:59.553Z
022,Split #22,00:00:03.239,00:02:01.490,2023-04-08T05:28:02.792Z
023,Split #23,00:00:03.600,00:02:05.090,2023-04-08T05:28:06.392Z
024,Split #24,00:00:03.151,00:02:08.241,2023-04-08T05:28:09.543Z
025,Split #25,00:00:03.893,00:02:12.134,2023-04-08T05:28:13.436Z
026,Split #26,00:00:04.566,00:02:16.700,2023-04-08T05:28:18.002Z
027,Split #27,00:00:04.051,00:02:20.751,2023-04-08T05:28:22.053Z
028,Split #28,00:00:03.993,00:02:24.744,2023-04-08T05:28:26.046Z
029,Split #29,00:00:04.164,00:02:28.908,2023-04-08T05:28:30.210Z
030,Split #30,00:00:03.644,00:02:32.552,2023-04-08T05:28:33.854Z
031,Split #31,00:00:03.387,00:02:35.939,2023-04-08T05:28:37.241Z
032,Split #32,00:00:03.421,00:02:39.360,2023-04-08T05:28:40.662Z
033,Split #33,00:00:03.125,00:02:42.485,2023-04-08T05:28:43.787Z
034,Split #34,00:00:03.015,00:02:45.500,2023-04-08T05:28:46.802Z
035,Split #35,00:00:02.476,00:02:47.976,2023-04-08T05:28:49.278Z
036,Split #36,00:00:02.386,00:02:50.362,2023-04-08T05:28:51.664Z
037,Split #37,00:00:02.384,00:02:52.746,2023-04-08T05:28:54.048Z
038,Split #38,00:00:02.272,00:02:55.018,2023-04-08T05:28:56.320Z
039,Split #39,00:00:02.431,00:02:57.449,2023-04-08T05:28:58.751Z
040,Split #40,00:00:02.318,00:02:59.767,2023-04-08T05:29:01.069Z
041,Split #41,00:00:02.676,00:03:02.443,2023-04-08T05:29:03.745Z
042,Split #42,00:00:02.700,00:03:05.143,2023-04-08T05:29:06.445Z
043,Split #43,00:00:02.835,00:03:07.978,2023-04-08T05:29:09.280Z
044,Split #44,00:00:02.678,00:03:10.656,2023-04-08T05:29:11.958Z
045,Split #45,00:00:02.542,00:03:13.198,2023-04-08T05:29:14.500Z
046,Split #46,00:00:02.589,00:03:15.787,2023-04-08T05:29:17.089Z
047,Split #47,00:00:02.452,00:03:18.239,2023-04-08T05:29:19.541Z
048,Split #48,00:00:02.519,00:03:20.758,2023-04-08T05:29:22.060Z
049,Split #49,00:00:02.881,00:03:23.639,2023-04-08T05:29:24.941Z
050,Split #50,00:00:02.609,00:03:26.248,2023-04-08T05:29:27.550Z
051,Split #51,00:00:02.531,00:03:28.779,2023-04-08T05:29:30.081Z
052,Split #52,00:00:02.768,00:03:31.547,2023-04-08T05:29:32.849Z
053,Split #53,00:00:02.812,00:03:34.359,2023-04-08T05:29:35.661Z
054,Split #54,00:00:02.723,00:03:37.082,2023-04-08T05:29:38.384Z
055,Split #55,00:00:02.699,00:03:39.781,2023-04-08T05:29:41.083Z
056,Split #56,00:00:02.613,00:03:42.394,2023-04-08T05:29:43.696Z
057,Split #57,00:00:02.495,00:03:44.889,2023-04-08T05:29:46.191Z
058,Split #58,00:00:03.039,00:03:47.928,2023-04-08T05:29:49.230Z
059,Split #59,00:00:02.474,00:03:50.402,2023-04-08T05:29:51.704Z
060,Split #60,00:00:03.062,00:03:53.464,2023-04-08T05:29:54.766Z
061,Split #61,00:00:02.204,00:03:55.668,2023-04-08T05:29:56.970Z
062,Split #62,00:00:02.890,00:03:58.558,2023-04-08T05:29:59.860Z
063,Split #63,00:00:03.015,00:04:01.573,2023-04-08T05:30:02.875Z
064,Split #64,00:00:02.588,00:04:04.161,2023-04-08T05:30:05.463Z
065,Split #65,00:00:02.621,00:04:06.782,2023-04-08T05:30:08.084Z
066,Split #66,00:00:04.410,00:04:11.192,2023-04-08T05:30:12.494Z
067,Split #67,00:00:05.040,00:04:16.232,2023-04-08T05:30:17.534Z
068,Split #68,00:00:03.229,00:04:19.461,2023-04-08T05:30:20.763Z
069,Split #69,00:00:05.332,00:04:24.793,2023-04-08T05:30:26.095Z
070,Split #70,00:00:05.379,00:04:30.172,2023-04-08T05:30:31.474Z
071,Split #71,00:00:03.487,00:04:33.659,2023-04-08T05:30:34.961Z
072,Split #72,00:00:03.509,00:04:37.168,2023-04-08T05:30:38.470Z
073,Split #73,00:00:04.320,00:04:41.488,2023-04-08T05:30:42.790Z
074,Split #74,00:00:04.174,00:04:45.662,2023-04-08T05:30:46.964Z
075,Split #75,00:00:03.431,00:04:49.093,2023-04-08T05:30:50.395Z
076,Split #76,00:00:03.397,00:04:52.490,2023-04-08T05:30:53.792Z
077,Split #77,00:00:04.231,00:04:56.721,2023-04-08T05:30:58.023Z
078,Split #78,00:00:03.881,00:05:00.602,2023-04-08T05:31:01.904Z
079,Split #79,00:00:03.669,00:05:04.271,2023-04-08T05:31:05.573Z
080,Split #80,00:00:03.059,00:05:07.330,2023-04-08T05:31:08.632Z
081,Split #81,00:00:03.644,00:05:10.974,2023-04-08T05:31:12.276Z
082,Split #82,00:00:02.903,00:05:13.877,2023-04-08T05:31:15.179Z
083,Split #83,00:00:01.779,00:05:15.656,2023-04-08T05:31:16.958Z
084,Split #84,00:00:01.731,00:05:17.387,2023-04-08T05:31:18.689Z
085,Split #85,00:00:02.250,00:05:19.637,2023-04-08T05:31:20.939Z
086,Split #86,00:00:04.365,00:05:24.002,2023-04-08T05:31:25.304Z
087,Split #87,00:00:03.465,00:05:27.467,2023-04-08T05:31:28.769Z
088,Split #88,00:00:03.127,00:05:30.594,2023-04-08T05:31:31.896Z
