#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-21T17:59:15.239Z
001,Split #1,00:00:03.458,00:00:03.458,2023-03-21T17:59:18.697Z
002,Split #2,00:00:03.346,00:00:06.804,2023-03-21T17:59:22.043Z
003,Split #3,00:00:03.208,00:00:10.012,2023-03-21T17:59:25.251Z
004,Split #4,00:00:02.959,00:00:12.971,2023-03-21T17:59:28.210Z
005,Split #5,00:00:03.082,00:00:16.053,2023-03-21T17:59:31.292Z
006,Split #6,00:00:02.992,00:00:19.045,2023-03-21T17:59:34.284Z
007,Split #7,00:00:03.309,00:00:22.354,2023-03-21T17:59:37.593Z
008,Split #8,00:00:03.307,00:00:25.661,2023-03-21T17:59:40.900Z
009,Split #9,00:00:03.353,00:00:29.014,2023-03-21T17:59:44.253Z
010,Split #10,00:00:02.992,00:00:32.006,2023-03-21T17:59:47.245Z
011,Split #11,00:00:02.859,00:00:34.865,2023-03-21T17:59:50.104Z
012,Split #12,00:00:03.070,00:00:37.935,2023-03-21T17:59:53.174Z
013,Split #13,00:00:03.329,00:00:41.264,2023-03-21T17:59:56.503Z
014,Split #14,00:00:03.015,00:00:44.279,2023-03-21T17:59:59.518Z
015,Split #15,00:00:03.095,00:00:47.374,2023-03-21T18:00:02.613Z
016,Split #16,00:00:03.284,00:00:50.658,2023-03-21T18:00:05.897Z
017,Split #17,00:00:03.376,00:00:54.034,2023-03-21T18:00:09.273Z
018,Split #18,00:00:03.081,00:00:57.115,2023-03-21T18:00:12.354Z
019,Split #19,00:00:03.176,00:01:00.291,2023-03-21T18:00:15.530Z
020,Split #20,00:00:03.035,00:01:03.326,2023-03-21T18:00:18.565Z
021,Split #21,00:00:02.949,00:01:06.275,2023-03-21T18:00:21.514Z
022,Split #22,00:00:03.059,00:01:09.334,2023-03-21T18:00:24.573Z
023,Split #23,00:00:03.014,00:01:12.348,2023-03-21T18:00:27.587Z
024,Split #24,00:00:03.836,00:01:16.184,2023-03-21T18:00:31.423Z
025,Split #25,00:00:03.286,00:01:19.470,2023-03-21T18:00:34.709Z
026,Split #26,00:00:03.014,00:01:22.484,2023-03-21T18:00:37.723Z
027,Split #27,00:00:02.859,00:01:25.343,2023-03-21T18:00:40.582Z
028,Split #28,00:00:02.767,00:01:28.110,2023-03-21T18:00:43.349Z
029,Split #29,00:00:02.992,00:01:31.102,2023-03-21T18:00:46.341Z
030,Split #30,00:00:02.882,00:01:33.984,2023-03-21T18:00:49.223Z
031,Split #31,00:00:02.901,00:01:36.885,2023-03-21T18:00:52.124Z
032,Split #32,00:00:03.003,00:01:39.888,2023-03-21T18:00:55.127Z
033,Split #33,00:00:03.297,00:01:43.185,2023-03-21T18:00:58.424Z
034,Split #34,00:00:02.903,00:01:46.088,2023-03-21T18:01:01.327Z
035,Split #35,00:00:03.037,00:01:49.125,2023-03-21T18:01:04.364Z
036,Split #36,00:00:02.791,00:01:51.916,2023-03-21T18:01:07.155Z
037,Split #37,00:00:02.880,00:01:54.796,2023-03-21T18:01:10.035Z
038,Split #38,00:00:02.611,00:01:57.407,2023-03-21T18:01:12.646Z
039,Split #39,00:00:02.429,00:01:59.836,2023-03-21T18:01:15.075Z
040,Split #40,00:00:03.149,00:02:02.985,2023-03-21T18:01:18.224Z
041,Split #41,00:00:02.758,00:02:05.743,2023-03-21T18:01:20.982Z
042,Split #42,00:00:03.047,00:02:08.790,2023-03-21T18:01:24.029Z
043,Split #43,00:00:02.837,00:02:11.627,2023-03-21T18:01:26.866Z
044,Split #44,00:00:02.857,00:02:14.484,2023-03-21T18:01:29.723Z
045,Split #45,00:00:03.172,00:02:17.656,2023-03-21T18:01:32.895Z
046,Split #46,00:00:03.019,00:02:20.675,2023-03-21T18:01:35.914Z
047,Split #47,00:00:02.831,00:02:23.506,2023-03-21T18:01:38.745Z
048,Split #48,00:00:03.171,00:02:26.677,2023-03-21T18:01:41.916Z
049,Split #49,00:00:03.197,00:02:29.874,2023-03-21T18:01:45.113Z
050,Split #50,00:00:03.801,00:02:33.675,2023-03-21T18:01:48.914Z
051,Split #51,00:00:03.243,00:02:36.918,2023-03-21T18:01:52.157Z
052,Split #52,00:00:02.630,00:02:39.548,2023-03-21T18:01:54.787Z
053,Split #53,00:00:02.633,00:02:42.181,2023-03-21T18:01:57.420Z
054,Split #54,00:00:02.836,00:02:45.017,2023-03-21T18:02:00.256Z
055,Split #55,00:00:02.858,00:02:47.875,2023-03-21T18:02:03.114Z
056,Split #56,00:00:02.463,00:02:50.338,2023-03-21T18:02:05.577Z
057,Split #57,00:00:02.588,00:02:52.926,2023-03-21T18:02:08.165Z
058,Split #58,00:00:02.473,00:02:55.399,2023-03-21T18:02:10.638Z
059,Split #59,00:00:02.430,00:02:57.829,2023-03-21T18:02:13.068Z
060,Split #60,00:00:02.589,00:03:00.418,2023-03-21T18:02:15.657Z
061,Split #61,00:00:02.610,00:03:03.028,2023-03-21T18:02:18.267Z
062,Split #62,00:00:02.519,00:03:05.547,2023-03-21T18:02:20.786Z
063,Split #63,00:00:02.611,00:03:08.158,2023-03-21T18:02:23.397Z
064,Split #64,00:00:02.837,00:03:10.995,2023-03-21T18:02:26.234Z
065,Split #65,00:00:02.563,00:03:13.558,2023-03-21T18:02:28.797Z
066,Split #66,00:00:02.589,00:03:16.147,2023-03-21T18:02:31.386Z
067,Split #67,00:00:02.653,00:03:18.800,2023-03-21T18:02:34.039Z
068,Split #68,00:00:02.586,00:03:21.386,2023-03-21T18:02:36.625Z
069,Split #69,00:00:02.657,00:03:24.043,2023-03-21T18:02:39.282Z
070,Split #70,00:00:02.609,00:03:26.652,2023-03-21T18:02:41.891Z
071,Split #71,00:00:02.521,00:03:29.173,2023-03-21T18:02:44.412Z
072,Split #72,00:00:02.475,00:03:31.648,2023-03-21T18:02:46.887Z
073,Split #73,00:00:02.700,00:03:34.348,2023-03-21T18:02:49.587Z
074,Split #74,00:00:02.407,00:03:36.755,2023-03-21T18:02:51.994Z
075,Split #75,00:00:02.520,00:03:39.275,2023-03-21T18:02:54.514Z
076,Split #76,00:00:02.230,00:03:41.505,2023-03-21T18:02:56.744Z
077,Split #77,00:00:02.575,00:03:44.080,2023-03-21T18:02:59.319Z
078,Split #78,00:00:02.744,00:03:46.824,2023-03-21T18:03:02.063Z
079,Split #79,00:00:02.611,00:03:49.435,2023-03-21T18:03:04.674Z
080,Split #80,00:00:02.924,00:03:52.359,2023-03-21T18:03:07.598Z
081,Split #81,00:00:03.534,00:03:55.893,2023-03-21T18:03:11.132Z
082,Split #82,00:00:03.081,00:03:58.974,2023-03-21T18:03:14.213Z
083,Split #83,00:00:03.422,00:04:02.396,2023-03-21T18:03:17.635Z
084,Split #84,00:00:02.800,00:04:05.196,2023-03-21T18:03:20.435Z
085,Split #85,00:00:02.947,00:04:08.143,2023-03-21T18:03:23.382Z
086,Split #86,00:00:02.860,00:04:11.003,2023-03-21T18:03:26.242Z
087,Split #87,00:00:02.990,00:04:13.993,2023-03-21T18:03:29.232Z
088,Split #88,00:00:02.858,00:04:16.851,2023-03-21T18:03:32.090Z
089,Split #89,00:00:02.812,00:04:19.663,2023-03-21T18:03:34.902Z
090,Split #90,00:00:02.870,00:04:22.533,2023-03-21T18:03:37.772Z
091,Split #91,00:00:02.903,00:04:25.436,2023-03-21T18:03:40.675Z
092,Split #92,00:00:02.912,00:04:28.348,2023-03-21T18:03:43.587Z
093,Split #93,00:00:03.128,00:04:31.476,2023-03-21T18:03:46.715Z
094,Split #94,00:00:02.928,00:04:34.404,2023-03-21T18:03:49.643Z
095,Split #95,00:00:02.854,00:04:37.258,2023-03-21T18:03:52.497Z
096,Split #96,00:00:02.859,00:04:40.117,2023-03-21T18:03:55.356Z
097,Split #97,00:00:02.970,00:04:43.087,2023-03-21T18:03:58.326Z
098,Split #98,00:00:02.972,00:04:46.059,2023-03-21T18:04:01.298Z
099,Split #99,00:00:02.786,00:04:48.845,2023-03-21T18:04:04.084Z
100,Split #100,00:00:02.970,00:04:51.815,2023-03-21T18:04:07.054Z
101,Split #101,00:00:02.904,00:04:54.719,2023-03-21T18:04:09.958Z
102,Split #102,00:00:02.903,00:04:57.622,2023-03-21T18:04:12.861Z
103,Split #103,00:00:03.040,00:05:00.662,2023-03-21T18:04:15.901Z
104,Split #104,00:00:03.124,00:05:03.786,2023-03-21T18:04:19.025Z
105,Split #105,00:00:03.364,00:05:07.150,2023-03-21T18:04:22.389Z
106,Split #106,00:00:03.399,00:05:10.549,2023-03-21T18:04:25.788Z
107,Split #107,00:00:03.083,00:05:13.632,2023-03-21T18:04:28.871Z
