#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-25T17:34:48.311Z
001,Split #1,00:00:10.192,00:00:10.192,2023-03-25T17:34:58.503Z
002,Split #2,00:00:01.665,00:00:11.857,2023-03-25T17:35:00.168Z
003,Split #3,00:00:03.040,00:00:14.897,2023-03-25T17:35:03.208Z
004,Split #4,00:00:02.901,00:00:17.798,2023-03-25T17:35:06.109Z
005,Split #5,00:00:02.868,00:00:20.666,2023-03-25T17:35:08.977Z
006,Split #6,00:00:03.195,00:00:23.861,2023-03-25T17:35:12.172Z
007,Split #7,00:00:03.107,00:00:26.968,2023-03-25T17:35:15.279Z
008,Split #8,00:00:03.151,00:00:30.119,2023-03-25T17:35:18.430Z
009,Split #9,00:00:03.317,00:00:33.436,2023-03-25T17:35:21.747Z
010,Split #10,00:00:03.035,00:00:36.471,2023-03-25T17:35:24.782Z
011,Split #11,00:00:03.229,00:00:39.700,2023-03-25T17:35:28.011Z
012,Split #12,00:00:03.355,00:00:43.055,2023-03-25T17:35:31.366Z
013,Split #13,00:00:03.328,00:00:46.383,2023-03-25T17:35:34.694Z
014,Split #14,00:00:03.397,00:00:49.780,2023-03-25T17:35:38.091Z
015,Split #15,00:00:03.196,00:00:52.976,2023-03-25T17:35:41.287Z
016,Split #16,00:00:03.385,00:00:56.361,2023-03-25T17:35:44.672Z
017,Split #17,00:00:03.715,00:01:00.076,2023-03-25T17:35:48.387Z
018,Split #18,00:00:03.304,00:01:03.380,2023-03-25T17:35:51.691Z
019,Split #19,00:00:03.286,00:01:06.666,2023-03-25T17:35:54.977Z
020,Split #20,00:00:03.197,00:01:09.863,2023-03-25T17:35:58.174Z
021,Split #21,00:00:03.059,00:01:12.922,2023-03-25T17:36:01.233Z
022,Split #22,00:00:03.172,00:01:16.094,2023-03-25T17:36:04.405Z
023,Split #23,00:00:03.330,00:01:19.424,2023-03-25T17:36:07.735Z
024,Split #24,00:00:03.242,00:01:22.666,2023-03-25T17:36:10.977Z
025,Split #25,00:00:04.070,00:01:26.736,2023-03-25T17:36:15.047Z
026,Split #26,00:00:03.579,00:01:30.315,2023-03-25T17:36:18.626Z
027,Split #27,00:00:03.172,00:01:33.487,2023-03-25T17:36:21.798Z
028,Split #28,00:00:03.127,00:01:36.614,2023-03-25T17:36:24.925Z
029,Split #29,00:00:03.139,00:01:39.753,2023-03-25T17:36:28.064Z
030,Split #30,00:00:02.812,00:01:42.565,2023-03-25T17:36:30.876Z
031,Split #31,00:00:03.107,00:01:45.672,2023-03-25T17:36:33.983Z
032,Split #32,00:00:03.151,00:01:48.823,2023-03-25T17:36:37.134Z
033,Split #33,00:00:02.900,00:01:51.723,2023-03-25T17:36:40.034Z
034,Split #34,00:00:03.543,00:01:55.266,2023-03-25T17:36:43.577Z
035,Split #35,00:00:03.172,00:01:58.438,2023-03-25T17:36:46.749Z
036,Split #36,00:00:02.959,00:02:01.397,2023-03-25T17:36:49.708Z
037,Split #37,00:00:03.082,00:02:04.479,2023-03-25T17:36:52.790Z
038,Split #38,00:00:02.926,00:02:07.405,2023-03-25T17:36:55.716Z
039,Split #39,00:00:02.676,00:02:10.081,2023-03-25T17:36:58.392Z
040,Split #40,00:00:02.679,00:02:12.760,2023-03-25T17:37:01.071Z
041,Split #41,00:00:02.856,00:02:15.616,2023-03-25T17:37:03.927Z
042,Split #42,00:00:02.859,00:02:18.475,2023-03-25T17:37:06.786Z
043,Split #43,00:00:03.240,00:02:21.715,2023-03-25T17:37:10.026Z
044,Split #44,00:00:02.992,00:02:24.707,2023-03-25T17:37:13.018Z
045,Split #45,00:00:02.812,00:02:27.519,2023-03-25T17:37:15.830Z
046,Split #46,00:00:03.130,00:02:30.649,2023-03-25T17:37:18.960Z
047,Split #47,00:00:02.922,00:02:33.571,2023-03-25T17:37:21.882Z
048,Split #48,00:00:03.106,00:02:36.677,2023-03-25T17:37:24.988Z
049,Split #49,00:00:03.578,00:02:40.255,2023-03-25T17:37:28.566Z
050,Split #50,00:00:03.926,00:02:44.181,2023-03-25T17:37:32.492Z
051,Split #51,00:00:03.872,00:02:48.053,2023-03-25T17:37:36.364Z
052,Split #52,00:00:03.317,00:02:51.370,2023-03-25T17:37:39.681Z
053,Split #53,00:00:02.497,00:02:53.867,2023-03-25T17:37:42.178Z
054,Split #54,00:00:02.475,00:02:56.342,2023-03-25T17:37:44.653Z
055,Split #55,00:00:02.722,00:02:59.064,2023-03-25T17:37:47.375Z
056,Split #56,00:00:02.520,00:03:01.584,2023-03-25T17:37:49.895Z
057,Split #57,00:00:02.451,00:03:04.035,2023-03-25T17:37:52.346Z
058,Split #58,00:00:02.411,00:03:06.446,2023-03-25T17:37:54.757Z
059,Split #59,00:00:02.362,00:03:08.808,2023-03-25T17:37:57.119Z
060,Split #60,00:00:02.530,00:03:11.338,2023-03-25T17:37:59.649Z
061,Split #61,00:00:02.745,00:03:14.083,2023-03-25T17:38:02.394Z
062,Split #62,00:00:02.452,00:03:16.535,2023-03-25T17:38:04.846Z
063,Split #63,00:00:02.543,00:03:19.078,2023-03-25T17:38:07.389Z
064,Split #64,00:00:02.745,00:03:21.823,2023-03-25T17:38:10.134Z
065,Split #65,00:00:02.497,00:03:24.320,2023-03-25T17:38:12.631Z
066,Split #66,00:00:02.385,00:03:26.705,2023-03-25T17:38:15.016Z
067,Split #67,00:00:02.430,00:03:29.135,2023-03-25T17:38:17.446Z
068,Split #68,00:00:02.814,00:03:31.949,2023-03-25T17:38:20.260Z
069,Split #69,00:00:02.666,00:03:34.615,2023-03-25T17:38:22.926Z
070,Split #70,00:00:02.406,00:03:37.021,2023-03-25T17:38:25.332Z
071,Split #71,00:00:02.317,00:03:39.338,2023-03-25T17:38:27.649Z
072,Split #72,00:00:02.400,00:03:41.738,2023-03-25T17:38:30.049Z
073,Split #73,00:00:02.719,00:03:44.457,2023-03-25T17:38:32.768Z
074,Split #74,00:00:02.566,00:03:47.023,2023-03-25T17:38:35.334Z
075,Split #75,00:00:02.407,00:03:49.430,2023-03-25T17:38:37.741Z
076,Split #76,00:00:02.352,00:03:51.782,2023-03-25T17:38:40.093Z
077,Split #77,00:00:02.272,00:03:54.054,2023-03-25T17:38:42.365Z
078,Split #78,00:00:03.040,00:03:57.094,2023-03-25T17:38:45.405Z
079,Split #79,00:00:02.967,00:04:00.061,2023-03-25T17:38:48.372Z
080,Split #80,00:00:03.173,00:04:03.234,2023-03-25T17:38:51.545Z
081,Split #81,00:00:03.556,00:04:06.790,2023-03-25T17:38:55.101Z
082,Split #82,00:00:04.297,00:04:11.087,2023-03-25T17:38:59.398Z
083,Split #83,00:00:03.578,00:04:14.665,2023-03-25T17:39:02.976Z
084,Split #84,00:00:03.801,00:04:18.466,2023-03-25T17:39:06.777Z
085,Split #85,00:00:03.850,00:04:22.316,2023-03-25T17:39:10.627Z
086,Split #86,00:00:02.834,00:04:25.150,2023-03-25T17:39:13.461Z
087,Split #87,00:00:00.901,00:04:26.051,2023-03-25T17:39:14.362Z
088,Split #88,00:00:03.237,00:04:29.288,2023-03-25T17:39:17.599Z
089,Split #89,00:00:03.063,00:04:32.351,2023-03-25T17:39:20.662Z
090,Split #90,00:00:03.598,00:04:35.949,2023-03-25T17:39:24.260Z
091,Split #91,00:00:03.106,00:04:39.055,2023-03-25T17:39:27.366Z
092,Split #92,00:00:03.868,00:04:42.923,2023-03-25T17:39:31.234Z
093,Split #93,00:00:03.218,00:04:46.141,2023-03-25T17:39:34.452Z
094,Split #94,00:00:03.084,00:04:49.225,2023-03-25T17:39:37.536Z
095,Split #95,00:00:03.035,00:04:52.260,2023-03-25T17:39:40.571Z
096,Split #96,00:00:03.017,00:04:55.277,2023-03-25T17:39:43.588Z
097,Split #97,00:00:02.991,00:04:58.268,2023-03-25T17:39:46.579Z
098,Split #98,00:00:02.970,00:05:01.238,2023-03-25T17:39:49.549Z
099,Split #99,00:00:03.059,00:05:04.297,2023-03-25T17:39:52.608Z
100,Split #100,00:00:02.995,00:05:07.292,2023-03-25T17:39:55.603Z
101,Split #101,00:00:02.970,00:05:10.262,2023-03-25T17:39:58.573Z
102,Split #102,00:00:02.788,00:05:13.050,2023-03-25T17:40:01.361Z
103,Split #103,00:00:02.949,00:05:15.999,2023-03-25T17:40:04.310Z
104,Split #104,00:00:02.813,00:05:18.812,2023-03-25T17:40:07.123Z
105,Split #105,00:00:02.879,00:05:21.691,2023-03-25T17:40:10.002Z
106,Split #106,00:00:02.811,00:05:24.502,2023-03-25T17:40:12.813Z
107,Split #107,00:00:03.198,00:05:27.700,2023-03-25T17:40:16.011Z
108,Split #108,00:00:03.553,00:05:31.253,2023-03-25T17:40:19.564Z
109,Split #109,00:00:02.902,00:05:34.155,2023-03-25T17:40:22.466Z
110,Split #110,00:00:03.217,00:05:37.372,2023-03-25T17:40:25.683Z
111,Split #111,00:00:03.803,00:05:41.175,2023-03-25T17:40:29.486Z
112,Split #112,00:00:02.928,00:05:44.103,2023-03-25T17:40:32.414Z
113,Split #113,00:00:02.787,00:05:46.890,2023-03-25T17:40:35.201Z
114,Split #114,00:00:02.858,00:05:49.748,2023-03-25T17:40:38.059Z
115,Split #115,00:00:03.759,00:05:53.507,2023-03-25T17:40:41.818Z
116,Split #116,00:00:02.935,00:05:56.442,2023-03-25T17:40:44.753Z
117,Split #117,00:00:03.015,00:05:59.457,2023-03-25T17:40:47.768Z
118,Split #118,00:00:02.970,00:06:02.427,2023-03-25T17:40:50.738Z
119,Split #119,00:00:03.936,00:06:06.363,2023-03-25T17:40:54.674Z
120,Split #120,00:00:03.196,00:06:09.559,2023-03-25T17:40:57.870Z
121,Split #121,00:00:04.365,00:06:13.924,2023-03-25T17:41:02.235Z
122,Split #122,00:00:01.147,00:06:15.071,2023-03-25T17:41:03.382Z
123,Split #123,00:00:01.283,00:06:16.354,2023-03-25T17:41:04.665Z
124,Split #124,00:00:04.996,00:06:21.350,2023-03-25T17:41:09.661Z
125,Split #125,00:00:03.916,00:06:25.266,2023-03-25T17:41:13.577Z
126,Split #126,00:00:03.687,00:06:28.953,2023-03-25T17:41:17.264Z
127,Split #127,00:00:03.467,00:06:32.420,2023-03-25T17:41:20.731Z
128,Split #128,00:00:02.338,00:06:34.758,2023-03-25T17:41:23.069Z
129,Split #129,00:00:03.129,00:06:37.887,2023-03-25T17:41:26.198Z
130,Split #130,00:00:03.103,00:06:40.990,2023-03-25T17:41:29.301Z
131,Split #131,00:00:03.218,00:06:44.208,2023-03-25T17:41:32.519Z
132,Split #132,00:00:03.421,00:06:47.629,2023-03-25T17:41:35.940Z
133,Split #133,00:00:03.825,00:06:51.454,2023-03-25T17:41:39.765Z
134,Split #134,00:00:03.442,00:06:54.896,2023-03-25T17:41:43.207Z
135,Split #135,00:00:03.758,00:06:58.654,2023-03-25T17:41:46.965Z
136,Split #136,00:00:05.424,00:07:04.078,2023-03-25T17:41:52.389Z
137,Split #137,00:00:06.342,00:07:10.420,2023-03-25T17:41:58.731Z
138,Split #138,00:00:03.445,00:07:13.865,2023-03-25T17:42:02.176Z
139,Split #139,00:00:03.238,00:07:17.103,2023-03-25T17:42:05.414Z
140,Split #140,00:00:03.128,00:07:20.231,2023-03-25T17:42:08.542Z
141,Split #141,00:00:03.757,00:07:23.988,2023-03-25T17:42:12.299Z
142,Split #142,00:00:03.217,00:07:27.205,2023-03-25T17:42:15.516Z
143,Split #143,00:00:03.173,00:07:30.378,2023-03-25T17:42:18.689Z
144,Split #144,00:00:04.162,00:07:34.540,2023-03-25T17:42:22.851Z
145,Split #145,00:00:03.251,00:07:37.791,2023-03-25T17:42:26.102Z
146,Split #146,00:00:03.083,00:07:40.874,2023-03-25T17:42:29.185Z
147,Split #147,00:00:03.241,00:07:44.115,2023-03-25T17:42:32.426Z
148,Split #148,00:00:03.059,00:07:47.174,2023-03-25T17:42:35.485Z
149,Split #149,00:00:02.835,00:07:50.009,2023-03-25T17:42:38.320Z
150,Split #150,00:00:02.748,00:07:52.757,2023-03-25T17:42:41.068Z
151,Split #151,00:00:03.124,00:07:55.881,2023-03-25T17:42:44.192Z
152,Split #152,00:00:03.083,00:07:58.964,2023-03-25T17:42:47.275Z
153,Split #153,00:00:03.105,00:08:02.069,2023-03-25T17:42:50.380Z
154,Split #154,00:00:02.960,00:08:05.029,2023-03-25T17:42:53.340Z
155,Split #155,00:00:03.035,00:08:08.064,2023-03-25T17:42:56.375Z
156,Split #156,00:00:03.467,00:08:11.531,2023-03-25T17:42:59.842Z
157,Split #157,00:00:02.610,00:08:14.141,2023-03-25T17:43:02.452Z
158,Split #158,00:00:02.676,00:08:16.817,2023-03-25T17:43:05.128Z
159,Split #159,00:00:02.768,00:08:19.585,2023-03-25T17:43:07.896Z
160,Split #160,00:00:02.767,00:08:22.352,2023-03-25T17:43:10.663Z
161,Split #161,00:00:02.589,00:08:24.941,2023-03-25T17:43:13.252Z
162,Split #162,00:00:02.789,00:08:27.730,2023-03-25T17:43:16.041Z
163,Split #163,00:00:02.656,00:08:30.386,2023-03-25T17:43:18.697Z
164,Split #164,00:00:02.858,00:08:33.244,2023-03-25T17:43:21.555Z
165,Split #165,00:00:02.834,00:08:36.078,2023-03-25T17:43:24.389Z
166,Split #166,00:00:02.814,00:08:38.892,2023-03-25T17:43:27.203Z
167,Split #167,00:00:02.598,00:08:41.490,2023-03-25T17:43:29.801Z
168,Split #168,00:00:02.725,00:08:44.215,2023-03-25T17:43:32.526Z
169,Split #169,00:00:02.719,00:08:46.934,2023-03-25T17:43:35.245Z
170,Split #170,00:00:02.723,00:08:49.657,2023-03-25T17:43:37.968Z
171,Split #171,00:00:02.725,00:08:52.382,2023-03-25T17:43:40.693Z
172,Split #172,00:00:02.768,00:08:55.150,2023-03-25T17:43:43.461Z
173,Split #173,00:00:02.982,00:08:58.132,2023-03-25T17:43:46.443Z
174,Split #174,00:00:02.764,00:09:00.896,2023-03-25T17:43:49.207Z
175,Split #175,00:00:02.891,00:09:03.787,2023-03-25T17:43:52.098Z
176,Split #176,00:00:02.859,00:09:06.646,2023-03-25T17:43:54.957Z
177,Split #177,00:00:03.667,00:09:10.313,2023-03-25T17:43:58.624Z
178,Split #178,00:00:02.946,00:09:13.259,2023-03-25T17:44:01.570Z
179,Split #179,00:00:03.130,00:09:16.389,2023-03-25T17:44:04.700Z
180,Split #180,00:00:03.509,00:09:19.898,2023-03-25T17:44:08.209Z
181,Split #181,00:00:03.612,00:09:23.510,2023-03-25T17:44:11.821Z
182,Split #182,00:00:03.485,00:09:26.995,2023-03-25T17:44:15.306Z
183,Split #183,00:00:02.748,00:09:29.743,2023-03-25T17:44:18.054Z
184,Split #184,00:00:02.047,00:09:31.790,2023-03-25T17:44:20.101Z
185,Split #185,00:00:03.038,00:09:34.828,2023-03-25T17:44:23.139Z
