#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-19T23:57:14.307Z
001,Split #1,00:00:05.582,00:00:05.582,2023-03-19T23:57:19.889Z
002,Split #2,00:00:05.386,00:00:10.968,2023-03-19T23:57:25.275Z
003,Split #3,00:00:05.109,00:00:16.077,2023-03-19T23:57:30.384Z
004,Split #4,00:00:04.093,00:00:20.170,2023-03-19T23:57:34.477Z
005,Split #5,00:00:04.118,00:00:24.288,2023-03-19T23:57:38.595Z
006,Split #6,00:00:04.151,00:00:28.439,2023-03-19T23:57:42.746Z
007,Split #7,00:00:04.276,00:00:32.715,2023-03-19T23:57:47.022Z
008,Split #8,00:00:03.882,00:00:36.597,2023-03-19T23:57:50.904Z
009,Split #9,00:00:04.412,00:00:41.009,2023-03-19T23:57:55.316Z
010,Split #10,00:00:04.452,00:00:45.461,2023-03-19T23:57:59.768Z
011,Split #11,00:00:04.050,00:00:49.511,2023-03-19T23:58:03.818Z
012,Split #12,00:00:03.904,00:00:53.415,2023-03-19T23:58:07.722Z
013,Split #13,00:00:04.232,00:00:57.647,2023-03-19T23:58:11.954Z
014,Split #14,00:00:04.544,00:01:02.191,2023-03-19T23:58:16.498Z
015,Split #15,00:00:04.185,00:01:06.376,2023-03-19T23:58:20.683Z
016,Split #16,00:00:04.128,00:01:10.504,2023-03-19T23:58:24.811Z
017,Split #17,00:00:04.399,00:01:14.903,2023-03-19T23:58:29.210Z
018,Split #18,00:00:04.387,00:01:19.290,2023-03-19T23:58:33.597Z
019,Split #19,00:00:03.781,00:01:23.071,2023-03-19T23:58:37.378Z
020,Split #20,00:00:03.577,00:01:26.648,2023-03-19T23:58:40.955Z
021,Split #21,00:00:03.814,00:01:30.462,2023-03-19T23:58:44.769Z
022,Split #22,00:00:04.151,00:01:34.613,2023-03-19T23:58:48.920Z
023,Split #23,00:00:03.712,00:01:38.325,2023-03-19T23:58:52.632Z
024,Split #24,00:00:03.961,00:01:42.286,2023-03-19T23:58:56.593Z
025,Split #25,00:00:04.748,00:01:47.034,2023-03-19T23:59:01.341Z
026,Split #26,00:00:03.443,00:01:50.477,2023-03-19T23:59:04.784Z
027,Split #27,00:00:02.836,00:01:53.313,2023-03-19T23:59:07.620Z
028,Split #28,00:00:02.742,00:01:56.055,2023-03-19T23:59:10.362Z
029,Split #29,00:00:02.543,00:01:58.598,2023-03-19T23:59:12.905Z
030,Split #30,00:00:02.577,00:02:01.175,2023-03-19T23:59:15.482Z
031,Split #31,00:00:02.643,00:02:03.818,2023-03-19T23:59:18.125Z
032,Split #32,00:00:02.466,00:02:06.284,2023-03-19T23:59:20.591Z
033,Split #33,00:00:02.856,00:02:09.140,2023-03-19T23:59:23.447Z
034,Split #34,00:00:03.578,00:02:12.718,2023-03-19T23:59:27.025Z
035,Split #35,00:00:03.185,00:02:15.903,2023-03-19T23:59:30.210Z
036,Split #36,00:00:02.856,00:02:18.759,2023-03-19T23:59:33.066Z
037,Split #37,00:00:03.197,00:02:21.956,2023-03-19T23:59:36.263Z
038,Split #38,00:00:03.418,00:02:25.374,2023-03-19T23:59:39.681Z
039,Split #39,00:00:02.519,00:02:27.893,2023-03-19T23:59:42.200Z
040,Split #40,00:00:02.454,00:02:30.347,2023-03-19T23:59:44.654Z
041,Split #41,00:00:02.689,00:02:33.036,2023-03-19T23:59:47.343Z
042,Split #42,00:00:02.778,00:02:35.814,2023-03-19T23:59:50.121Z
043,Split #43,00:00:03.297,00:02:39.111,2023-03-19T23:59:53.418Z
044,Split #44,00:00:02.532,00:02:41.643,2023-03-19T23:59:55.950Z
045,Split #45,00:00:02.552,00:02:44.195,2023-03-19T23:59:58.502Z
046,Split #46,00:00:02.634,00:02:46.829,2023-03-20T00:00:01.136Z
047,Split #47,00:00:02.711,00:02:49.540,2023-03-20T00:00:03.847Z
048,Split #48,00:00:02.642,00:02:52.182,2023-03-20T00:00:06.489Z
049,Split #49,00:00:02.983,00:02:55.165,2023-03-20T00:00:09.472Z
050,Split #50,00:00:03.465,00:02:58.630,2023-03-20T00:00:12.937Z
051,Split #51,00:00:02.666,00:03:01.296,2023-03-20T00:00:15.603Z
052,Split #52,00:00:02.589,00:03:03.885,2023-03-20T00:00:18.192Z
053,Split #53,00:00:02.767,00:03:06.652,2023-03-20T00:00:20.959Z
054,Split #54,00:00:02.653,00:03:09.305,2023-03-20T00:00:23.612Z
055,Split #55,00:00:02.859,00:03:12.164,2023-03-20T00:00:26.471Z
056,Split #56,00:00:02.835,00:03:14.999,2023-03-20T00:00:29.306Z
057,Split #57,00:00:03.059,00:03:18.058,2023-03-20T00:00:32.365Z
058,Split #58,00:00:02.565,00:03:20.623,2023-03-20T00:00:34.930Z
059,Split #59,00:00:02.544,00:03:23.167,2023-03-20T00:00:37.474Z
060,Split #60,00:00:02.497,00:03:25.664,2023-03-20T00:00:39.971Z
061,Split #61,00:00:02.452,00:03:28.116,2023-03-20T00:00:42.423Z
062,Split #62,00:00:02.476,00:03:30.592,2023-03-20T00:00:44.899Z
063,Split #63,00:00:02.385,00:03:32.977,2023-03-20T00:00:47.284Z
064,Split #64,00:00:02.519,00:03:35.496,2023-03-20T00:00:49.803Z
065,Split #65,00:00:02.610,00:03:38.106,2023-03-20T00:00:52.413Z
066,Split #66,00:00:02.656,00:03:40.762,2023-03-20T00:00:55.069Z
067,Split #67,00:00:02.777,00:03:43.539,2023-03-20T00:00:57.846Z
068,Split #68,00:00:02.678,00:03:46.217,2023-03-20T00:01:00.524Z
069,Split #69,00:00:02.869,00:03:49.086,2023-03-20T00:01:03.393Z
070,Split #70,00:00:02.992,00:03:52.078,2023-03-20T00:01:06.385Z
071,Split #71,00:00:02.814,00:03:54.892,2023-03-20T00:01:09.199Z
072,Split #72,00:00:02.722,00:03:57.614,2023-03-20T00:01:11.921Z
073,Split #73,00:00:03.239,00:04:00.853,2023-03-20T00:01:15.160Z
074,Split #74,00:00:03.061,00:04:03.914,2023-03-20T00:01:18.221Z
075,Split #75,00:00:03.341,00:04:07.255,2023-03-20T00:01:21.562Z
076,Split #76,00:00:02.970,00:04:10.225,2023-03-20T00:01:24.532Z
077,Split #77,00:00:03.104,00:04:13.329,2023-03-20T00:01:27.636Z
078,Split #78,00:00:04.008,00:04:17.337,2023-03-20T00:01:31.644Z
079,Split #79,00:00:03.734,00:04:21.071,2023-03-20T00:01:35.378Z
080,Split #80,00:00:03.521,00:04:24.592,2023-03-20T00:01:38.899Z
081,Split #81,00:00:03.903,00:04:28.495,2023-03-20T00:01:42.802Z
082,Split #82,00:00:03.850,00:04:32.345,2023-03-20T00:01:46.652Z
083,Split #83,00:00:03.261,00:04:35.606,2023-03-20T00:01:49.913Z
084,Split #84,00:00:03.105,00:04:38.711,2023-03-20T00:01:53.018Z
085,Split #85,00:00:03.670,00:04:42.381,2023-03-20T00:01:56.688Z
086,Split #86,00:00:04.117,00:04:46.498,2023-03-20T00:02:00.805Z
087,Split #87,00:00:03.407,00:04:49.905,2023-03-20T00:02:04.212Z
088,Split #88,00:00:04.331,00:04:54.236,2023-03-20T00:02:08.543Z
089,Split #89,00:00:04.095,00:04:58.331,2023-03-20T00:02:12.638Z
090,Split #90,00:00:04.815,00:05:03.146,2023-03-20T00:02:17.453Z
091,Split #91,00:00:03.060,00:05:06.206,2023-03-20T00:02:20.513Z
092,Split #92,00:00:03.012,00:05:09.218,2023-03-20T00:02:23.525Z
093,Split #93,00:00:01.646,00:05:10.864,2023-03-20T00:02:25.171Z
094,Split #94,00:00:03.093,00:05:13.957,2023-03-20T00:02:28.264Z
095,Split #95,00:00:01.035,00:05:14.992,2023-03-20T00:02:29.299Z
096,Split #96,00:00:02.493,00:05:17.485,2023-03-20T00:02:31.792Z
097,Split #97,00:00:02.606,00:05:20.091,2023-03-20T00:02:34.398Z
098,Split #98,00:00:02.744,00:05:22.835,2023-03-20T00:02:37.142Z
099,Split #99,00:00:02.753,00:05:25.588,2023-03-20T00:02:39.895Z
100,Split #100,00:00:02.677,00:05:28.265,2023-03-20T00:02:42.572Z
101,Split #101,00:00:02.733,00:05:30.998,2023-03-20T00:02:45.305Z
102,Split #102,00:00:02.878,00:05:33.876,2023-03-20T00:02:48.183Z
103,Split #103,00:00:02.824,00:05:36.700,2023-03-20T00:02:51.007Z
104,Split #104,00:00:02.868,00:05:39.568,2023-03-20T00:02:53.875Z
105,Split #105,00:00:02.811,00:05:42.379,2023-03-20T00:02:56.686Z
106,Split #106,00:00:03.024,00:05:45.403,2023-03-20T00:02:59.710Z
107,Split #107,00:00:03.004,00:05:48.407,2023-03-20T00:03:02.714Z
108,Split #108,00:00:02.655,00:05:51.062,2023-03-20T00:03:05.369Z
109,Split #109,00:00:02.971,00:05:54.033,2023-03-20T00:03:08.340Z
110,Split #110,00:00:03.081,00:05:57.114,2023-03-20T00:03:11.421Z
111,Split #111,00:00:03.082,00:06:00.196,2023-03-20T00:03:14.503Z
112,Split #112,00:00:02.970,00:06:03.166,2023-03-20T00:03:17.473Z
113,Split #113,00:00:02.801,00:06:05.967,2023-03-20T00:03:20.274Z
114,Split #114,00:00:03.219,00:06:09.186,2023-03-20T00:03:23.493Z
115,Split #115,00:00:03.487,00:06:12.673,2023-03-20T00:03:26.980Z
116,Split #116,00:00:02.429,00:06:15.102,2023-03-20T00:03:29.409Z
117,Split #117,00:00:02.655,00:06:17.757,2023-03-20T00:03:32.064Z
118,Split #118,00:00:02.903,00:06:20.660,2023-03-20T00:03:34.967Z
119,Split #119,00:00:03.533,00:06:24.193,2023-03-20T00:03:38.500Z
120,Split #120,00:00:02.754,00:06:26.947,2023-03-20T00:03:41.254Z
121,Split #121,00:00:02.565,00:06:29.512,2023-03-20T00:03:43.819Z
122,Split #122,00:00:03.802,00:06:33.314,2023-03-20T00:03:47.621Z
123,Split #123,00:00:06.661,00:06:39.975,2023-03-20T00:03:54.282Z
124,Split #124,00:00:04.680,00:06:44.655,2023-03-20T00:03:58.962Z
125,Split #125,00:00:04.005,00:06:48.660,2023-03-20T00:04:02.967Z
126,Split #126,00:00:05.671,00:06:54.331,2023-03-20T00:04:08.638Z
127,Split #127,00:00:03.554,00:06:57.885,2023-03-20T00:04:12.192Z
128,Split #128,00:00:03.635,00:07:01.520,2023-03-20T00:04:15.827Z
129,Split #129,00:00:03.125,00:07:04.645,2023-03-20T00:04:18.952Z
130,Split #130,00:00:02.926,00:07:07.571,2023-03-20T00:04:21.878Z
131,Split #131,00:00:03.601,00:07:11.172,2023-03-20T00:04:25.479Z
132,Split #132,00:00:02.990,00:07:14.162,2023-03-20T00:04:28.469Z
133,Split #133,00:00:03.151,00:07:17.313,2023-03-20T00:04:31.620Z
134,Split #134,00:00:04.893,00:07:22.206,2023-03-20T00:04:36.513Z
135,Split #135,00:00:07.189,00:07:29.395,2023-03-20T00:04:43.702Z
136,Split #136,00:00:03.892,00:07:33.287,2023-03-20T00:04:47.594Z
137,Split #137,00:00:03.344,00:07:36.631,2023-03-20T00:04:50.938Z
138,Split #138,00:00:03.397,00:07:40.028,2023-03-20T00:04:54.335Z
139,Split #139,00:00:04.116,00:07:44.144,2023-03-20T00:04:58.451Z
140,Split #140,00:00:02.744,00:07:46.888,2023-03-20T00:05:01.195Z
141,Split #141,00:00:02.802,00:07:49.690,2023-03-20T00:05:03.997Z
142,Split #142,00:00:02.913,00:07:52.603,2023-03-20T00:05:06.910Z
143,Split #143,00:00:02.588,00:07:55.191,2023-03-20T00:05:09.498Z
144,Split #144,00:00:02.656,00:07:57.847,2023-03-20T00:05:12.154Z
145,Split #145,00:00:02.622,00:08:00.469,2023-03-20T00:05:14.776Z
146,Split #146,00:00:02.609,00:08:03.078,2023-03-20T00:05:17.385Z
147,Split #147,00:00:02.543,00:08:05.621,2023-03-20T00:05:19.928Z
148,Split #148,00:00:01.641,00:08:07.262,2023-03-20T00:05:21.569Z
149,Split #149,00:00:00.890,00:08:08.152,2023-03-20T00:05:22.459Z
150,Split #150,00:00:02.552,00:08:10.704,2023-03-20T00:05:25.011Z
151,Split #151,00:00:02.926,00:08:13.630,2023-03-20T00:05:27.937Z
152,Split #152,00:00:02.384,00:08:16.014,2023-03-20T00:05:30.321Z
153,Split #153,00:00:03.061,00:08:19.075,2023-03-20T00:05:33.382Z
154,Split #154,00:00:02.610,00:08:21.685,2023-03-20T00:05:35.992Z
155,Split #155,00:00:02.858,00:08:24.543,2023-03-20T00:05:38.850Z
156,Split #156,00:00:02.585,00:08:27.128,2023-03-20T00:05:41.435Z
157,Split #157,00:00:02.950,00:08:30.078,2023-03-20T00:05:44.385Z
158,Split #158,00:00:02.788,00:08:32.866,2023-03-20T00:05:47.173Z
159,Split #159,00:00:02.722,00:08:35.588,2023-03-20T00:05:49.895Z
160,Split #160,00:00:02.769,00:08:38.357,2023-03-20T00:05:52.664Z
161,Split #161,00:00:02.407,00:08:40.764,2023-03-20T00:05:55.071Z
162,Split #162,00:00:02.305,00:08:43.069,2023-03-20T00:05:57.376Z
163,Split #163,00:00:02.769,00:08:45.838,2023-03-20T00:06:00.145Z
164,Split #164,00:00:03.397,00:08:49.235,2023-03-20T00:06:03.542Z
165,Split #165,00:00:02.577,00:08:51.812,2023-03-20T00:06:06.119Z
166,Split #166,00:00:02.743,00:08:54.555,2023-03-20T00:06:08.862Z
167,Split #167,00:00:03.490,00:08:58.045,2023-03-20T00:06:12.352Z
168,Split #168,00:00:03.958,00:09:02.003,2023-03-20T00:06:16.310Z
169,Split #169,00:00:02.611,00:09:04.614,2023-03-20T00:06:18.921Z
170,Split #170,00:00:02.441,00:09:07.055,2023-03-20T00:06:21.362Z
171,Split #171,00:00:03.060,00:09:10.115,2023-03-20T00:06:24.422Z
172,Split #172,00:00:04.118,00:09:14.233,2023-03-20T00:06:28.540Z
173,Split #173,00:00:03.329,00:09:17.562,2023-03-20T00:06:31.869Z
174,Split #174,00:00:03.285,00:09:20.847,2023-03-20T00:06:35.154Z
175,Split #175,00:00:03.330,00:09:24.177,2023-03-20T00:06:38.484Z
176,Split #176,00:00:03.601,00:09:27.778,2023-03-20T00:06:42.085Z
177,Split #177,00:00:03.104,00:09:30.882,2023-03-20T00:06:45.189Z
178,Split #178,00:00:03.735,00:09:34.617,2023-03-20T00:06:48.924Z
179,Split #179,00:00:04.219,00:09:38.836,2023-03-20T00:06:53.143Z
180,Split #180,00:00:03.795,00:09:42.631,2023-03-20T00:06:56.938Z
181,Split #181,00:00:02.629,00:09:45.260,2023-03-20T00:06:59.567Z
182,Split #182,00:00:02.341,00:09:47.601,2023-03-20T00:07:01.908Z
183,Split #183,00:00:01.753,00:09:49.354,2023-03-20T00:07:03.661Z
184,Split #184,00:00:02.273,00:09:51.627,2023-03-20T00:07:05.934Z
