#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-25T17:07:50.217Z
001,Split #1,00:00:07.554,00:00:07.554,2023-03-25T17:07:57.771Z
002,Split #2,00:00:01.462,00:00:09.016,2023-03-25T17:07:59.233Z
003,Split #3,00:00:02.724,00:00:11.740,2023-03-25T17:08:01.957Z
004,Split #4,00:00:02.901,00:00:14.641,2023-03-25T17:08:04.858Z
005,Split #5,00:00:02.454,00:00:17.095,2023-03-25T17:08:07.312Z
006,Split #6,00:00:02.834,00:00:19.929,2023-03-25T17:08:10.146Z
007,Split #7,00:00:02.791,00:00:22.720,2023-03-25T17:08:12.937Z
008,Split #8,00:00:02.846,00:00:25.566,2023-03-25T17:08:15.783Z
009,Split #9,00:00:02.992,00:00:28.558,2023-03-25T17:08:18.775Z
010,Split #10,00:00:02.925,00:00:31.483,2023-03-25T17:08:21.700Z
011,Split #11,00:00:02.959,00:00:34.442,2023-03-25T17:08:24.659Z
012,Split #12,00:00:02.948,00:00:37.390,2023-03-25T17:08:27.607Z
013,Split #13,00:00:02.635,00:00:40.025,2023-03-25T17:08:30.242Z
014,Split #14,00:00:00.401,00:00:40.426,2023-03-25T17:08:30.643Z
015,Split #15,00:00:03.016,00:00:43.442,2023-03-25T17:08:33.659Z
016,Split #16,00:00:03.061,00:00:46.503,2023-03-25T17:08:36.720Z
017,Split #17,00:00:03.058,00:00:49.561,2023-03-25T17:08:39.778Z
018,Split #18,00:00:03.410,00:00:52.971,2023-03-25T17:08:43.188Z
019,Split #19,00:00:03.040,00:00:56.011,2023-03-25T17:08:46.228Z
020,Split #20,00:00:02.743,00:00:58.754,2023-03-25T17:08:48.971Z
021,Split #21,00:00:02.767,00:01:01.521,2023-03-25T17:08:51.738Z
022,Split #22,00:00:02.757,00:01:04.278,2023-03-25T17:08:54.495Z
023,Split #23,00:00:02.632,00:01:06.910,2023-03-25T17:08:57.127Z
024,Split #24,00:00:02.745,00:01:09.655,2023-03-25T17:08:59.872Z
025,Split #25,00:00:02.812,00:01:12.467,2023-03-25T17:09:02.684Z
026,Split #26,00:00:03.308,00:01:15.775,2023-03-25T17:09:05.992Z
027,Split #27,00:00:03.329,00:01:19.104,2023-03-25T17:09:09.321Z
028,Split #28,00:00:02.679,00:01:21.783,2023-03-25T17:09:12.000Z
029,Split #29,00:00:02.564,00:01:24.347,2023-03-25T17:09:14.564Z
030,Split #30,00:00:02.678,00:01:27.025,2023-03-25T17:09:17.242Z
031,Split #31,00:00:02.385,00:01:29.410,2023-03-25T17:09:19.627Z
032,Split #32,00:00:02.318,00:01:31.728,2023-03-25T17:09:21.945Z
033,Split #33,00:00:02.429,00:01:34.157,2023-03-25T17:09:24.374Z
034,Split #34,00:00:02.433,00:01:36.590,2023-03-25T17:09:26.807Z
035,Split #35,00:00:02.878,00:01:39.468,2023-03-25T17:09:29.685Z
036,Split #36,00:00:02.587,00:01:42.055,2023-03-25T17:09:32.272Z
037,Split #37,00:00:02.542,00:01:44.597,2023-03-25T17:09:34.814Z
038,Split #38,00:00:02.464,00:01:47.061,2023-03-25T17:09:37.278Z
039,Split #39,00:00:02.364,00:01:49.425,2023-03-25T17:09:39.642Z
040,Split #40,00:00:02.317,00:01:51.742,2023-03-25T17:09:41.959Z
041,Split #41,00:00:02.227,00:01:53.969,2023-03-25T17:09:44.186Z
042,Split #42,00:00:02.342,00:01:56.311,2023-03-25T17:09:46.528Z
043,Split #43,00:00:02.293,00:01:58.604,2023-03-25T17:09:48.821Z
044,Split #44,00:00:02.520,00:02:01.124,2023-03-25T17:09:51.341Z
045,Split #45,00:00:02.341,00:02:03.465,2023-03-25T17:09:53.682Z
046,Split #46,00:00:02.294,00:02:05.759,2023-03-25T17:09:55.976Z
047,Split #47,00:00:02.498,00:02:08.257,2023-03-25T17:09:58.474Z
048,Split #48,00:00:02.317,00:02:10.574,2023-03-25T17:10:00.791Z
049,Split #49,00:00:02.340,00:02:12.914,2023-03-25T17:10:03.131Z
050,Split #50,00:00:02.430,00:02:15.344,2023-03-25T17:10:05.561Z
051,Split #51,00:00:02.655,00:02:17.999,2023-03-25T17:10:08.216Z
052,Split #52,00:00:02.430,00:02:20.429,2023-03-25T17:10:10.646Z
053,Split #53,00:00:02.385,00:02:22.814,2023-03-25T17:10:13.031Z
054,Split #54,00:00:02.250,00:02:25.064,2023-03-25T17:10:15.281Z
055,Split #55,00:00:02.250,00:02:27.314,2023-03-25T17:10:17.531Z
056,Split #56,00:00:02.375,00:02:29.689,2023-03-25T17:10:19.906Z
057,Split #57,00:00:02.339,00:02:32.028,2023-03-25T17:10:22.245Z
058,Split #58,00:00:02.216,00:02:34.244,2023-03-25T17:10:24.461Z
059,Split #59,00:00:02.565,00:02:36.809,2023-03-25T17:10:27.026Z
060,Split #60,00:00:02.519,00:02:39.328,2023-03-25T17:10:29.545Z
061,Split #61,00:00:02.453,00:02:41.781,2023-03-25T17:10:31.998Z
062,Split #62,00:00:02.498,00:02:44.279,2023-03-25T17:10:34.496Z
063,Split #63,00:00:02.297,00:02:46.576,2023-03-25T17:10:36.793Z
064,Split #64,00:00:02.316,00:02:48.892,2023-03-25T17:10:39.109Z
065,Split #65,00:00:02.319,00:02:51.211,2023-03-25T17:10:41.428Z
066,Split #66,00:00:02.361,00:02:53.572,2023-03-25T17:10:43.789Z
067,Split #67,00:00:02.408,00:02:55.980,2023-03-25T17:10:46.197Z
068,Split #68,00:00:02.339,00:02:58.319,2023-03-25T17:10:48.536Z
069,Split #69,00:00:02.340,00:03:00.659,2023-03-25T17:10:50.876Z
070,Split #70,00:00:02.329,00:03:02.988,2023-03-25T17:10:53.205Z
071,Split #71,00:00:02.228,00:03:05.216,2023-03-25T17:10:55.433Z
072,Split #72,00:00:02.407,00:03:07.623,2023-03-25T17:10:57.840Z
073,Split #73,00:00:02.205,00:03:09.828,2023-03-25T17:11:00.045Z
074,Split #74,00:00:02.342,00:03:12.170,2023-03-25T17:11:02.387Z
075,Split #75,00:00:02.250,00:03:14.420,2023-03-25T17:11:04.637Z
076,Split #76,00:00:02.405,00:03:16.825,2023-03-25T17:11:07.042Z
077,Split #77,00:00:02.329,00:03:19.154,2023-03-25T17:11:09.371Z
078,Split #78,00:00:02.587,00:03:21.741,2023-03-25T17:11:11.958Z
079,Split #79,00:00:02.847,00:03:24.588,2023-03-25T17:11:14.805Z
080,Split #80,00:00:02.610,00:03:27.198,2023-03-25T17:11:17.415Z
081,Split #81,00:00:02.409,00:03:29.607,2023-03-25T17:11:19.824Z
082,Split #82,00:00:02.599,00:03:32.206,2023-03-25T17:11:22.423Z
083,Split #83,00:00:03.170,00:03:35.376,2023-03-25T17:11:25.593Z
084,Split #84,00:00:02.679,00:03:38.055,2023-03-25T17:11:28.272Z
085,Split #85,00:00:02.677,00:03:40.732,2023-03-25T17:11:30.949Z
086,Split #86,00:00:02.542,00:03:43.274,2023-03-25T17:11:33.491Z
087,Split #87,00:00:02.386,00:03:45.660,2023-03-25T17:11:35.877Z
088,Split #88,00:00:02.339,00:03:47.999,2023-03-25T17:11:38.216Z
089,Split #89,00:00:02.408,00:03:50.407,2023-03-25T17:11:40.624Z
090,Split #90,00:00:02.474,00:03:52.881,2023-03-25T17:11:43.098Z
091,Split #91,00:00:02.432,00:03:55.313,2023-03-25T17:11:45.530Z
092,Split #92,00:00:02.701,00:03:58.014,2023-03-25T17:11:48.231Z
093,Split #93,00:00:02.700,00:04:00.714,2023-03-25T17:11:50.931Z
094,Split #94,00:00:02.720,00:04:03.434,2023-03-25T17:11:53.651Z
095,Split #95,00:00:02.722,00:04:06.156,2023-03-25T17:11:56.373Z
096,Split #96,00:00:02.701,00:04:08.857,2023-03-25T17:11:59.074Z
097,Split #97,00:00:02.657,00:04:11.514,2023-03-25T17:12:01.731Z
098,Split #98,00:00:02.585,00:04:14.099,2023-03-25T17:12:04.316Z
099,Split #99,00:00:02.655,00:04:16.754,2023-03-25T17:12:06.971Z
100,Split #100,00:00:02.610,00:04:19.364,2023-03-25T17:12:09.581Z
101,Split #101,00:00:02.633,00:04:21.997,2023-03-25T17:12:12.214Z
102,Split #102,00:00:02.565,00:04:24.562,2023-03-25T17:12:14.779Z
103,Split #103,00:00:02.767,00:04:27.329,2023-03-25T17:12:17.546Z
104,Split #104,00:00:02.790,00:04:30.119,2023-03-25T17:12:20.336Z
105,Split #105,00:00:02.677,00:04:32.796,2023-03-25T17:12:23.013Z
106,Split #106,00:00:02.700,00:04:35.496,2023-03-25T17:12:25.713Z
