#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-20T08:38:23.094Z
001,Split #1,00:00:03.372,00:00:03.372,2023-03-20T08:38:26.466Z
002,Split #2,00:00:02.152,00:00:05.524,2023-03-20T08:38:28.618Z
003,Split #3,00:00:03.580,00:00:09.104,2023-03-20T08:38:32.198Z
004,Split #4,00:00:03.474,00:00:12.578,2023-03-20T08:38:35.672Z
005,Split #5,00:00:03.420,00:00:15.998,2023-03-20T08:38:39.092Z
006,Split #6,00:00:03.329,00:00:19.327,2023-03-20T08:38:42.421Z
007,Split #7,00:00:03.521,00:00:22.848,2023-03-20T08:38:45.942Z
008,Split #8,00:00:03.063,00:00:25.911,2023-03-20T08:38:49.005Z
009,Split #9,00:00:03.958,00:00:29.869,2023-03-20T08:38:52.963Z
010,Split #10,00:00:03.555,00:00:33.424,2023-03-20T08:38:56.518Z
011,Split #11,00:00:03.488,00:00:36.912,2023-03-20T08:39:00.006Z
012,Split #12,00:00:03.418,00:00:40.330,2023-03-20T08:39:03.424Z
013,Split #13,00:00:03.128,00:00:43.458,2023-03-20T08:39:06.552Z
014,Split #14,00:00:03.746,00:00:47.204,2023-03-20T08:39:10.298Z
015,Split #15,00:00:03.444,00:00:50.648,2023-03-20T08:39:13.742Z
016,Split #16,00:00:03.218,00:00:53.866,2023-03-20T08:39:16.960Z
017,Split #17,00:00:03.755,00:00:57.621,2023-03-20T08:39:20.715Z
018,Split #18,00:00:03.624,00:01:01.245,2023-03-20T08:39:24.339Z
019,Split #19,00:00:02.960,00:01:04.205,2023-03-20T08:39:27.299Z
020,Split #20,00:00:02.990,00:01:07.195,2023-03-20T08:39:30.289Z
021,Split #21,00:00:02.988,00:01:10.183,2023-03-20T08:39:33.277Z
022,Split #22,00:00:03.149,00:01:13.332,2023-03-20T08:39:36.426Z
023,Split #23,00:00:03.084,00:01:16.416,2023-03-20T08:39:39.510Z
024,Split #24,00:00:02.970,00:01:19.386,2023-03-20T08:39:42.480Z
025,Split #25,00:00:03.802,00:01:23.188,2023-03-20T08:39:46.282Z
026,Split #26,00:00:03.465,00:01:26.653,2023-03-20T08:39:49.747Z
027,Split #27,00:00:02.812,00:01:29.465,2023-03-20T08:39:52.559Z
028,Split #28,00:00:02.848,00:01:32.313,2023-03-20T08:39:55.407Z
029,Split #29,00:00:03.159,00:01:35.472,2023-03-20T08:39:58.566Z
030,Split #30,00:00:03.466,00:01:38.938,2023-03-20T08:40:02.032Z
031,Split #31,00:00:03.094,00:01:42.032,2023-03-20T08:40:05.126Z
032,Split #32,00:00:03.138,00:01:45.170,2023-03-20T08:40:08.264Z
033,Split #33,00:00:03.353,00:01:48.523,2023-03-20T08:40:11.617Z
034,Split #34,00:00:03.217,00:01:51.740,2023-03-20T08:40:14.834Z
