#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-03T18:54:11.216Z
001,Split #1,00:00:04.508,00:00:04.508,2023-04-03T18:54:15.724Z
002,Split #2,00:00:02.267,00:00:06.775,2023-04-03T18:54:17.991Z
003,Split #3,00:00:03.426,00:00:10.201,2023-04-03T18:54:21.417Z
004,Split #4,00:00:03.467,00:00:13.668,2023-04-03T18:54:24.884Z
005,Split #5,00:00:03.688,00:00:17.356,2023-04-03T18:54:28.572Z
006,Split #6,00:00:03.397,00:00:20.753,2023-04-03T18:54:31.969Z
007,Split #7,00:00:03.667,00:00:24.420,2023-04-03T18:54:35.636Z
008,Split #8,00:00:03.420,00:00:27.840,2023-04-03T18:54:39.056Z
009,Split #9,00:00:04.343,00:00:32.183,2023-04-03T18:54:43.399Z
010,Split #10,00:00:03.983,00:00:36.166,2023-04-03T18:54:47.382Z
011,Split #11,00:00:04.072,00:00:40.238,2023-04-03T18:54:51.454Z
012,Split #12,00:00:03.532,00:00:43.770,2023-04-03T18:54:54.986Z
013,Split #13,00:00:04.005,00:00:47.775,2023-04-03T18:54:58.991Z
014,Split #14,00:00:04.253,00:00:52.028,2023-04-03T18:55:03.244Z
015,Split #15,00:00:03.848,00:00:55.876,2023-04-03T18:55:07.092Z
016,Split #16,00:00:03.813,00:00:59.689,2023-04-03T18:55:10.905Z
017,Split #17,00:00:04.928,00:01:04.617,2023-04-03T18:55:15.833Z
018,Split #18,00:00:03.712,00:01:08.329,2023-04-03T18:55:19.545Z
019,Split #19,00:00:03.218,00:01:11.547,2023-04-03T18:55:22.763Z
020,Split #20,00:00:03.600,00:01:15.147,2023-04-03T18:55:26.363Z
021,Split #21,00:00:03.240,00:01:18.387,2023-04-03T18:55:29.603Z
022,Split #22,00:00:03.633,00:01:22.020,2023-04-03T18:55:33.236Z
023,Split #23,00:00:03.330,00:01:25.350,2023-04-03T18:55:36.566Z
024,Split #24,00:00:03.375,00:01:28.725,2023-04-03T18:55:39.941Z
025,Split #25,00:00:04.772,00:01:33.497,2023-04-03T18:55:44.713Z
026,Split #26,00:00:03.802,00:01:37.299,2023-04-03T18:55:48.515Z
027,Split #27,00:00:03.397,00:01:40.696,2023-04-03T18:55:51.912Z
028,Split #28,00:00:03.330,00:01:44.026,2023-04-03T18:55:55.242Z
029,Split #29,00:00:03.351,00:01:47.377,2023-04-03T18:55:58.593Z
