#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-28T15:48:31.916Z
001,Split #1,00:00:03.854,00:00:03.854,2023-03-28T15:48:35.770Z
002,Split #2,00:00:03.186,00:00:07.040,2023-03-28T15:48:38.956Z
003,Split #3,00:00:03.107,00:00:10.147,2023-03-28T15:48:42.063Z
004,Split #4,00:00:02.969,00:00:13.116,2023-03-28T15:48:45.032Z
005,Split #5,00:00:03.319,00:00:16.435,2023-03-28T15:48:48.351Z
006,Split #6,00:00:03.126,00:00:19.561,2023-03-28T15:48:51.477Z
007,Split #7,00:00:03.016,00:00:22.577,2023-03-28T15:48:54.493Z
008,Split #8,00:00:03.129,00:00:25.706,2023-03-28T15:48:57.622Z
009,Split #9,00:00:04.151,00:00:29.857,2023-03-28T15:49:01.773Z
010,Split #10,00:00:03.339,00:00:33.196,2023-03-28T15:49:05.112Z
011,Split #11,00:00:03.232,00:00:36.428,2023-03-28T15:49:08.344Z
012,Split #12,00:00:03.351,00:00:39.779,2023-03-28T15:49:11.695Z
013,Split #13,00:00:03.577,00:00:43.356,2023-03-28T15:49:15.272Z
014,Split #14,00:00:03.127,00:00:46.483,2023-03-28T15:49:18.399Z
015,Split #15,00:00:03.196,00:00:49.679,2023-03-28T15:49:21.595Z
016,Split #16,00:00:03.354,00:00:53.033,2023-03-28T15:49:24.949Z
017,Split #17,00:00:04.136,00:00:57.169,2023-03-28T15:49:29.085Z
018,Split #18,00:00:03.782,00:01:00.951,2023-03-28T15:49:32.867Z
019,Split #19,00:00:03.306,00:01:04.257,2023-03-28T15:49:36.173Z
020,Split #20,00:00:03.151,00:01:07.408,2023-03-28T15:49:39.324Z
021,Split #21,00:00:03.071,00:01:10.479,2023-03-28T15:49:42.395Z
022,Split #22,00:00:03.464,00:01:13.943,2023-03-28T15:49:45.859Z
023,Split #23,00:00:03.285,00:01:17.228,2023-03-28T15:49:49.144Z
024,Split #24,00:00:02.881,00:01:20.109,2023-03-28T15:49:52.025Z
025,Split #25,00:00:03.611,00:01:23.720,2023-03-28T15:49:55.636Z
026,Split #26,00:00:03.803,00:01:27.523,2023-03-28T15:49:59.439Z
027,Split #27,00:00:03.509,00:01:31.032,2023-03-28T15:50:02.948Z
028,Split #28,00:00:02.994,00:01:34.026,2023-03-28T15:50:05.942Z
029,Split #29,00:00:03.373,00:01:37.399,2023-03-28T15:50:09.315Z
030,Split #30,00:00:03.173,00:01:40.572,2023-03-28T15:50:12.488Z
031,Split #31,00:00:03.083,00:01:43.655,2023-03-28T15:50:15.571Z
032,Split #32,00:00:02.811,00:01:46.466,2023-03-28T15:50:18.382Z
033,Split #33,00:00:03.107,00:01:49.573,2023-03-28T15:50:21.489Z
034,Split #34,00:00:03.588,00:01:53.161,2023-03-28T15:50:25.077Z
035,Split #35,00:00:03.307,00:01:56.468,2023-03-28T15:50:28.384Z
036,Split #36,00:00:03.195,00:01:59.663,2023-03-28T15:50:31.579Z
037,Split #37,00:00:03.185,00:02:02.848,2023-03-28T15:50:34.764Z
038,Split #38,00:00:03.329,00:02:06.177,2023-03-28T15:50:38.093Z
039,Split #39,00:00:02.790,00:02:08.967,2023-03-28T15:50:40.883Z
040,Split #40,00:00:02.589,00:02:11.556,2023-03-28T15:50:43.472Z
041,Split #41,00:00:02.855,00:02:14.411,2023-03-28T15:50:46.327Z
042,Split #42,00:00:02.995,00:02:17.406,2023-03-28T15:50:49.322Z
043,Split #43,00:00:03.069,00:02:20.475,2023-03-28T15:50:52.391Z
044,Split #44,00:00:02.834,00:02:23.309,2023-03-28T15:50:55.225Z
045,Split #45,00:00:02.792,00:02:26.101,2023-03-28T15:50:58.017Z
046,Split #46,00:00:03.082,00:02:29.183,2023-03-28T15:51:01.099Z
047,Split #47,00:00:02.792,00:02:31.975,2023-03-28T15:51:03.891Z
048,Split #48,00:00:02.654,00:02:34.629,2023-03-28T15:51:06.545Z
049,Split #49,00:00:03.059,00:02:37.688,2023-03-28T15:51:09.604Z
050,Split #50,00:00:03.915,00:02:41.603,2023-03-28T15:51:13.519Z
051,Split #51,00:00:02.992,00:02:44.595,2023-03-28T15:51:16.511Z
052,Split #52,00:00:02.857,00:02:47.452,2023-03-28T15:51:19.368Z
053,Split #53,00:00:02.748,00:02:50.200,2023-03-28T15:51:22.116Z
054,Split #54,00:00:03.102,00:02:53.302,2023-03-28T15:51:25.218Z
