#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-02T12:21:40.260Z
001,Split #1,00:00:13.826,00:00:13.826,2023-04-02T12:21:54.086Z
002,Split #2,00:00:04.882,00:00:18.708,2023-04-02T12:21:58.968Z
003,Split #3,00:00:03.330,00:00:22.038,2023-04-02T12:22:02.298Z
004,Split #4,00:00:03.241,00:00:25.279,2023-04-02T12:22:05.539Z
005,Split #5,00:00:03.666,00:00:28.945,2023-04-02T12:22:09.205Z
006,Split #6,00:00:03.443,00:00:32.388,2023-04-02T12:22:12.648Z
007,Split #7,00:00:02.902,00:00:35.290,2023-04-02T12:22:15.550Z
008,Split #8,00:00:03.399,00:00:38.689,2023-04-02T12:22:18.949Z
009,Split #9,00:00:04.500,00:00:43.189,2023-04-02T12:22:23.449Z
010,Split #10,00:00:03.465,00:00:46.654,2023-04-02T12:22:26.914Z
011,Split #11,00:00:03.959,00:00:50.613,2023-04-02T12:22:30.873Z
012,Split #12,00:00:03.983,00:00:54.596,2023-04-02T12:22:34.856Z
013,Split #13,00:00:03.825,00:00:58.421,2023-04-02T12:22:38.681Z
014,Split #14,00:00:03.870,00:01:02.291,2023-04-02T12:22:42.551Z
015,Split #15,00:00:03.939,00:01:06.230,2023-04-02T12:22:46.490Z
016,Split #16,00:00:04.253,00:01:10.483,2023-04-02T12:22:50.743Z
017,Split #17,00:00:04.296,00:01:14.779,2023-04-02T12:22:55.039Z
018,Split #18,00:00:03.510,00:01:18.289,2023-04-02T12:22:58.549Z
019,Split #19,00:00:03.757,00:01:22.046,2023-04-02T12:23:02.306Z
020,Split #20,00:00:03.960,00:01:26.006,2023-04-02T12:23:06.266Z
021,Split #21,00:00:03.715,00:01:29.721,2023-04-02T12:23:09.981Z
022,Split #22,00:00:03.778,00:01:33.499,2023-04-02T12:23:13.759Z
023,Split #23,00:00:03.735,00:01:37.234,2023-04-02T12:23:17.494Z
024,Split #24,00:00:04.140,00:01:41.374,2023-04-02T12:23:21.634Z
025,Split #25,00:00:04.298,00:01:45.672,2023-04-02T12:23:25.932Z
026,Split #26,00:00:02.745,00:01:48.417,2023-04-02T12:23:28.677Z
027,Split #27,00:00:02.857,00:01:51.274,2023-04-02T12:23:31.534Z
028,Split #28,00:00:02.880,00:01:54.154,2023-04-02T12:23:34.414Z
029,Split #29,00:00:03.015,00:01:57.169,2023-04-02T12:23:37.429Z
030,Split #30,00:00:02.768,00:01:59.937,2023-04-02T12:23:40.197Z
031,Split #31,00:00:02.700,00:02:02.637,2023-04-02T12:23:42.897Z
032,Split #32,00:00:02.857,00:02:05.494,2023-04-02T12:23:45.754Z
033,Split #33,00:00:03.040,00:02:08.534,2023-04-02T12:23:48.794Z
034,Split #34,00:00:02.653,00:02:11.187,2023-04-02T12:23:51.447Z
035,Split #35,00:00:02.746,00:02:13.933,2023-04-02T12:23:54.193Z
036,Split #36,00:00:02.857,00:02:16.790,2023-04-02T12:23:57.050Z
037,Split #37,00:00:03.082,00:02:19.872,2023-04-02T12:24:00.132Z
038,Split #38,00:00:02.680,00:02:22.552,2023-04-02T12:24:02.812Z
039,Split #39,00:00:02.541,00:02:25.093,2023-04-02T12:24:05.353Z
040,Split #40,00:00:02.655,00:02:27.748,2023-04-02T12:24:08.008Z
