#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-29T19:32:34.716Z
001,Split #1,00:00:09.228,00:00:09.228,2023-03-29T19:32:43.944Z
002,Split #2,00:00:02.602,00:00:11.830,2023-03-29T19:32:46.546Z
003,Split #3,00:00:03.545,00:00:15.375,2023-03-29T19:32:50.091Z
004,Split #4,00:00:03.532,00:00:18.907,2023-03-29T19:32:53.623Z
005,Split #5,00:00:03.194,00:00:22.101,2023-03-29T19:32:56.817Z
006,Split #6,00:00:03.533,00:00:25.634,2023-03-29T19:33:00.350Z
007,Split #7,00:00:03.307,00:00:28.941,2023-03-29T19:33:03.657Z
008,Split #8,00:00:03.444,00:00:32.385,2023-03-29T19:33:07.101Z
009,Split #9,00:00:03.553,00:00:35.938,2023-03-29T19:33:10.654Z
010,Split #10,00:00:03.444,00:00:39.382,2023-03-29T19:33:14.098Z
011,Split #11,00:00:03.488,00:00:42.870,2023-03-29T19:33:17.586Z
012,Split #12,00:00:02.789,00:00:45.659,2023-03-29T19:33:20.375Z
013,Split #13,00:00:03.105,00:00:48.764,2023-03-29T19:33:23.480Z
014,Split #14,00:00:03.286,00:00:52.050,2023-03-29T19:33:26.766Z
015,Split #15,00:00:03.014,00:00:55.064,2023-03-29T19:33:29.780Z
016,Split #16,00:00:02.947,00:00:58.011,2023-03-29T19:33:32.727Z
017,Split #17,00:00:03.489,00:01:01.500,2023-03-29T19:33:36.216Z
018,Split #18,00:00:02.722,00:01:04.222,2023-03-29T19:33:38.938Z
019,Split #19,00:00:00.878,00:01:05.100,2023-03-29T19:33:39.816Z
020,Split #20,00:00:03.037,00:01:08.137,2023-03-29T19:33:42.853Z
021,Split #21,00:00:03.038,00:01:11.175,2023-03-29T19:33:45.891Z
022,Split #22,00:00:02.992,00:01:14.167,2023-03-29T19:33:48.883Z
023,Split #23,00:00:03.062,00:01:17.229,2023-03-29T19:33:51.945Z
024,Split #24,00:00:03.080,00:01:20.309,2023-03-29T19:33:55.025Z
025,Split #25,00:00:03.106,00:01:23.415,2023-03-29T19:33:58.131Z
026,Split #26,00:00:03.646,00:01:27.061,2023-03-29T19:34:01.777Z
027,Split #27,00:00:02.677,00:01:29.738,2023-03-29T19:34:04.454Z
028,Split #28,00:00:02.204,00:01:31.942,2023-03-29T19:34:06.658Z
029,Split #29,00:00:02.227,00:01:34.169,2023-03-29T19:34:08.885Z
030,Split #30,00:00:02.453,00:01:36.622,2023-03-29T19:34:11.338Z
031,Split #31,00:00:02.633,00:01:39.255,2023-03-29T19:34:13.971Z
