#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-03-20T00:42:44.990Z
001,Split #1,00:00:14.884,00:00:14.884,2023-03-20T00:42:59.874Z
002,Split #2,00:00:03.418,00:00:18.302,2023-03-20T00:43:03.292Z
003,Split #3,00:00:03.826,00:00:22.128,2023-03-20T00:43:07.118Z
004,Split #4,00:00:03.623,00:00:25.751,2023-03-20T00:43:10.741Z
005,Split #5,00:00:03.554,00:00:29.305,2023-03-20T00:43:14.295Z
006,Split #6,00:00:03.487,00:00:32.792,2023-03-20T00:43:17.782Z
007,Split #7,00:00:03.173,00:00:35.965,2023-03-20T00:43:20.955Z
008,Split #8,00:00:03.059,00:00:39.024,2023-03-20T00:43:24.014Z
009,Split #9,00:00:03.647,00:00:42.671,2023-03-20T00:43:27.661Z
010,Split #10,00:00:03.632,00:00:46.303,2023-03-20T00:43:31.293Z
011,Split #11,00:00:03.825,00:00:50.128,2023-03-20T00:43:35.118Z
012,Split #12,00:00:04.005,00:00:54.133,2023-03-20T00:43:39.123Z
013,Split #13,00:00:03.782,00:00:57.915,2023-03-20T00:43:42.905Z
014,Split #14,00:00:04.026,00:01:01.941,2023-03-20T00:43:46.931Z
015,Split #15,00:00:03.725,00:01:05.666,2023-03-20T00:43:50.656Z
016,Split #16,00:00:03.735,00:01:09.401,2023-03-20T00:43:54.391Z
017,Split #17,00:00:04.565,00:01:13.966,2023-03-20T00:43:58.956Z
018,Split #18,00:00:04.367,00:01:18.333,2023-03-20T00:44:03.323Z
019,Split #19,00:00:03.621,00:01:21.954,2023-03-20T00:44:06.944Z
020,Split #20,00:00:03.635,00:01:25.589,2023-03-20T00:44:10.579Z
021,Split #21,00:00:03.645,00:01:29.234,2023-03-20T00:44:14.224Z
022,Split #22,00:00:03.779,00:01:33.013,2023-03-20T00:44:18.003Z
023,Split #23,00:00:03.464,00:01:36.477,2023-03-20T00:44:21.467Z
024,Split #24,00:00:03.648,00:01:40.125,2023-03-20T00:44:25.115Z
025,Split #25,00:00:03.983,00:01:44.108,2023-03-20T00:44:29.098Z
026,Split #26,00:00:04.035,00:01:48.143,2023-03-20T00:44:33.133Z
027,Split #27,00:00:03.367,00:01:51.510,2023-03-20T00:44:36.500Z
028,Split #28,00:00:03.418,00:01:54.928,2023-03-20T00:44:39.918Z
029,Split #29,00:00:03.534,00:01:58.462,2023-03-20T00:44:43.452Z
030,Split #30,00:00:03.845,00:02:02.307,2023-03-20T00:44:47.297Z
031,Split #31,00:00:03.420,00:02:05.727,2023-03-20T00:44:50.717Z
032,Split #32,00:00:03.330,00:02:09.057,2023-03-20T00:44:54.047Z
033,Split #33,00:00:03.847,00:02:12.904,2023-03-20T00:44:57.894Z
